place,title,time,pay,date
강원 춘천시, 노랑통닭 춘천 후평점,15:00~24:00,"시급9,000",8분전
강원 홍천군, 노랑통닭 홍천점,15:00~24:00,"시급9,000",10분전
경기 수원시, 노랑통닭 수원 영통점,18:00~22:00,"시급8,720",13분전
경기 수원시, 노랑통닭 수원 영통점,18:00~22:00,"시급8,720",13분전
경기 남양주, 노랑통닭 남양주 진접점,12:00~24:00,"월급2,750,000",15분전
서울 송파구, 노랑통닭 잠실새내점,시간협의,"월급2,700,000",24분전
서울 송파구, 노랑통닭 잠실새내점,시간협의,"월급2,700,000",24분전
서울 송파구, 노랑통닭 잠실새내점,시간협의,"월급2,700,000",24분전
서울 송파구, 노랑통닭 잠실새내점,시간협의,"월급2,700,000",24분전
경기 화성시, 노랑통닭 화성봉담1호점,18:00~21:00,"시급8,800",25분전
전국 전체, 노랑통닭 서울역점,17:00~03:00,"월급2,600,000",29분전
강원 홍천군, 노랑통닭 홍천점,15:00~24:00,"시급9,000",30분전
강원 춘천시, 노랑통닭 춘천 후평점,15:00~24:00,"시급9,000",31분전
서울 성동구, 노랑통닭 성수점,14:00~01:30,"월급2,600,000",34분전
서울 영등포, 노랑통닭 노랑통닭 영등포역점,16:00~03:00,"월급2,600,000",37분전
서울 영등포, 노랑통닭 노랑통닭 영등포역점,16:00~03:00,"월급2,600,000",44분전
서울 영등포, 노랑통닭 노랑통닭 영등포역점,16:00~03:00,"월급2,600,000",44분전
서울 영등포, 노랑통닭 노랑통닭 영등포역점,18:00~03:00,"월급2,200,000",45분전
서울 영등포, 노랑통닭 노랑통닭 영등포역점,18:00~03:00,"월급2,200,000",45분전
서울 양천구, 노랑통닭 신정네거리역점,12:00~01:00,"시급9,000",45분전
서울 강서구, 노랑통닭 개화산역점,18:00~23:00,"시급8,720",52분전
서울 강서구, 노랑통닭 개화산역점,18:00~23:00,"시급8,720",52분전
강원 춘천시, 노랑통닭 춘천 후평점,15:00~24:00,"시급9,000",53분전
강원 홍천군, 노랑통닭 홍천점,15:00~24:00,"시급9,000",54분전
서울 은평구, 노랑통닭 연신내점,16:00~03:00,"월급2,700,000",56분전
인천 연수구, 노랑통닭 송도8공구점,15:00~01:00,"월급2,400,000",1시간전
경기 수원시, 노랑통닭 망포점,18:00~24:00,"시급10,000",1시간전
서울 성동구, 노랑통닭 성수점,14:00~01:30,"월급2,600,000",1시간전
서울 동작구, 노랑통닭 노량진점,18:00~00:00,"시급8,720",1시간전
서울 전체, 노랑통닭 노량진점,17:00~04:00,"월급2,600,000",1시간전
서울 동작구, 노랑통닭 노량진점,18:00~00:00,"시급8,720",1시간전
서울 동작구, 노랑통닭 노량진점,18:00~00:00,"시급8,720",1시간전
서울 전체, 노랑통닭 노량진점,17:00~04:00,"월급2,600,000",1시간전
경기 구리시, 노랑통닭 구리 갈매점,15:00~02:00,"시급10,000",1시간전
서울 전체, 노랑통닭 장안점,시간협의,"월급2,600,000",1시간전
강원 춘천시, 노랑통닭 춘천 후평점,15:00~24:00,"시급9,000",1시간전
강원 홍천군, 노랑통닭 홍천점,15:00~24:00,"시급9,000",1시간전
서울 마포구, 노랑통닭 아현점,14:30~01:00,"월급2,200,000",1시간전
서울 마포구, 노랑통닭 아현점,14:30~01:00,"월급2,600,000",1시간전
서울 송파구, 노랑통닭 잠실새내점,시간협의,"월급2,700,000",1시간전
서울 마포구, 노랑통닭 아현점,18:00~22:00,"시급9,000",1시간전
서울 강서구, 노랑통닭 발산역점,16:00~02:00,"월급2,600,000",1시간전
서울 강서구, 노랑통닭 발산역점,16:00~02:00,"월급2,600,000",1시간전
서울 강서구, 노랑통닭 발산역점,16:00~02:00,"월급2,600,000",1시간전
서울 강서구, 노랑통닭 발산역점,18:00~24:00,"시급8,720",1시간전
서울 강서구, 노랑통닭 발산역점,18:00~24:00,"시급8,720",1시간전
서울 관악구, 노랑통닭 서울대입구역점,시간협의,"월급2,600,000",1시간전
대구 달서구, 노랑통닭 대구 성서점,17:00~22:00,"시급8,720",1시간전
대구 달서구, 노랑통닭 대구 성서점,16:30~22:30,"월급1,500,000",1시간전
경기 구리시, 노랑통닭 구리수택점,17:00~23:00,"시급8,720",1시간전
