place,title,time,pay,date
서울 강남구, 농협 하나로클럽 양재점,09:00~18:00,"시급9,950",3시간전
서울 서초구, 농협 하나로클럽 양재점,09:00~18:00,"시급9,950",3시간전
서울 전체, 농협 하나로클럽 양재점,09:00~18:00,"시급9,950",3시간전
서울 전체, 농협 하나로클럽 양재점,09:00~18:00,"시급9,950",3시간전
서울 송파구, 농협 하나로마트 수서점,09:00~18:00,"시급8,720",5시간전
서울 강남구, 농협 하나로마트 수서점,09:00~18:00,"시급8,720",5시간전
서울 강남구, 농협 하나로마트 수서점,09:00~18:00,"시급8,720",5시간전
서울 강남구, 농협유통 대치점,09:00~12:00,"시급10,000",08/14
경기 용인시, 농협 하나로마트 광교점,08:00~17:00,"시급8,720",08/11
서울 전체, (주)농협유통 양재점,01:00~06:00,"일급67,500",08/08
경기 전체, (주)농협유통 양재점,01:00~06:00,"일급67,500",08/08
서울 전체, (주)농협유통 양재점,시간협의,"시급10,000",08/08
경기 용인시, 농협 하나로마트 광교점,13:00~22:00,"시급8,720",08/07
