place,title,time,pay,date
대전 전체, 갤러리아타임월드 나이키,09:30~20:30,"월급1,980,000",28분전
서울 영등포, (주)대연,시간협의,"월급1,980,000",52분전
인천 전체, 아이즈빌1,시간협의,"월급2,030,000",2시간전
광주 서구, (주)대연,10:30~21:00,"월급1,980,000",2시간전
경기 시흥시, 경기 시흥점,10:00~21:00,"월급2,030,000",2시간전
인천 연수구, LF스퀘어(브이플러스) 나이키 연수점,10:30~21:00,"월급1,980,000",3시간전
인천 전체, 아이즈빌1,시간협의,"월급2,030,000",3시간전
경기 시흥시, 경기 시흥점,10:00~21:00,"월급2,030,000",3시간전
경기 시흥시, 경기 시흥점,10:00~21:00,"월급2,030,000",3시간전
충남 천안시, 갤러리아 센터시티 나이키,10:00~20:00,"월급1,980,000",3시간전
인천 서구, 인천모다,10:00~20:30,"월급2,000,000",3시간전
경기 시흥시, 경기 시흥점,10:00~21:00,"월급2,030,000",4시간전
대구 동구, 신세계 동대구,11:00~14:30,"시급8,720",5시간전
경기 하남시, 스타필드 하남 나이키,10:00~22:00,"월급2,050,000",5시간전
대전 중구, (주)대연 은행동 나이키,시간협의,"월급2,030,000",5시간전
인천 부평구, 부평,10:30~22:00,"월급2,030,000",5시간전
서울 마포구, 홍대SNKRS,시간협의,"월급2,030,000",5시간전
대구 동구, 신세계 동대구,10:00~20:30,"월급1,980,000",5시간전
대전 전체, 갤러리아타임월드 나이키,09:30~20:30,"월급1,980,000",5시간전
경기 하남시, 스타필드 신세계 하남 나이키,시간협의,"월급2,050,000",6시간전
서울 서초구, (주)대연,시간협의,"월급1,980,000",6시간전
부산 해운대, 신세계 센텀,10:00~20:00,"월급1,980,000",6시간전
대전 전체, 갤러리아타임월드 나이키,09:30~20:30,"월급1,980,000",6시간전
경기 시흥시, 경기 시흥점,10:00~21:00,"월급2,030,000",6시간전
충남 천안시, 신세계 아라리오점,09:30~20:30,"월급1,980,000",6시간전
충북 제천시, (주)대연,시간협의,"시급8,720",7시간전
서울 영등포, (주)대연,09:30~20:00,"월급1,980,000",7시간전
강원 원주시, (주)대연,10:30~21:30,"월급2,030,000",7시간전
인천 서구, 인천모다,10:00~20:30,"월급2,000,000",7시간전
인천 전체, 아이즈빌1,시간협의,"월급2,030,000",7시간전
서울 영등포, 타임스퀘어,10:00~10:00,"월급2,050,000",7시간전
경기 수원시, (주)대연,10:00~20:00,"월급1,980,000",7시간전
경기 이천시, 경기 이천점 나이키,10:00~21:00,"월급2,030,000",7시간전
충남 천안시, 신세계 아라리오점,09:30~20:30,"월급1,980,000",8시간전
경남 진주시, 갤러리아 진주 나이키,10:00~20:30,"월급1,980,000",8시간전
경남 진주시, 갤러리아 진주 나이키,10:00~20:30,"월급1,980,000",8시간전
대전 유성구, 대전 유성,시간협의,"월급2,030,000",23시간전
충남 천안시, 신세계 아라리오점,09:30~20:30,"월급1,980,000",08/15
대전 서구, 탄방로데오,10:30~21:30,"월급2,030,000",08/15
경기 하남시, 신세계하남점 나이키 킥스라운지,10:30~21:00,"월급1,980,000",08/13
인천 부평구, 부평,10:30~22:00,"월급2,030,000",08/13
경기 이천시, 경기 이천점 나이키,12:00~19:00,"시급9,000",08/13
부산 해운대, 신세계 센텀,시간협의,"시급8,720",08/12
광주 서구, 신세계 광주FS,10:00~20:30,"월급1,980,000",08/12
충남 천안시, 갤러리아 센터시티 나이키,10:00~20:00,"월급1,980,000",08/12
충남 천안시, 신세계 아라리오점,09:30~20:30,"월급1,980,000",08/12
강원 원주시, (주)대연,10:00~20:00,"월급1,980,000",08/11
경기 이천시, 경기 이천점 나이키,10:00~21:00,"월급2,030,000",08/11
서울 영등포, 타임스퀘어,10:00~10:00,"월급2,050,000",08/11
경기 수원시, (주)대연,시간협의,"시급8,720",08/11
