place,title,time,pay,date
서울 강남구, 박앤박 혼밥대왕 논현점,시간협의,"시급11,000",7시간전
서울 강남구, 박앤박 혼밥대왕 논현점,시간협의,"시급11,000",7시간전
서울 강남구, 박앤박 혼밥대왕 논현점,시간협의,"시급11,000",7시간전
서울 강남구, 박앤박 혼밥대왕 논현점,시간협의,"시급11,000",7시간전
경기 화성시, 박앤박 혼밥대왕 화성동탄점,11:00~13:00,"시급9,000",08/14
경기 남양주, 박앤박 혼밥대왕 별내점,17:30~03:30,"월급2,400,000",08/12
서울 광진구, 박앤박 혼밥대왕 건대점,시간협의,"시급11,000",08/10
서울 광진구, 박앤박 혼밥대왕 건대점,시간협의,"시급11,000",08/10
서울 광진구, 박앤박 혼밥대왕 건대점,시간협의,"시급11,000",08/10
서울 광진구, 박앤박 혼밥대왕 건대점,시간협의,"시급11,000",08/10
서울 광진구, 박앤박 혼밥대왕 건대점,시간협의,"시급11,000",08/10
서울 송파구, 박앤박 비돈이제돈이 송파점,06:00~11:00,"시급9,500",08/09
경기 의정부, 박앤박 비돈이제돈이 의정부점,10:00~22:00,"주급2,300,000",08/09
서울 송파구, 박앤박 비돈이제돈이 송파점,시간협의,"시급9,500",08/07
대전 동구, 박앤박 혼밥대왕 대전가양점,11:00~14:00,"시급8,720",08/07
경기 의정부, 박앤박 비돈이제돈이 의정부점,10:00~22:00,"월급2,300,000",08/07
경기 화성시, 박앤박 혼밥대왕 화성봉담점,17:30~22:30,"시급9,500",08/02
서울 송파구, 박앤박 비돈이제돈이 송파점,09:00~21:00,"시급9,500",08/02
서울 송파구, 박앤박 비돈이제돈이 송파점,06:00~11:00,"시급9,500",08/02
서울 전체, 박앤박 비돈이제돈이 건대점,시간협의,"월급2,800,000",08/01
서울 전체, 박앤박 쭈블링 건대점,시간협의,"월급2,800,000",08/01
