place,title,time,pay,date
서울 영등포, 신세계백화점 타임스퀘어점,10:30~18:30,"시급8,800",15분전
서울 전체, 신세계백화점 강남점,10:30~18:30,"시급8,800",34분전
대전 동구, 신세계 경기점,11:00~21:00,"시급8,800",55분전
대전 유성구, 대전신세계 Art&Science,10:00~18:00,"시급8,800",1시간전
대구 동구, 대구점,10:30~18:30,"시급8,800",1시간전
대전 유성구, 대전신세계 Art&Science,10:30~18:30,"시급8,800",2시간전
서울 전체, 신세계백화점 강남점,10:00~18:00,"시급8,800",2시간전
서울 전체, 신세계백화점 강남점,09:30~17:30,"시급8,800",2시간전
대구 동구, 대구점,10:00~20:00,"일급200,000",2시간전
서울 전체, 신세계백화점 강남점,10:30~18:30,"시급8,800",2시간전
경남 김해시, 신세계백화점 김해점,11:00~19:00,"시급8,800",3시간전
서울 전체, 신세계백화점 본점,10:00~18:00,"시급8,800",8시간전
경기 전체, 신세계백화점 경기점,10:30~20:00,"시급8,800",08/15
대구 동구, 신세계 백화점 대구점,10:00~18:00,"시급8,800",08/15
대구 동구, 신세계백화점 대구점,10:30~18:30,"시급8,800",08/15
경기 의정부, 신세계 의정부점,10:30~18:30,"시급8,800",08/15
서울 전체, 신세계백화점 강남점,10:30~18:30,"시급8,800",08/15
서울 전체, 신세계백화점 본점,10:00~18:00,"시급8,800",08/14
서울 전체, 신세계백화점 본점,10:00~18:00,"시급8,800",08/14
서울 전체, 신세계백화점 본점,10:00~18:00,"시급8,800",08/14
경기 전체, 신세계 경기점,10:30~20:00,"시급8,800",08/14
대전 유성구, 대전신세계 Art&Science,10:00~18:00,"시급8,800",08/14
대전 유성구, 대전신세계 Art&Science,10:30~18:30,"시급8,800",08/14
대전 유성구, 대전신세계 Art&Science,10:30~18:30,"시급8,800",08/14
경기 용인시, 신세계 경기점,10:00~18:00,"시급8,800",08/13
경기 용인시, 신세계 경기점,10:30~18:30,"시급8,800",08/13
대전 유성구, 대전신세계 Art&Science,10:30~18:30,"시급8,800",08/13
부산 해운대, 신세계백화점 센텀시티점,11:00~19:00,"시급8,800",08/11
광주 서구, 신세계백화점 광주점,10:30~18:30,"시급8,800",08/11
대전 유성구, 대전신세계 Art&Science,10:30~18:30,"시급8,800",08/11
대전 유성구, 대전신세계 Art&Science,10:30~18:30,"시급8,800",08/10
