place,title,time,pay,date
충남 아산시, 에이비씨마트코리아 ST 아산퍼스트빌리,10:30~08:30,"월급2,000,000",20분전
경기 여주시, 에이비씨마트코리아 ST 여주375점,11:30~20:30,"월급1,456,240",36분전
전남 여수시, 에이비씨마트코리아 ST 여수신기점,10:00~21:00,"월급2,345,680",1시간전
인천 서구, 에이비씨마트코리아 ST 가좌홈플러스점,10:00~22:00,"월급2,345,680",2시간전
인천 서구, 에이비씨마트코리아 ST 가좌홈플러스점,10:00~22:00,"월급2,345,680",2시간전
인천 서구, 에이비씨마트코리아 ST 가좌홈플러스점,10:00~22:00,"월급2,345,680",2시간전
경기 여주시, 에이비씨마트코리아 ST 여주375점,10:00~20:30,"월급2,345,680",2시간전
대전 중구, 에이비씨마트코리아 MS 대전은행점,시간협의,"월급2,345,680",2시간전
경남 통영시, 에이비씨마트코리아 ST 통영무전점,10:00~21:30,"월급2,345,680",3시간전
경남 진주시, 에이비씨마트코리아 ST 진주롯데몰점,시간협의,"월급2,345,680",3시간전
서울 금천구, 에이비씨마트코리아 ST 구로마리오점,10:00~21:00,"월급2,345,800",3시간전
경기 여주시, 에이비씨마트코리아 ST 여주375점,10:00~20:30,"월급2,345,680",3시간전
제주 서귀포, 에이비씨마트코리아 ST 서귀포점,10:00~21:00,"월급2,345,680",8시간전
부산 전체, 에이비씨마트코리아 MS 동부산롯데몰점,10:00~21:00,"월급2,345,680",22시간전
경남 진주시, 에이비씨마트코리아 ST 진주대안점,12:00~21:00,"월급1,456,240",08/15
경남 창원시, 에이비씨마트코리아 ST 창원상남점,시간협의,"월급2,345,680",08/14
충남 아산시, 에이비씨마트코리아 ST 아산퍼스트빌리,10:30~08:30,"월급2,000,000",08/14
전남 여수시, 에이비씨마트코리아 ST 여수신기점,10:00~21:00,"월급2,345,680",08/12
경기 용인시, 에이비씨마트코리아 MS 기흥롯데아울렛,10:00~21:00,"월급2,345,680",08/12
제주 서귀포, 에이비씨마트코리아 ST 서귀포점,10:00~21:00,"월급2,345,680",08/12
전북 전주시, 에이비씨마트코리아 ST 전주효자몰점,10:30~21:00,"월급2,345,680",08/12
전북 전체, 에이비씨마트코리아 ST 서전주점,10:30~21:00,"월급2,345,680",08/11
인천 연수구, 에이비씨마트코리아 ST 송도현대아울렛,11:00~20:00,"월급1,456,240",08/11
인천 연수구, 에이비씨마트코리아 ST 송도현대아울렛,09:30~21:00,"월급2,345,680",08/11
인천 연수구, 에이비씨마트코리아 ST 송도현대아울렛,10:00~22:00,"월급2,345,680",08/11
경기 용인시, 에이비씨마트코리아 MS 기흥롯데아울렛,10:00~21:00,"월급2,345,680",08/11
전북 전체, 에이비씨마트코리아 ST 서전주점,10:30~21:00,"월급2,345,680",08/11
인천 연수구, 에이비씨마트코리아 MS 인천구월점,10:00~20:30,"월급1,900,000",08/10
인천 연수구, 에이비씨마트코리아 MS 인천구월점,10:00~22:00,"월급2,345,680",08/10
경남 진주시, 에이비씨마트코리아 ST 진주대안점,10:30~21:00,"월급2,345,600",08/10
강원 원주시, 에이비씨마트코리아 GS 원주일산점,10:00~21:00,"월급2,345,680",08/10
제주 서귀포, 에이비씨마트코리아 ST 서귀포점,10:00~21:00,"월급2,345,680",08/09
제주 서귀포, 에이비씨마트코리아 ST 서귀포중앙점,시간협의,"시급8,720",08/09
대전 서구, 에이비씨마트코리아 ST 대전둔산점,시간협의,"월급2,345,680",08/08
경기 의정부, 에이비씨마트코리아 SP 의정부점,10:00~22:00,"월급2,345,680",08/08
부산 전체, 에이비씨마트코리아 MS 동부산롯데몰점,10:00~21:00,"월급2,345,680",08/06
경북 경주시, 에이비씨마트코리아 ST 경주노동점,10:00~21:00,"월급2,345,680",08/06
경북 경주시, 에이비씨마트코리아 ST 경주노동점,10:00~21:00,"월급2,345,680",08/05
울산 전체, 에이비씨마트코리아 ST 울산신선도원몰,10:00~22:00,"월급2,345,680",08/01
경남 통영시, 에이비씨마트코리아 ST 통영무전점,10:00~21:30,"월급2,345,680",08/01
