place,title,time,pay,date
부산 금정구, 디플러스 부산금정지사,시간협의,"일급180,000",5분전
부산 금정구, 디플러스 부산금정지사,시간협의,"일급180,000",5분전
부산 금정구, 디플러스 부산금정지사,시간협의,"일급180,000",6분전
인천 미추홀, 디플러스 인천더킹지사,시간협의,"건별3,500",13분전
인천 미추홀, 디플러스 인천더킹지사,시간협의,"건별3,500",13분전
인천 미추홀, 디플러스 인천더킹지사,시간협의,"건별3,500",14분전
서울 강동구, 디플러스 성내지사,시간협의,"월급4,500,000",58분전
서울 강동구, 디플러스 성내지사,시간협의,"월급4,500,000",58분전
서울 강동구, 디플러스 성내지사,시간협의,"월급4,500,000",58분전
서울 송파구, 디플러스 석촌지사,시간협의,"일급200,000",1시간전
서울 강동구, 디플러스 둔촌지사,시간협의,"건별3,500",1시간전
서울 강동구, 디플러스 둔촌지사,시간협의,"건별3,500",1시간전
서울 송파구, 디플러스 잠실지사,시간협의,"일급200,000",1시간전
서울 송파구, 디플러스 송파본부,시간협의,"건별3,600",1시간전
서울 송파구, 디플러스 송파본부,시간협의,"건별3,600",1시간전
서울 송파구, 디플러스 송파본부,시간협의,"건별3,600",1시간전
서울 강동구, 디플러스 플러스천호지사,09:00~05:00,"건별3,500",1시간전
서울 강동구, 디플러스 플러스천호지사,09:00~05:00,"건별3,500",1시간전
서울 강동구, 디플러스 플러스천호지사,09:00~05:00,"건별3,500",1시간전
서울 송파구, 디플러스 문정지사,시간협의,"일급250,000",2시간전
서울 전체, 디플러스 가락지사,시간협의,"일급250,000",2시간전
서울 강동구, 디플러스 길동지사,09:00~05:00,"건별3,500",3시간전
서울 강동구, 디플러스 암사지사,시간협의,"월급4,500,000",3시간전
서울 강동구, 디플러스 암사지사,시간협의,"월급4,500,000",3시간전
서울 강동구, 디플러스 암사지사,시간협의,"월급4,500,000",3시간전
인천 미추홀, 디플러스 더원지사,시간협의,"월급6,000,000",3시간전
서울 강동구, 디플러스 플러스명일지사,시간협의,"월급4,500,000",4시간전
서울 강동구, 디플러스 플러스명일지사,시간협의,"월급4,500,000",4시간전
서울 강동구, 디플러스 플러스명일지사,시간협의,"월급4,500,000",4시간전
서울 강동구, 디플러스 강동.[상일/고덕]지사,10:00~01:00,"건별3,500",4시간전
서울 강동구, 디플러스 강동.[상일/고덕]지사,10:00~01:00,"건별3,500",4시간전
서울 강동구, 디플러스 강동.[상일/고덕]지사,10:00~01:00,"건별3,500",4시간전
서울 은평구, 디플러스 은평플러스지사,시간협의,"건별3,600",4시간전
서울 은평구, 디플러스 은평플러스지사,시간협의,"건별3,600",4시간전
서울 은평구, 디플러스 은평플러스지사,시간협의,"건별3,600",4시간전
서울 강동구, 디플러스 명일A지사,시간협의,"월급6,000,000",4시간전
서울 강동구, 디플러스 명일A지사,시간협의,"월급6,000,000",4시간전
서울 강동구, 디플러스 명일A지사,시간협의,"월급6,000,000",4시간전
인천 미추홀, 디플러스 더원지사,시간협의,"건별3,500",4시간전
서울 강동구, 디플러스 고덕1지사,시간협의,"월급5,000,000",4시간전
서울 강동구, 디플러스 고덕1지사,시간협의,"월급5,000,000",4시간전
서울 강동구, 디플러스 고덕1지사,시간협의,"월급5,000,000",4시간전
서울 강동구, 디플러스 강동본부,시간협의,"건별3,500",4시간전
서울 강동구, 디플러스 강동본부,시간협의,"건별3,500",4시간전
서울 강동구, 디플러스 강동본부,시간협의,"건별3,500",4시간전
인천 미추홀, 디플러스 더원지사,시간협의,"일급250,000",4시간전
대구 북구, 디플러스 산격지사,11:00~23:00,"일급200,000",4시간전
인천 부평구, 디플러스 부평지사,10:00~02:00,"일급200,000",4시간전
인천 부평구, 디플러스 부평지사,10:00~02:00,"일급200,000",4시간전
대구 북구, 디플러스 연경지사,시간협의,"일급200,000",4시간전
