place,title,time,pay,date
충남 논산시, 플레이타임그룹 롯데아울렛 부여점 플레,12:00~06:00,"시급9,220",6시간전
충남 부여군, 플레이타임그룹 롯데아울렛 부여점 플레,12:00~06:00,"시급9,220",7시간전
충남 부여군, 플레이타임그룹 롯데아울렛 부여점 플레,12:00~06:00,"시급9,220",7시간전
충남 부여군, 플레이타임그룹 롯데아울렛 부여점 플레,12:00~06:00,"시급9,220",7시간전
충남 부여군, 플레이타임그룹 롯데아울렛 부여점 플레,12:00~06:00,"시급9,220",7시간전
경기 용인시, 플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급8,720",7시간전
경기 용인시, 플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급8,720",7시간전
경기 용인시, 플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급8,720",7시간전
경기 수원시, 플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급8,720",7시간전
경기 안성시, 플레이타임그룹 스타필드 안성점 상상스,시간협의,"시급8,720",7시간전
경기 평택시, 플레이타임그룹 스타필드 안성점 상상스,시간협의,"시급8,720",7시간전
경기 안성시, 플레이타임그룹 스타필드 안성점 상상스,시간협의,"시급8,720",7시간전
경기 안성시, 플레이타임그룹 스타필드 안성점 상상스,시간협의,"시급8,720",7시간전
경기 화성시, 플레이타임 롯데백화점 동탄점 챔피언,시간협의,"시급9,220",7시간전
경기 화성시, 플레이타임 롯데백화점 동탄점 챔피언,시간협의,"시급9,220",7시간전
경기 화성시, 플레이타임 롯데백화점 동탄점 챔피언,시간협의,"시급9,220",7시간전
경기 화성시, 플레이타임 롯데백화점 동탄점 챔피언,시간협의,"시급9,220",7시간전
경기 화성시, 플레이타임 롯데백화점 동탄점 챔피언,시간협의,"시급9,220",7시간전
경남 창원시, 플레이타임그룹 시티세븐몰 창원점 챔피,16:30~21:00,"시급8,720",08/14
경남 창원시, 플레이타임그룹 시티세븐몰 창원점 챔피,16:30~21:00,"시급8,720",08/14
경남 창원시, 플레이타임그룹 시티세븐몰 창원점 챔피,16:30~21:00,"시급8,720",08/14
경남 창원시, 플레이타임그룹 시티세븐몰 창원점 챔피,16:30~21:00,"시급8,720",08/14
전남 여수시, 플레이타임그룹 메가박스 여수웅천점 플,11:00~16:00,"시급8,720",08/14
전남 여수시, 플레이타임그룹 메가박스 여수웅천점 플,11:00~16:00,"시급8,720",08/14
전남 여수시, 플레이타임그룹 메가박스 여수웅천점 플,11:00~16:00,"시급8,720",08/14
전남 여수시, 플레이타임그룹 메가박스 여수웅천점 플,11:00~16:00,"시급8,720",08/14
전남 여수시, 플레이타임그룹 메가박스 여수웅천점 플,11:00~16:00,"시급8,720",08/14
경기 고양시, 플레이타임그룹 롯데아울렛 고양점 챔피,10:30~14:30,"시급8,720",08/14
경기 고양시, 플레이타임그룹 롯데아울렛 고양점 챔피,10:30~14:30,"시급8,720",08/14
경기 고양시, 플레이타임그룹 롯데아울렛 고양점 챔피,10:30~14:30,"시급8,720",08/14
서울 은평구, 플레이타임그룹 롯데아울렛 고양점 챔피,10:30~14:30,"시급8,720",08/14
경기 고양시, 플레이타임그룹 롯데아울렛 고양점 챔피,10:30~14:30,"시급8,720",08/14
경남 창원시, 플레이타임그룹 시티세븐몰 창원점 챔피,16:30~21:00,"시급8,720",08/13
경기 부천시, 플레이타임그룹 홈플러스 상동점 챔피언,10:30~16:00,"시급8,720",08/13
경기 부천시, 플레이타임그룹 홈플러스 상동점 챔피언,10:30~16:00,"시급8,720",08/13
경기 부천시, 플레이타임그룹 홈플러스 상동점 챔피언,10:30~16:00,"시급8,720",08/13
경기 부천시, 플레이타임그룹 홈플러스 상동점 챔피언,10:30~16:00,"시급8,720",08/13
경기 화성시, 플레이타임그룹 전국매장,시간협의,"시급9,220",08/13
경기 화성시, 플레이타임그룹 전국매장,시간협의,"시급9,220",08/13
경기 화성시, 플레이타임그룹 전국매장,시간협의,"시급9,220",08/13
부산 전체, 플레이타임그룹 삼정타워 서면점 챔피언,13:00~17:00,"시급8,720",08/09
부산 부산진, 플레이타임그룹 삼정타워 서면점 챔피언,13:00~17:00,"시급8,720",08/09
부산 부산진, 플레이타임그룹 삼정타워 서면점 챔피언,13:00~17:00,"시급8,720",08/09
부산 부산진, 플레이타임그룹 삼정타워 서면점 챔피언,13:00~17:00,"시급8,720",08/09
부산 부산진, 플레이타임그룹 삼정타워 서면점 챔피언,13:00~17:00,"시급8,720",08/09
경기 평택시, 플레이타임그룹 스타필드 안성점 챔피언,시간협의,"시급8,720",08/07
경기 안성시, 플레이타임그룹 스타필드 안성점 챔피언,시간협의,"시급8,720",08/07
경기 안성시, 플레이타임그룹 스타필드 안성점 챔피언,시간협의,"시급8,720",08/07
경기 화성시, 플레이타임그룹 전국매장,시간협의,"시급9,220",08/07
경기 하남시, 플레이타임 스타필드시티 위례점 상상스,시간협의,"시급8,720",08/07
