place,title,time,pay,date
인천 연수구, 현대프리미엄아울렛 송도점,10:00~19:30,"시급8,800",33분전
경기 남양주, 현대프리미엄아울렛 SPACE1,10:00~19:30,"시급9,500",1시간전
경기 남양주, (주)현대백화점,10:00~19:30,"시급8,800",1시간전
서울 영등포, 더현대서울,10:00~19:30,"시급8,800",1시간전
인천 연수구, 현대프리미엄아울렛 송도점,10:00~19:30,"시급8,800",1시간전
서울 영등포, 더현대서울,10:00~19:30,"시급8,800",2시간전
서울 강동구, 현대백화점 천호점,08:30~18:00,"시급8,800",2시간전
서울 강동구, 현대백화점 천호점,10:00~21:00,"시급8,800",2시간전
경기 부천시, 현대백화점 중동점,10:00~19:30,"시급8,800",2시간전
충북 청주시, 현대백화점 충청점,12:00~18:30,"시급8,800",3시간전
경기 남양주, 현대프리미엄아울렛 SPACE1,10:00~19:30,"시급8,800",3시간전
서울 강남구, 현대백화점 무역센터점,10:00~19:30,"시급8,800",3시간전
서울 전체, 현대백화점 현대시티몰 가든파이브점,09:30~19:00,"시급8,800",4시간전
서울 강동구, 현대백화점 천호점,10:00~21:00,"시급8,800",4시간전
서울 강동구, 현대백화점 천호점,08:30~18:00,"시급8,800",4시간전
서울 송파구, 현대백화점 현대시티몰 가든파이브점,09:30~19:00,"시급8,800",4시간전
서울 강남구, 한무쇼핑(주),시간협의,"시급8,800",4시간전
경기 성남시, 현대백화점 판교점,09:30~18:30,"시급8,800",5시간전
부산 동구, 주식회사 현대백화점 부산점,09:00~18:30,"시급8,800",5시간전
서울 강남구, 한무쇼핑(주),10:00~19:00,"시급8,800",5시간전
인천 연수구, 현대프리미엄아울렛 송도점,10:00~19:30,"시급8,800",6시간전
대구 전체, 현대백화점,09:00~18:30,"시급8,720",08/15
경기 고양시, 현대백화점 킨텍스점,10:00~19:30,"시급8,800",08/15
서울 영등포, 더현대서울,시간협의,"시급8,800",08/15
경기 부천시, 현대백화점 중동점,11:30~20:30,"시급8,800",08/14
서울 강남구, 현대백화점 무역센터점,10:30~20:00,"시급8,800",08/14
서울 강남구, 현대백화점,10:00~20:00,"시급10,000",08/13
경기 남양주, 현대프리미엄아울렛 SPACE1,10:00~19:30,"시급8,800",08/13
서울 강남구, 한무쇼핑(주),10:00~19:00,"시급8,800",08/13
울산 남구, 현대백화점,09:30~18:30,"시급8,800",08/11
서울 전체, 현대백화점 현대시티몰 가든파이브점,09:30~19:00,"시급8,800",08/10
서울 강남구, 현대백화점,10:00~20:00,"시급8,800",08/09
서울 강남구, 현대백화점,10:00~20:00,"시급8,800",08/09
서울 송파구, 현대백화점 현대시티몰 가든파이브점,09:30~19:00,"시급8,800",08/09
경기 성남시, 현대백화점 판교점,09:00~18:30,"시급8,800",08/08
서울 강남구, 현대백화점,10:00~19:30,"시급10,000",08/08
