place,title,time,pay,date
경기 안산시, 홍대개미,시간협의,"시급8,720",2시간전
경기 안산시, 홍대개미,시간협의,"시급8,720",2시간전
경기 수원시, 홍대개미 갤러리아 광교 직영점,12:00~16:00,"시급8,720",2시간전
부산 부산진, 홍대개미 삼정타워점,시간협의,"월급2,400,000",3시간전
서울 마포구, 홍대개미 공덕점,시간협의,"월급1,850,000",3시간전
광주 서구, 홍대개미 신세계백화점 광주점,09:00~20:00,"월급2,150,000",4시간전
부산 연제구, 홍대개미 홈플러스아시아드점,17:30~21:00,"시급8,720",5시간전
광주 서구, 홍대개미 신세계백화점 광주점,09:00~20:00,"월급2,150,000",6시간전
부산 부산진, 홍대개미 삼정타워점,시간협의,"월급2,400,000",6시간전
경기 의정부, 홍대개미청량리역사점,시간협의,"시급8,720",6시간전
경기 수원시, 홍대개미 갤러리아 광교 직영점,12:00~16:00,"시급8,720",6시간전
서울 성북구, 홍대개미 현대백화점 미아점,12:30~17:00,"시급8,720",6시간전
경기 수원시, 홍대개미 갤러리아 광교 직영점,12:00~16:00,"시급8,720",6시간전
부산 부산진, 홍대개미 삼정타워점,시간협의,"월급2,400,000",7시간전
서울 성북구, 홍대개미 현대백화점 미아점,10:30~20:30,"월급1,850,000",7시간전
부산 부산진, 홍대개미 삼정타워점,시간협의,"월급2,400,000",8시간전
서울 서대문, 홍대개미 공덕점,시간협의,"월급1,850,000",08/15
서울 강남구, 홍대개미 파르나스몰점,09:00~19:00,"월급2,150,000",08/14
경기 안성시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",08/14
경기 안성시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",08/14
경기 평택시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",08/14
경기 평택시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",08/14
경기 평택시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",08/14
서울 은평구, 홍대개미 공덕점,시간협의,"월급1,850,000",08/14
부산 중구, 홍대개미 롯데백화점 광복점,10:00~22:00,"월급2,150,000",08/13
서울 마포구, 홍대개미 공덕점,시간협의,"월급1,850,000",08/13
서울 동대문, 홍대개미청량리역사점,시간협의,"시급8,720",08/13
서울 동대문, 홍대개미청량리역사점,12:00~22:00,"월급2,150,000",08/13
부산 중구, 홍대개미 롯데백화점 광복점,10:00~22:00,"월급2,150,000",08/12
경기 의정부, 홍대개미청량리역사점,10:00~20:00,"월급1,850,000",08/12
부산 중구, 홍대개미 롯데 광복점,10:00~22:00,"월급2,150,000",08/11
부산 중구, 홍대개미 롯데 광복점,10:00~22:00,"월급2,150,000",08/11
부산 중구, 홍대개미 롯데백화점 광복점,10:00~22:00,"월급2,150,000",08/10
경기 안성시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",08/07
경기 안성시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",08/07
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",08/07
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",08/07
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",08/07
경남 창원시, 홍대개미 상남점,11:00~22:30,"시급8,720",08/05
부산 북구, 홍대개미 덕천점,10:00~22:00,"시급8,720",08/02
광주 서구, 홍대개미 신세계백화점 광주점,09:00~20:00,"월급2,150,000",08/01
광주 서구, 홍대개미 신세계백화점 광주점,09:00~20:00,"월급2,150,000",07/31
