place,title,time,pay,date
서울 노원구, 7번가 피자 상계점,11:00~23:00,"주급700,000",5분전
서울 노원구, 7번가 피자 상계점,11:00~23:00,"월급3,000,000",6분전
경기 성남시, 7번가피자 수내정자점,16:30~21:30,"시급8,720",13분전
서울 송파구, 7번가피자문정가락점,시간협의,"시급9,000",15분전
경남 창원시, 7번가피자 석동점,18:00~22:00,"시급8,720",18분전
서울 송파구, 7번가피자문정가락점,시간협의,"시급9,000",20분전
세종 전체, 7번가피자 세종(청사)점,11:00~23:00,"월급3,000,000",2시간전
서울 동대문, 7번가피자 장안점,17:00~22:30,"시급9,600",3시간전
대전 중구, 7번가피자태평유천점,시간협의,"시급8,720",3시간전
서울 동대문, 7번가피자 장안점,17:00~22:30,"시급9,600",3시간전
세종 전체, 7번가피자 세종(청사)점,11:00~23:00,"월급3,000,000",3시간전
경기 성남시, 7번가피자 수내정자점,16:30~21:00,"시급8,720",3시간전
충북 청주시, 7번가피자 율량점,17:30~22:30,"시급8,800",4시간전
충북 청주시, 7번가피자  용암점,12:00~23:00,"시급9,000",4시간전
전남 광양시, 7번가 피자 (중마점),17:00~22:00,"시급8,800",4시간전
충북 청주시, 7번가피자  용암점,12:00~23:00,"시급9,000",5시간전
충북 청주시, 7번가피자 율량점,17:30~22:30,"시급9,000",5시간전
경남 창원시, 7번가피자 석동점,18:00~22:00,"시급8,720",5시간전
경기 부천시, 7번가피자 범박점,시간협의,"시급11,000",5시간전
울산 북구, 7번가피자매곡농소점,11:00~22:00,"시급8,720",5시간전
경남 창원시, 7번가피자 석동점,18:00~22:00,"시급8,720",6시간전
경기 부천시, 7번가피자 범박점,시간협의,"시급11,000",6시간전
충북 청주시, 7번가피자 율량점,17:30~22:30,"시급8,800",6시간전
서울 노원구, 7번가 피자 상계점,11:00~23:00,"주급600,000",7시간전
서울 노원구, 7번가 피자 상계점,11:00~23:00,"월급3,000,000",7시간전
서울 노원구, 7번가 피자 상계점,11:00~23:00,"주급700,000",7시간전
서울 동대문, 7번가피자 장안점,17:00~22:30,"시급9,600",7시간전
강원 원주시, 7번가피자 기업도시점,05:00~10:30,"월급1,400,000",8시간전
서울 동대문, 7번가피자 장안점,17:00~22:30,"시급9,600",8시간전
서울 동대문, 7번가피자 장안점,17:00~22:30,"시급9,600",8시간전
서울 서초구, 칠번가피자  서초교대점,시간협의,"시급10,470",21시간전
인천 서구, 7번가피자 청라점,17:30~21:30,"시급8,720",08/15
세종 아름동, 7번가피자 세종(청사)점,11:00~23:00,"월급3,000,000",08/14
경기 남양주, 7번가피자 다산신도시점,시간협의,"시급8,800",08/14
충북 청주시, 7번가피자 율량점,17:30~22:30,"시급9,000",08/14
울산 중구, 7번가피자 약사병영점,17:00~23:00,"시급8,720",08/14
충남 금산군, 7번가피자 금산인삼점,시간협의,"월급2,400,000",08/14
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,700",08/13
서울 관악구, 7번가피자서울대입구점,17:00~22:00,"시급10,500",08/13
경남 창원시, 7번가피자 석동점,18:00~22:00,"시급8,720",08/13
서울 마포구, 7번가피자 서교망원점,시간협의,"시급8,720",08/13
대구 북구, 7번가피자 칠곡점,18:00~23:00,"시급8,720",08/13
대구 북구, 7번가피자 칠곡점,11:00~23:00,"월급2,050,000",08/13
경기 수원시, 7번가피자 수원정자점,11:00~15:00,"시급8,720",08/13
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,700",08/13
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,700",08/12
경남 김해시, 7번가피자,18:00~24:00,"시급10,000",08/12
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,700",08/12
대전 중구, 7번가피자태평유천점,시간협의,"시급8,720",08/12
서울 서초구, 칠번가피자  서초교대점,11:00~22:00,"월급2,250,000",08/11
