place,title,time,pay,date
서울 강서구, 치킨이즈백,18:00~02:00,"시급9,000",9분전
인천 부평구, 아이센스리그 PC 인천삼산점,시간협의,"시급8,720",9분전
경기 수원시, 이화수전통육개장 수원권선점,19:00~22:00,"시급9,200",9분전
경기 수원시, 이화수전통육개장 수원권선점,19:00~22:00,"시급9,200",9분전
경기 수원시, 이화수전통육개장 수원권선점,19:00~22:00,"시급9,200",9분전
강원 원주시, 고기로1-1,16:00~23:00,"시급10,000",9분전
대구 북구, 일등한우연경점,13:00~22:00,"월급2,200,000",9분전
경기 전체, 오구본가 주엽점,10:30~22:30,"월급3,000,000",9분전
경기 전체, 오구본가 주엽점,16:30~00:30,"월급1,600,000",9분전
경기 전체, 오구본가 주엽점,10:30~20:30,"월급2,000,000",9분전
대구 수성구, (주)대한안전교육원,시간협의,"시급20,000",9분전
경북 구미시, 훗스테이크,10:00~21:30,"월급2,500,000",1시간전
경북 구미시, 훗스테이크,09:30~21:30,"월급2,500,000",1시간전
경북 구미시, 훗스테이크,10:00~21:30,"시급9,000",1시간전
서울 서대문, 착한고기종로관철점,06:30~13:30,"시급9,000",1시간전
서울 송파구, 탄탄코인노래연습장,19:00~01:00,"시급8,720",1시간전
경기 성남시, 마왕족발 모란점,12:00~00:00,"월급2,800,000",1시간전
충북 청주시, 피시 태그(PC TAG),시간협의,"시급8,720",1시간전
경기 광주시, 크러스점보(CRUS JUMBO),09:00~21:00,"시급8,720",1시간전
전남 순천시, 해길,17:30~21:30,"시급9,500",1시간전
광주 전체, 미스힐링센터,13:00~04:00,"일급400,000",1시간전
광주 전체, 박사장통신,10:00~20:00,"연봉30,000,000",1시간전
광주 전체, 박사장통신,10:00~20:00,"연봉30,000,000",1시간전
광주 전체, 미스힐링센터,13:00~04:00,"일급400,000",1시간전
울산 전체, 작은화실미술학원,15:30~17:30,"시급9,000",2시간전
충남 전체, 부산면관 논산점,10:00~21:00,"월급1,822,480",2시간전
경기 평택시, 이차돌 평택소사벌점,16:00~23:00,"시급9,000",3시간전
경기 화성시, 스타덤PC 반월점,시간협의,"시급9,000",3시간전
경기 용인시, 이에스 로지스틱스,07:00~12:30,"시급10,000",3시간전
경기 용인시, 이에스 로지스틱스,07:00~12:30,"시급10,000",3시간전
경기 용인시, 이에스 로지스틱스,07:00~13:30,"시급10,000",3시간전
서울 서대문, 신촌 엘스터디카페,10:30~22:30,"시급8,720",3시간전
대구 중구, 형제복덕방,시간협의,"월급4,000,000",3시간전
대구 중구, 형제복덕방,시간협의,"월급3,000,000",3시간전
대구 중구, 형제복덕방,시간협의,"월급3,000,000",3시간전
경기 성남시, 마왕족발 모란점,12:00~00:00,"월급1,822,480",3시간전
울산 중구, 스시야마태화루점,17:30~21:00,"시급8,720",3시간전
인천 부평구, 아이센스리그 PC 인천삼산점,시간협의,"시급8,720",3시간전
경북 김천시, 이디야 덕곡점,시간협의,"월급1,822,480",4시간전
경북 김천시, 이디야 덕곡점,시간협의,"월급1,822,480",4시간전
경북 김천시, 이디야 덕곡점,시간협의,"월급1,822,480",4시간전
대구 달성군, 프리미엄우유 달성대리점,시간협의,"월급700,000",4시간전
경기 성남시, 모두다컴펌,14:00~18:00,"시급8,720",4시간전
인천 미추홀, 아메리칸트레이 인천도화점,09:00~21:00,"월급2,750,000",4시간전
전북 전체, 중화산동 코드BAR,21:00~02:00,"시급30,000",4시간전
강원 원주시, 정가계닭목살구이(천매점),17:00~22:00,"시급8,720",5시간전
부산 남구, 유일한식탁,10:00~22:00,"월급2,300,000",5시간전
부산 남구, 유일한식탁,10:00~22:00,"월급2,400,000",5시간전
경북 포항시, 아이센스PC방 포항장성점,22:00~10:00,"시급8,720",5시간전
경북 포항시, 아이센스PC방 포항장성점,22:00~10:00,"시급8,720",5시간전
