place,title,time,pay,date
울산 남구, CU 울산대현더샵점,01:00~10:00,"시급8,720",1분전
대구 북구, CU 칠곡일도점,16:00~23:00,"시급8,720",1분전
경기 남양주, CU 진접내각점,23:00~06:00,"시급8,720",1분전
경북 경산시, CU 다와아이엔씨신녕점,23:00~08:00,"시급8,720",2분전
울산 울주군, CU 언양동문길점,23:00~08:00,"시급8,720",2분전
울산 중구, CU 울산성남점,14:30~22:30,"시급8,720",2분전
경북 영천시, CU 다와아이엔씨신녕점,23:00~08:00,"시급8,720",2분전
전남 순천시, CU 순천왕지앤탑점,22:00~07:00,"시급8,720",2분전
대구 달성군, CU 테크노에이스점,18:00~23:00,"시급8,720",3분전
충북 청주시, CU 청주가경로망스점,13:00~24:00,"시급8,720",3분전
제주 제주시, CU도두중앙점,15:00~21:00,"시급8,720",3분전
서울 강동구, CU 성내포레스점,22:00~08:00,"시급8,720",3분전
대구 달성군, CU 테크노에이스점,12:00~18:00,"시급8,720",3분전
부산 해운대, CU 한일오르듀점,14:00~18:00,"시급8,720",4분전
서울 종로구, CU 동대문종합시장점,14:00~19:00,"시급8,720",4분전
전남 여수시, CU 여수오션힐점,22:00~08:00,"시급8,720",4분전
경북 경산시, CU 다와아이엔씨대창점,23:00~08:00,"시급8,720",4분전
전남 여수시, CU 여수오션힐점,22:00~08:00,"시급8,720",4분전
대구 달성군, CU 테크노에이스점,23:00~06:00,"시급8,720",4분전
부산 영도구, CU 영도봉래에뜰점,10:00~14:00,"시급8,720",4분전
경기 화성시, CU 화성무송공단점,17:00~22:00,"시급8,720",4분전
서울 강동구, CU 강일리버스트점,22:00~08:00,"시급8,720",4분전
제주 제주시, CU도두중앙점,01:00~08:00,"시급8,720",4분전
경남 창원시, CU 진해덕산점,24:00~09:00,"시급8,720",4분전
경북 영천시, CU 다와아이엔씨대창점,23:00~08:00,"시급8,720",4분전
서울 관악구, CU 낙성현대점,14:00~22:00,"시급9,000",5분전
인천 계양구, CU 작전미래점,23:30~06:30,"시급8,720",5분전
부산 사상구, CU 모라블루점,23:00~06:00,"시급8,720",5분전
전북 전주시, CU 전주평화트윈점,22:00~07:00,"시급8,720",5분전
서울 구로구, CU 구로개웅교점,24:00~07:00,"시급8,720",5분전
경남 창원시, CU 진해덕산점,16:00~24:00,"시급8,720",5분전
경남 김해시, CU 김해진영리버티점,14:00~18:00,"시급8,720",5분전
전북 익산시, 씨유 원광대스타점,08:00~15:00,"시급8,720",5분전
부산 사하구, CU 괴정동산점,09:30~16:30,"시급8,720",5분전
경기 의정부, CU 용현건영점,23:00~09:00,"시급8,720",5분전
충북 옥천군, CU옥천장야주공점,02:00~11:00,"시급8,720",6분전
경북 영천시, CU 다와아이엔씨대창점,08:00~16:00,"시급8,720",6분전
경기 수원시, CU 광교법원점,16:00~23:00,"시급8,720",7분전
충북 옥천군, CU옥천장야주공점,18:00~02:00,"시급8,720",7분전
부산 서구, CU 감천항점,08:00~13:30,"시급8,720",7분전
서울 강동구, CU 강동천일점,24:00~07:00,"시급8,720",7분전
충북 청주시, CU 청주시청후문점,22:00~08:00,"시급8,960",8분전
서울 관악구, CU 관악리베로점,09:00~16:00,"시급8,720",8분전
울산 중구, CU 태화동부점,06:00~10:00,"시급8,720",8분전
충북 청주시, CU 청주시청후문점,22:00~08:00,"시급8,960",8분전
제주 제주시, CU,12:00~18:00,"시급8,720",8분전
부산 서구, CU 감천항점,08:00~13:30,"시급8,720",8분전
충북 청주시, CU 청주시청후문점,22:00~08:00,"시급8,960",8분전
인천 남동구, CU만수삼환점,16:00~23:00,"시급8,720",8분전
인천 연수구, CU 송도랜드마크시티1호,06:00~11:00,"시급8,720",8분전
