place,title,time,pay,date
경기 오산시, 폴더 폴더,시간협의,"시급8,720",8분전
경기 안성시, 폴더 폴더,시간협의,"시급8,720",41분전
경북 구미시, 폴더 폴더,시간협의,"시급8,720",1시간전
서울 중구, 미쏘 명동점,12:00~21:00,"시급8,720",2시간전
서울 강남구, (주)이랜드월드,시간협의,"시급8,720",2시간전
서울 강남구, (주)이랜드월드,시간협의,"시급8,720",2시간전
세종 어진동, 스파오 세종AK점 [(주)이랜드월드],시간협의,"시급8,720",2시간전
경기 안성시, 미쏘 안성 스타필드점,시간협의,"시급8,720",3시간전
전남 광양시, 미쏘 광양점,시간협의,"시급8,720",3시간전
전남 광양시, 미쏘 광양점,시간협의,"시급8,720",3시간전
전북 전주시, 미쏘 전주NC점,시간협의,"시급8,720",3시간전
서울 영등포, (주)이랜드월드 미쏘 타임스퀘어점,시간협의,"시급8,720",3시간전
경기 성남시, 야탑NC 미쏘,시간협의,"시급8,720",3시간전
경기 하남시, (주)이랜드월드,12:00~21:00,"시급8,720",4시간전
서울 강남구, (주)이랜드월드,시간협의,"시급8,720",4시간전
경북 경주시, (주)이랜드월드,12:00~21:00,"시급8,720",4시간전
서울 성북구, (주)이랜드월드,시간협의,"시급8,720",4시간전
경북 경주시, (주)이랜드월드,12:00~21:00,"시급8,720",4시간전
경북 경주시, (주)이랜드월드,12:00~21:00,"시급8,720",4시간전
경기 수원시, 폴더 AK수원하이라이트점,09:30~18:30,"시급8,720",5시간전
경기 수원시, 폴더 AK수원하이라이트점,09:30~18:30,"시급8,720",5시간전
세종 전체, 미쏘 마크원세종점,10:30~16:00,"시급8,720",5시간전
세종 전체, 스파오 세종AK점 [(주)이랜드월드],시간협의,"시급8,720",6시간전
경기 고양시, MIXXO 고양스타필드점,시간협의,"시급8,720",6시간전
대전 전체, 미쏘 세종AK점,시간협의,"시급8,720",6시간전
전북 전주시, 미쏘 전주NC점,시간협의,"시급8,720",6시간전
경기 성남시, 야탑NC 미쏘,시간협의,"시급8,720",6시간전
전북 전주시, 미쏘 전주NC점,시간협의,"시급8,720",7시간전
경기 수원시, 폴더 AK수원하이라이트점,09:30~18:30,"시급8,720",08/15
전북 전주시, 미쏘 전주NC점,시간협의,"시급8,720",08/15
서울 강남구, (주)이랜드월드,시간협의,"시급8,720",08/14
서울 강남구, (주)이랜드월드,시간협의,"시급8,720",08/14
경기 안산시, (주)이랜드월드 미쏘 안산점,시간협의,"시급8,720",08/14
충남 당진시, (주)이랜드월드 스파오 당진점,시간협의,"시급8,720",08/14
경기 성남시, 야탑NC 미쏘,시간협의,"시급8,720",08/14
대구 중구, (주)이랜드월드 미쏘 동성로점,시간협의,"시급8,720",08/13
서울 관악구, (주)이랜드월드 스파오,시간협의,"시급8,720",08/13
경남 창원시, (주)이랜드월드 스파오,시간협의,"시급8,720",08/12
충북 청주시, (주)이랜드월드 스파오,시간협의,"시급8,720",08/11
경기 안산시, (주)이랜드월드 미쏘 안산점,시간협의,"시급8,720",08/10
충북 청주시, (주)이랜드월드 스파오,시간협의,"시급8,720",08/10
인천 남동구, 미쏘인천점,시간협의,"시급8,720",08/09
서울 강남구, (주)이랜드월드,시간협의,"시급8,720",08/08
인천 남동구, 미쏘인천점,시간협의,"시급8,720",08/08
대구 중구, (주)이랜드월드 스파오,시간협의,"시급8,720",08/06
세종 전체, 미쏘 세종AK점,11:00~20:30,"시급8,720",08/06
인천 남동구, 미쏘인천점,시간협의,"시급8,720",08/06
전남 광양시, (주)이랜드월드 스파오,시간협의,"시급8,720",08/06
서울 금천구, (주)이랜드월드 폴더 마리오아울렛점,10:00~21:30,"시급8,720",08/05
전남 광양시, (주)이랜드월드 스파오,시간협의,"시급8,720",08/04
