place,title,time,pay,date
경기 김포시, (주)지에스리테일 랄라블라,18:30~23:00,"시급8,720",1시간전
대구 달성군, GS리테일 H&B 랄라블라,17:00~20:00,"시급10,464",1시간전
부산 해운대, (주)지에스리테일,10:00~14:30,"시급8,720",2시간전
충남 천안시, (주)지에스리테일,10:00~13:30,"시급8,720",2시간전
서울 동작구, (주)지에스리테일 랄라블라중대점,18:00~21:00,"시급8,720",2시간전
경기 성남시, (주)지에스리테일,11:00~16:00,"시급8,720",3시간전
서울 서대문, (주)지에스리테일 랄라블라,17:00~20:00,"시급8,720",3시간전
서울 관악구, (주)지에스리테일 랄라블라 관악점,19:00~22:00,"시급8,720",3시간전
서울 금천구, (주)지에스리테일,10:00~15:00,"시급8,720",3시간전
전남 여수시, (주)지에스리테일 랄라블라여수충무점,12:30~18:00,"시급8,720",3시간전
서울 서대문, (주)지에스리테일 랄라블라,16:30~22:00,"시급8,720",3시간전
서울 서초구, GS리테일 H&B / 양재역점,19:00~22:00,"시급8,720",3시간전
전북 전주시, (주)지에스리테일,11:00~14:30,"시급8,720",3시간전
서울 서초구, GS리테일 H&B / 양재역점,17:00~20:00,"시급8,720",3시간전
서울 영등포, (주)지에스리테일,18:00~21:00,"시급8,720",4시간전
대구 달성군, GS리테일 H&B 랄라블라,17:00~20:00,"시급10,464",4시간전
경기 광명시, (주)지에스리테일,11:00~15:30,"시급8,720",4시간전
서울 서대문, (주)지에스리테일 랄라블라,17:00~20:00,"시급8,720",4시간전
전북 전체, (주)지에스리테일,10:30~14:00,"시급8,720",5시간전
서울 관악구, (주)지에스리테일 랄라블라 관악점,19:00~22:00,"시급8,720",08/15
경기 김포시, (주)지에스리테일,18:30~23:00,"시급8,720",08/15
경기 수원시, (주)지에스리테일,17:30~22:00,"시급8,720",08/14
전북 전주시, GS리테일 H&B / 전북도청점,11:00~14:30,"시급8,720",08/13
전북 전주시, (주)지에스리테일,11:00~14:30,"시급8,720",08/11
경남 창원시, (주)지에스리테일 랄라블라,17:30~21:00,"시급8,720",08/11
경남 창원시, (주)지에스리테일 랄라블라,16:00~21:00,"시급8,720",08/11
대구 달성군, GS리테일 H&B 랄라블라,17:30~20:00,"시급8,720",08/10
전남 여수시, (주)지에스리테일 랄라블라여수충무점,12:30~18:00,"시급8,720",08/07
전남 여수시, (주)지에스리테일 랄라블라여수충무점,12:30~18:00,"시급8,720",08/07
전남 여수시, (주)지에스리테일 랄라블라여수충무점,08:00~13:30,"시급8,720",08/07
전남 여수시, (주)지에스리테일 랄라블라여수충무점,11:00~16:00,"시급8,720",08/07
서울 관악구, GS리테일 H&B사업부문 랄라블라,18:00~21:00,"시급8,720",08/07
경기 김포시, (주)지에스리테일 랄라블라,18:30~23:00,"시급8,720",08/05
경북 경산시, (주)지에스리테일 랄라블라영남대점,11:00~13:30,"시급8,720",07/31
전남 여수시, (주)지에스리테일 랄라블라여수충무점,17:00~22:00,"시급8,720",07/31
