place,title,time,pay,date
서울 마포구, GS수퍼마켓 마포상암점,시간협의,"시급8,720",4분전
강원 강릉시, GS수퍼마켓 강릉포남점,17:00~23:00,"시급8,720",5분전
서울 서대문, GS수퍼마켓 남가좌디엠씨점,16:30~23:00,"시급8,720",5분전
서울 서대문, GS수퍼마켓 남가좌디엠씨점,17:00~23:00,"시급8,720",13분전
서울 마포구, GS수퍼마켓 마포상암점,시간협의,"시급8,720",13분전
충남 천안시, GS수퍼마켓 천안불당시티점,11:00~16:00,"시급8,720",14분전
부산 북구, GS수퍼마켓 만덕이편한점,17:30~21:30,"시급8,720",17분전
경기 오산시, GS수퍼마켓 GS수퍼마켓 오산시티자이,18:00~23:00,"시급8,720",23분전
경기 고양시, GS수퍼마켓 식사자이점,10:00~19:00,"시급8,720",24분전
세종 아름동, GS수퍼마켓 세종아름점,시간협의,"시급8,720",28분전
세종 아름동, GS수퍼마켓 세종아름점,17:00~23:00,"시급8,720",29분전
경북 문경시, GS수퍼마켓 문경점,13:00~18:30,"시급8,720",40분전
경남 진주시, GS수퍼마켓 GS수퍼마켓 충무공점,16:00~23:00,"시급8,720",41분전
경북 문경시, GS수퍼마켓 문경점,17:00~23:00,"시급8,720",42분전
서울 서대문, GS수퍼마켓 남가좌디엠씨점,07:00~13:30,"시급8,720",50분전
경기 하남시, GS수퍼마켓 미사강변2점,시간협의,"시급8,720",55분전
경남 창원시, GS수퍼마켓 마산회원점,17:30~23:00,"시급8,720",57분전
서울 강북구, GS수퍼마켓 길음뉴타운점,16:00~23:00,"시급8,720",57분전
경기 하남시, GS수퍼마켓 미사강변2점,시간협의,"시급8,720",59분전
경남 김해시, GS수퍼마켓 장유삼문점,20:00~23:00,"시급8,720",1시간전
서울 관악구, GS수퍼마켓 낙성대점,09:00~18:00,"시급8,720",1시간전
서울 용산구, GS수퍼마켓 용산해링턴점,시간협의,"시급9,000",1시간전
서울 전체, GS수퍼마켓 잠원점,시간협의,"시급8,720",1시간전
서울 강북구, GS수퍼마켓 길음뉴타운점,21:00~23:00,"시급10,000",1시간전
서울 전체, GS수퍼마켓 잠원점,시간협의,"시급8,720",1시간전
서울 전체, GS수퍼마켓 잠원점,시간협의,"시급8,720",1시간전
경북 포항시, GS수퍼마켓 포항메트로점,16:00~23:00,"시급8,720",1시간전
경북 포항시, GS수퍼마켓 포항메트로점,16:00~23:00,"시급8,720",1시간전
경기 전체, GS수퍼마켓 잠원점,시간협의,"시급8,720",1시간전
경남 창원시, GS수퍼마켓 마산회원점,17:30~23:00,"시급8,720",1시간전
경기 전체, GS수퍼마켓 잠원점,시간협의,"시급8,720",1시간전
경기 김포시, GS수퍼마켓 김포풍무점,09:00~16:00,"시급8,720",1시간전
서울 송파구, GS수퍼마켓 잠실장미점,19:00~22:00,"시급10,000",1시간전
경기 김포시, GS수퍼마켓 김포풍무점,09:00~13:00,"시급8,720",1시간전
경기 김포시, GS수퍼마켓 김포풍무점,09:00~13:00,"시급8,720",1시간전
경기 김포시, GS수퍼마켓 김포풍무점,09:00~16:00,"시급8,720",1시간전
부산 강서구, GS수퍼마켓 명지신도시점,09:00~16:30,"월급1,334,160",1시간전
경기 김포시, GS수퍼마켓 김포풍무점,09:00~16:00,"시급8,720",1시간전
경기 군포시, GS수퍼마켓 군포당동점,08:00~15:30,"시급8,720",1시간전
부산 강서구, GS수퍼마켓 명지신도시점,09:00~16:00,"월급1,500,000",1시간전
경기 군포시, GS수퍼마켓 군포당동점,13:00~17:00,"시급8,720",1시간전
경기 광명시, GS수퍼마켓 광명점,시간협의,"시급8,720",2시간전
경기 안양시, GS수퍼마켓 안양석수점,09:00~16:30,"시급8,720",2시간전
경기 안양시, GS수퍼마켓 안양석수점,16:00~23:00,"시급8,720",2시간전
경기 군포시, GS수퍼마켓 군포당동점,08:00~15:30,"시급8,720",2시간전
경북 포항시, GS수퍼마켓 포항죽도점,08:00~12:30,"시급10,000",2시간전
서울 관악구, GS수퍼마켓 관악청림점,13:00~22:00,"시급8,720",2시간전
경북 포항시, GS수퍼마켓 포항죽도점,08:00~12:30,"시급10,000",2시간전
서울 강북구, GS수퍼마켓 길음뉴타운점,18:00~23:00,"시급8,720",2시간전
서울 관악구, GS수퍼마켓 관악청림점,13:00~22:00,"시급8,720",2시간전
