place,title,time,pay,date
대전 유성구, KFC 유성온천,시간협의,"시급8,720",15분전
대전 유성구, KFC 유성온천,시간협의,"시급8,720",16분전
경기 수원시, KFC 수원역사1,08:30~18:00,"시급8,720",26분전
서울 강동구, KFC 둔촌동,시간협의,"시급8,720",28분전
서울 강동구, KFC 둔촌동,시간협의,"시급8,720",28분전
서울 종로구, KFC 청계천,시간협의,"시급8,720",43분전
서울 동대문, KFC 청량리역사,시간협의,"시급8,720",49분전
서울 중랑구, KFC 먹골역,시간협의,"시급8,720",1시간전
서울 중랑구, KFC 사가정,18:00~01:30,"시급8,720",1시간전
서울 중랑구, KFC 사가정,18:00~01:30,"시급8,720",1시간전
경기 고양시, KFC 행신역,시간협의,"시급8,720",1시간전
경기 고양시, KFC 행신역,시간협의,"시급8,720",1시간전
서울 중구, KFC KOREA,09:00~18:00,"시급8,720",1시간전
서울 영등포, KFC 동여의도,시간협의,"시급8,720",1시간전
서울 강남구, KFC 학동역,23:00~06:00,"시급8,720",1시간전
서울 강남구, KFC 학동역,18:00~23:30,"시급8,720",1시간전
서울 강남구, KFC 학동역,08:00~14:00,"시급8,720",1시간전
서울 강서구, KFC 목동사거리,시간협의,"시급8,720",2시간전
경기 안양시, KFC 안양일번가,09:00~16:00,"시급8,720",2시간전
경기 수원시, KFC 수원인계DT,17:00~23:30,"시급8,720",2시간전
경북 경산시, KFC 영남대,10:00~00:30,"시급8,720",2시간전
대구 서구, KFC 내당동,시간협의,"시급8,720",2시간전
울산 남구, KFC 울산현대,18:00~24:00,"시급8,720",2시간전
대전 서구, KFC 대전시청역,시간협의,"시급8,720",2시간전
서울 강서구, KFC 화곡역,시간협의,"시급8,720",2시간전
경북 경산시, KFC 영남대,10:00~00:30,"시급8,720",2시간전
충남 아산시, KFC 아산터미널,09:30~22:00,"시급8,720",2시간전
경기 구리시, KFC 구리돌다리,시간협의,"시급8,720",2시간전
인천 계양구, KFC 계산동,시간협의,"시급8,720",2시간전
경기 수원시, KFC 수원인계DT,17:00~23:00,"시급8,720",2시간전
충남 아산시, KFC 아산터미널,09:30~17:00,"연봉23,300,000",2시간전
울산 남구, KFC 울산현대,18:00~24:00,"시급8,720",2시간전
서울 중랑구, KFC 망우동,시간협의,"시급8,720",2시간전
서울 서초구, KFC 강남고속터미널,10:00~17:00,"시급8,720",3시간전
경남 창원시, KFC 창원상남동,09:30~24:00,"시급8,720",3시간전
서울 서초구, KFC 강남고속터미널,10:00~17:00,"시급8,720",3시간전
서울 영등포, KFC 당산역,09:00~00:00,"시급8,720",3시간전
대구 달서구, KFC 상인네거리,00:00~01:00,"시급8,720",3시간전
대구 달서구, KFC 상인네거리,00:00~01:00,"시급8,720",3시간전
대구 달서구, KFC 상인네거리,00:00~01:00,"시급8,720",3시간전
대전 서구, KFC 대전시청역,시간협의,"시급8,720",3시간전
경기 의정부, KFC 의정부HP,시간협의,"시급8,720",3시간전
충북 청주시, KFC 청주수곡DT,시간협의,"시급8,720",3시간전
서울 송파구, KFC 잠실,시간협의,"시급8,720",3시간전
경기 양주시, KFC 양주고읍,시간협의,"시급8,720",3시간전
경기 하남시, KFC 하남시청,시간협의,"시급8,720",4시간전
경기 고양시, KFC 행신역,시간협의,"시급8,720",4시간전
경기 고양시, KFC 행신역,시간협의,"시급8,720",4시간전
대전 유성구, KFC 유성온천,시간협의,"시급8,720",4시간전
경북 포항시, KFC 포항터미널,18:00~24:00,"시급8,720",4시간전
