place,title,time,pay,date
대전 동구, SK에너지 (주)하늘셀프주유소,시간협의,"시급8,720",2시간전
광주 남구, SK에너지 SK월드컵주유소,08:00~18:30,"시급9,000",4시간전
광주 남구, SK에너지 SK월드컵주유소,08:00~18:30,"시급9,000",4시간전
광주 남구, SK에너지 SK월드컵주유소,08:00~18:30,"시급9,000",4시간전
광주 남구, SK에너지 SK월드컵주유소,08:00~18:30,"시급9,000",4시간전
서울 송파구, SK에너지 (주)신화에너지 서울지점,08:30~18:00,"월급2,300,000",9시간전
서울 송파구, SK에너지 한강에너지(주)퍼스트주유소,15:00~01:00,"월급2,520,000",08/15
서울 송파구, SK에너지 한강에너지(주)퍼스트주유소,15:00~01:00,"월급2,520,000",08/15
서울 송파구, SK에너지 한강에너지(주)퍼스트주유소,15:00~01:00,"월급2,520,000",08/15
서울 송파구, SK에너지 한강에너지(주)퍼스트주유소,15:00~01:00,"월급2,520,000",08/15
서울 송파구, SK에너지 한강에너지(주)퍼스트주유소,15:00~01:00,"월급2,520,000",08/15
서울 양천구, SK에너지 가로공원주유소,시간협의,"시급8,720",08/15
대구 북구, SK에너지 대광셀프주유소,14:00~21:00,"시급8,720",08/15
서울 양천구, SK에너지 가로공원주유소,시간협의,"시급8,720",08/14
서울 송파구, SK에너지 (주)신화에너지 서울지점,08:30~18:00,"월급2,300,000",08/14
서울 마포구, SK에너지 (주)안국에너지 망원동주유,10:30~19:00,"시급8,720",08/13
전국 전체, SK에너지 삼미상사(주) 부평마장셀프,시간협의,"월급2,200,000",08/13
경기 용인시, SK에너지 언남신도시주유소,11:00~21:00,"시급9,000",08/13
경기 전체, SK에너지 SK에너지(주)운암뜰주유소,06:00~12:00,"시급9,000",08/13
서울 강서구, SK에너지 코리나(주)청룡주유소,13:00~21:00,"시급8,720",08/13
경기 부천시, SK에너지 부광주유소,08:30~12:30,"월급1,100,000",08/12
경기 고양시, SK에너지 SK부광주유소 원당점,14:00~18:00,"월급1,200,000",08/12
경기 부천시, SK에너지 부광주유소,08:30~17:30,"월급2,430,000",08/12
경기 남양주, SK에너지 호평첨단주유소,시간협의,"시급8,720",08/12
전국 전체, SK에너지 강평주유소,14:00~23:00,"시급11,236",08/12
서울 전체, SK에너지 강평주유소,14:00~23:00,"시급11,236",08/12
경기 구리시, SK에너지 강평주유소,14:00~23:00,"시급11,236",08/12
전국 전체, SK에너지 강평주유소,14:00~23:00,"시급11,236",08/12
서울 전체, SK에너지 강평주유소,14:00~23:00,"시급11,236",08/12
경기 전체, SK에너지 삼미상사(주)동하셀프주유소,시간협의,"월급2,250,000",08/12
경기 광주시, SK에너지 서민행복주유소,시간협의,"시급8,720",08/12
서울 송파구, SK에너지 (주)신화에너지 서울지점,08:30~18:00,"월급2,300,000",08/12
경기 양평군, SK에너지 승리주유소,시간협의,"시급9,000",08/12
서울 동대문, SK에너지 삼영주유소,10:00~17:00,"시급8,720",08/12
인천 중구, SK에너지 한국2주유소,시간협의,"시급8,720",08/12
경기 평택시, SK에너지 항만주유소,시간협의,"월급2,130,000",08/11
서울 서초구, SK에너지 양재주유소,19:00~08:00,"시급9,000",08/11
서울 서초구, SK에너지 양재주유소,19:00~08:00,"시급9,000",08/10
경기 안산시, SK에너지 해안주유소,11:00~21:00,"월급2,500,000",08/10
전남 장성군, SK에너지 ㈜세승동화주유소,13:00~20:00,"시급9,000",08/10
경기 양평군, SK에너지 승리주유소,시간협의,"시급9,000",08/09
서울 송파구, SK에너지 (주)신화에너지 서울지점,08:30~18:00,"월급2,300,000",08/09
경기 여주시, SK에너지 성신충전소,13:00~23:00,"월급2,100,000",08/08
경기 이천시, SK에너지 성신충전소,13:00~23:00,"월급2,100,000",08/08
전북 김제시, SK에너지 아라주유소,시간협의,"월급2,000,000",08/06
경기 안산시, SK에너지 해안주유소,11:00~21:00,"월급2,500,000",08/06
서울 전체, SK에너지 풍한주유소,16:00~20:00,"시급8,720",08/06
경기 의정부, SK에너지 원에너지(주) 호원주유소,14:00~22:00,"월급1,900,000",08/05
경기 의정부, SK에너지 원에너지(주) 호원주유소,14:00~22:00,"월급1,900,000",08/05
경기 양평군, SK에너지 승리주유소,시간협의,"월급2,000,000",08/05
