place,title,time,pay,date
경기 수원시, TGIF 수원롯데몰점,시간협의,"시급10,470",9분전
경기 수원시, TGIF 수원롯데몰점,시간협의,"시급10,470",1시간전
서울 강남구, (주)롯데리아 더푸드하우스 수서역사점,12:30~21:30,"시급8,720",3시간전
서울 노원구, TGIF 노원점,17:30~21:00,"시급10,470",23시간전
경기 수원시, TGIF 수원롯데몰점,시간협의,"시급10,470",08/14
경기 수원시, TGIF 수원롯데몰점,시간협의,"시급10,470",08/13
서울 강남구, (주)롯데리아 더푸드하우스 수서역사점,06:00~22:00,"시급8,720",08/12
경기 고양시, TGIF 롯데일산점,09:30~22:30,"시급8,720",08/07
경기 용인시, TGI FRIDAYS 롯데몰수지점,시간협의,"시급8,720",08/05
대전 서구, TGIF 롯데대전점,07:00~09:00,"시급10,470",08/04
대전 서구, TGIF 롯데대전점,17:00~22:30,"시급10,470",08/04
부산 중구, TGIF 롯데광복점,11:00~21:30,"시급10,440",08/02
부산 중구, TGIF 롯데광복점,시간협의,"시급10,440",08/02
