place,title,time,pay,date
서울 강남구, (주)초록마을 본사직영,09:00~18:00,"월급2,360,000",08/13
서울 강서구, (주)초록마을 본사직영,17:00~21:00,"시급10,470",08/13
서울 강서구, (주)초록마을 본사직영,08:00~12:00,"시급10,470",08/13
경기 성남시, (주)초록마을 본사직영,09:00~18:00,"월급2,360,000",08/13
서울 동작구, (주)초록마을 본사직영,09:00~18:00,"월급2,360,000",08/13
경기 용인시, (주)초록마을 본사직영,09:00~18:00,"월급2,360,000",08/13
서울 중랑구, (주)초록마을 본사직영,09:00~21:00,"월급2,750,000",08/13
서울 서초구, (주)초록마을 본사직영,09:00~18:00,"월급2,360,000",08/13
경기 하남시, (주)초록마을 본사직영,11:00~20:00,"월급2,400,000",08/13
대전 서구, (주)초록마을 본사직영,09:00~18:00,"월급2,400,000",08/13
경기 용인시, (주)초록마을 본사직영,09:00~18:00,"월급2,400,000",08/13
서울 서초구, (주)초록마을 본사직영,11:00~20:00,"월급2,400,000",08/13
서울 동작구, (주)초록마을 본사직영,09:00~18:00,"월급2,400,000",08/13
서울 강남구, (주)초록마을 본사직영,11:00~20:00,"월급2,400,000",08/13
