place,title,time,pay,date
부산 동래구, 크라운호프 부산동래직영점,19:00~24:00,"시급8,720",3분전
부산 동래구, 크라운호프 부산동래직영점,19:00~24:00,"시급8,720",4분전
부산 동래구, 크라운호프 부산동래직영점,19:00~24:00,"시급8,720",4분전
대구 달서구, 크라운호프 대구대곡점,시간협의,"시급9,000",16분전
인천 서구, 크라운호프 청라점,18:00~22:00,"시급8,720",25분전
대구 달성군, 크라운호프 대구다사점,시간협의,"시급8,720",37분전
울산 남구, 크라운호프 울산삼산현대점,20:00~11:00,"시급9,000",48분전
울산 남구, 크라운호프 울산삼산현대점,20:00~11:00,"시급9,000",48분전
경기 부천시, 크라운호프 송내영화의거리,17:00~22:30,"시급9,500",49분전
인천 계양구, 크라운호프 인천동양,18:00~22:30,"시급9,000",52분전
부산 사하구, 크라운호프 부산동아대,18:00~04:00,"월급2,500,000",1시간전
인천 서구, 크라운호프 청라파크자이,16:00~22:00,"시급10,000",1시간전
부산 사하구, 크라운호프 부산동아대,18:00~04:00,"월급2,500,000",2시간전
경기 부천시, 크라운호프 송내영화의거리,16:30~22:30,"월급1,550,000",2시간전
전남 여수시, 크라운호프 여수죽림점,19:30~22:30,"시급8,720",2시간전
전북 전주시, 크라운호프 전주호성점,시간협의,"시급9,000",2시간전
경남 진주시, 크라운호프 진주혁신점,19:30~01:00,"시급8,750",3시간전
인천 서구, 크라운호프 청라파크자이,16:00~22:00,"시급10,000",3시간전
경기 파주시, 크라운호프 운정교하점,시간협의,"시급9,000",4시간전
부산 사하구, 크라운호프 부산동아대,18:00~04:00,"월급2,500,000",5시간전
경기 성남시, 크라운호프 산성점,시간협의,"건별9,000",5시간전
인천 서구, 크라운호프 청라점,18:00~22:00,"시급8,720",5시간전
경남 진주시, 크라운호프 진주혁신점,19:30~01:00,"시급8,750",5시간전
경기 부천시, 크라운호프 부천원종,시간협의,"시급8,720",7시간전
부산 부산진, 크라운호프 부산개금점,16:00~22:00,"시급8,720",7시간전
전북 전주시, 크라운호프 전주호성점,시간협의,"시급9,500",7시간전
전북 전주시, 크라운호프 전주호성점,16:00~02:00,"월급2,500,000",7시간전
서울 강서구, 경성주막1929 송정역점,19:00~22:00,"시급8,800",8시간전
서울 강서구, 경성주막1929 송정역점,19:00~22:00,"시급8,800",8시간전
서울 강서구, 경성주막1929 송정역점,19:00~22:00,"시급8,800",8시간전
서울 강서구, 경성주막1929 송정역점,19:00~22:00,"시급8,800",8시간전
서울 강서구, 경성주막1929 송정역점,19:00~22:00,"시급8,800",8시간전
충남 천안시, 크라운호프 천안두정점,17:00~23:00,"시급9,000",14시간전
경기 성남시, 경성주막1929 성남태평,18:00~22:00,"시급9,000",15시간전
경기 성남시, 경성주막1929 성남태평,18:00~22:00,"시급9,000",15시간전
제주 제주시, 크라운호프 제주일도지구점,19:00~02:00,"시급9,500",18시간전
경기 안산시, 크라운호프 안산고잔,19:00~22:30,"시급8,720",19시간전
경북 포항시, 크라운호프 포항문덕점,시간협의,"시급9,000",23시간전
경북 경주시, 금복주류 경주용황점,17:00~03:00,"시급9,000",23시간전
경북 경주시, 크라운호프 경주동천점,17:30~02:00,"월급1,850,000",23시간전
충남 천안시, 크라운호프 천안두정점,18:00~05:00,"월급2,510,000",08/15
충남 천안시, 크라운호프 천안두정점,17:00~23:00,"시급9,000",08/15
경기 평택시, 크라운호프 평택동삭점,18:00~22:00,"시급8,720",08/14
경기 평택시, 크라운호프 평택동삭점,시간협의,"시급8,720",08/14
충남 천안시, 크라운호프 천안청당점,18:00~02:00,"시급9,000",08/14
제주 제주시, 크라운호프 제주일도지구점,18:30~02:00,"시급9,000",08/14
충남 천안시, 크라운호프 천안두정점,17:00~23:00,"시급9,000",08/14
제주 제주시, 크라운호프 연동점,18:00~02:00,"시급10,000",08/14
충남 천안시, 크라운호프 천안두정점,17:00~23:00,"시급9,000",08/14
대구 달성군, 크라운호프 대구다사점,시간협의,"시급8,720",08/13
