place,title,time,pay,date
경기 김포시, 교촌치킨 양곡점,17:00~24:00,"시급11,000",3분전
경기 평택시, 교촌치킨 고덕1호점,17:00~23:00,"시급13,000",7분전
서울 성북구, 교촌치킨 서울북부 길음뉴타운점,17:00~23:00,"시급13,000",7분전
서울 강서구, 교촌치킨 서울서부 목3동점,시간협의,"시급11,000",15분전
서울 양천구, 교촌치킨 서울서부 목3동점,시간협의,"시급11,000",15분전
부산 부산진, 교촌치킨 부산 서면,17:00~01:00,"시급8,720",16분전
부산 부산진, 교촌치킨 부산 서면,12:00~01:00,"건별2,800",16분전
인천 연수구, 교촌치킨 인천 선학연수3호,18:00~01:00,"시급9,000",17분전
인천 연수구, 교촌치킨 인천 선학연수3호,18:00~01:00,"시급10,500",17분전
충북 청주시, 교촌치킨 오송점,18:00~01:00,"시급9,000",17분전
서울 강북구, 교촌치킨 서울북부 번동점,시간협의,"시급10,680",19분전
경기 안산시, 교촌치킨 안산 사동2호,시간협의,"시급8,720",20분전
전남 여수시, 교촌치킨 여수 문수,시간협의,"시급8,720",20분전
대구 남구, 교촌치킨 앞산,17:00~24:00,"시급10,000",21분전
서울 마포구, 교촌치킨 서울 홍대,14:00~02:00,"월급3,200,000",22분전
서울 전체, 교촌치킨 서울 신촌,14:00~02:00,"월급3,200,000",22분전
서울 마포구, 교촌치킨 서울 아현점,12:00~24:00,"월급3,200,008",23분전
서울 강동구, 교촌치킨 미사역,17:00~24:00,"시급12,000",24분전
강원 춘천시, 교촌치킨 춘천 교대,17:00~21:00,"시급8,720",25분전
경기 김포시, 교촌치킨 양곡점,17:00~24:00,"시급11,000",29분전
부산 남구, 교촌치킨 부산남북부 못골점,18:00~22:00,"시급9,000",33분전
경기 성남시, 교촌치킨 경기중앙 모란역점,시간협의,"시급11,000",35분전
경기 성남시, 교촌치킨 경기중앙 모란역점,시간협의,"시급11,000",35분전
경북 김천시, 교촌치킨 김천혁신,17:00~23:30,"시급8,720",35분전
광주 서구, 교촌치킨 화정2호,17:00~24:00,"시급10,000",35분전
광주 서구, 교촌치킨 화정2호,17:00~24:00,"시급10,000",36분전
서울 전체, 교촌치킨 서울시청,시간협의,"월급3,500,000",37분전
서울 전체, 교촌치킨 서울시청,시간협의,"월급3,500,000",37분전
서울 전체, 교촌치킨 서울시청,시간협의,"월급3,500,000",37분전
경북 김천시, 교촌치킨 김천혁신,12:00~17:00,"시급8,720",38분전
경기 김포시, 교촌치킨 양곡점,17:00~24:00,"시급11,000",38분전
경기 광명시, 교촌치킨 경기서부 소하2호점,18:00~23:00,"시급8,750",38분전
울산 북구, 교촌치킨 울산 호계1호,14:00~24:00,"시급10,000",40분전
경기 고양시, 교촌치킨 경기북부 향동지구점,18:00~23:30,"시급8,720",40분전
서울 전체, 교촌치킨 서울시청,시간협의,"월급3,500,000",42분전
서울 전체, 교촌치킨 안국점,17:00~24:00,"시급9,000",43분전
서울 전체, 교촌치킨 안국점,17:00~24:00,"시급9,000",43분전
서울 전체, 교촌치킨 안국점,17:00~24:00,"시급9,000",43분전
서울 전체, 교촌치킨 안국점,17:00~24:00,"시급9,000",43분전
서울 전체, 교촌치킨 안국점,17:00~24:00,"시급9,000",43분전
경기 의왕시, 교촌치킨 경기 포일내손,17:30~22:30,"시급9,000",45분전
경기 성남시, 교촌치킨 성남위례,17:00~24:00,"시급9,000",47분전
경기 성남시, 교촌치킨 성남위례,12:00~24:00,"시급9,000",47분전
경기 성남시, 교촌치킨 성남위례,17:00~24:00,"시급11,000",47분전
경기 고양시, 교촌치킨 고양 삼송,11:00~15:00,"시급9,000",47분전
경기 고양시, 교촌치킨 고양 삼송,17:00~23:00,"시급10,000",47분전
경기 고양시, 교촌치킨 고양 삼송,17:00~21:00,"시급10,000",47분전
경기 고양시, 교촌치킨 고양 삼송,17:00~23:30,"월급1,900,000",47분전
인천 연수구, 교촌치킨 인천 옥련,18:00~24:00,"시급10,000",47분전
경남 통영시, 교촌치킨 통영 죽림,17:30~23:30,"시급9,000",50분전
