place,title,time,pay,date
경기 화성시, 귀한족발 동탄점,17:00~22:00,"월급1,250,000",08/14
경기 화성시, 귀한족발 동탄점,13:00~22:00,"월급2,300,000",08/14
서울 전체, 귀한족발 반포점,14:00~02:00,"월급2,700,000",08/11
서울 전체, 귀한족발 반포점,12:00~23:00,"월급2,700,000",08/11
서울 성북구, 귀한족발 성신여대본점,시간협의,"월급2,500,000",08/09
서울 성북구, 귀한족발 성신여대본점,시간협의,"월급2,500,000",08/09
서울 성북구, 귀한족발 성신여대본점,시간협의,"월급2,500,000",08/09
전남 여수시, 귀한족발 여천점,시간협의,"월급2,300,000",08/09
전남 여수시, 귀한족발 여천점,시간협의,"월급2,300,000",08/09
전남 여수시, 귀한족발 여천점,시간협의,"월급2,300,000",08/09
서울 성북구, 귀한족발 성신여대본점,시간협의,"월급2,500,000",08/07
전남 여수시, 귀한족발 여천점,시간협의,"월급2,300,000",08/06
서울 광진구, 귀한족발 중곡점,시간협의,"월급3,000,000",08/02
서울 광진구, 귀한족발 중곡점,시간협의,"월급3,000,000",08/02
서울 광진구, 귀한족발 중곡점,시간협의,"월급3,000,000",08/02
서울 중랑구, 귀한족발 사가정점,시간협의,"월급2,500,000",08/02
서울 중랑구, 귀한족발 사가정점,시간협의,"월급2,500,000",08/02
서울 중랑구, 귀한족발 사가정점,시간협의,"월급2,500,000",08/02
