place,title,time,pay,date
경기 시흥시, 다이소 시흥대야점,10:00~16:00,"시급8,720",1분전
경기 시흥시, 다이소 시흥능곡점,09:30~15:30,"시급8,720",2분전
경기 시흥시, 다이소 시흥능곡점,09:00~18:00,"월급1,822,480",2분전
대구 달성군, 대구테크노폴리스점,16:00~22:00,"시급8,720",2분전
대구 달성군, 대구테크노폴리스점,09:00~18:00,"월급1,822,480",2분전
서울 금천구, 다이소 마리오아울렛점,08:00~17:00,"월급1,822,480",3분전
서울 금천구, 다이소 마리오아울렛점,08:00~14:00,"시급8,720",3분전
충남 서산시, 다이소 서산본점,09:00~15:00,"시급8,720",3분전
경북 영천시, 다이소 영천시청점,09:00~18:00,"월급1,822,480",3분전
서울 금천구, 다이소 독산점,15:00~21:00,"시급8,720",4분전
대구 동구, 다이소 롯데마트대구점,09:00~15:00,"시급8,720",4분전
대구 달서구, 다이소 홈플러스성서점,07:00~13:00,"시급8,720",4분전
충남 아산시, 다이소 아산모종점,09:00~15:00,"시급8,720",5분전
경북 칠곡군, 다이소 칠곡중리2호점,09:00~18:00,"월급1,822,480",5분전
경기 안성시, 다이소 스타필드안성점,10:00~16:00,"시급8,720",5분전
서울 구로구, 다이소 구로디지털2호점,16:00~22:00,"시급8,720",5분전
경북 안동시, 다이소 안동태화점,09:00~18:00,"월급1,822,480",6분전
경기 수원시, 광교아브뉴프랑점,16:00~22:00,"시급8,720",6분전
강원 춘천시, 다이소 춘천명동점,09:00~22:00,"시급8,720",6분전
경북 안동시, 다이소 안동태화점,15:00~21:00,"시급8,720",6분전
경기 광명시, 다이소 광명하안점,10:00~16:00,"시급8,720",6분전
경기 오산시, 오산원동점,시간협의,"월급1,822,480",6분전
충남 아산시, 다이소 아산배방점,10:00~16:00,"시급8,720",6분전
경기 화성시, 다이소 남동탄점,시간협의,"월급1,822,480",6분전
경북 안동시, 다이소 안동옥동점,09:00~18:00,"월급1,822,480",6분전
경기 오산시, 다이소 세마대사거리점,시간협의,"월급1,822,480",7분전
경기 광명시, 다이소 광명사거리점,16:00~22:00,"시급8,720",7분전
경기 광명시, 다이소 광명사거리점,16:00~22:00,"시급8,720",7분전
대구 북구, 다이소 대구칠성점,08:30~17:30,"월급1,822,480",7분전
경기 화성시, 다이소 화성진안점,16:00~22:00,"시급8,720",7분전
강원 원주시, 다이소 원주무실점,09:00~18:00,"월급1,822,480",7분전
경기 화성시, 다이소 화성향남2지구점,시간협의,"월급1,822,480",8분전
대구 서구, 다이소 대구비산네거리점,07:00~16:00,"월급1,822,480",8분전
충남 아산시, 다이소 아산배방점,09:00~18:00,"월급1,822,480",8분전
경기 수원시, 다이소 영통판타지움점,시간협의,"월급1,822,480",8분전
대구 북구, 다이소 대구복현점,16:00~22:00,"시급8,720",8분전
경기 화성시, 다이소 화성향남점,시간협의,"월급1,822,480",9분전
경기 평택시, 다이소 평택소사벌지구점,시간협의,"월급1,822,480",9분전
대구 북구, 다이소 대구대현점,16:00~22:00,"시급8,720",9분전
서울 관악구, 다이소 낙성대점,08:30~17:30,"시급8,720",9분전
충남 아산시, 다이소 아산점,10:00~16:00,"시급8,720",9분전
대구 북구, 다이소 대구대현점,09:00~12:00,"시급8,720",9분전
경기 수원시, 다이소 수원남문점,시간협의,"시급8,720",9분전
경기 화성시, 동탄2신도시점,13:00~22:00,"월급1,822,480",10분전
경북 구미시, 다이소 구미확장지구점,10:00~16:00,"시급8,720",10분전
경기 수원시, 수원역지하상가점,16:00~22:00,"시급8,720",10분전
경기 안성시, 다이소 안성공도점,15:00~21:00,"시급8,720",11분전
경북 예천군, 다이소 경북도청신도시점,09:00~18:00,"월급1,822,480",11분전
서울 관악구, 다이소 신림3호점,09:00~18:00,"월급1,822,480",11분전
서울 관악구, 다이소 신림3호점,10:00~16:00,"시급8,720",11분전
