place,title,time,pay,date
인천 전체, 대교 눈높이 경인BCG,11:00~20:00,"월급2,200,000",3분전
경기 시흥시, 대교 눈높이 경인BCG,11:00~20:00,"월급2,200,000",5분전
경기 김포시, 대교 눈높이 경인BCG,11:00~20:00,"월급2,200,000",7분전
경기 김포시, 대교 눈높이 통진강화BL사업국,10:00~20:00,"월급2,200,000",8분전
인천 미추홀, 대교 눈높이 인천용현HL사업국,11:00~20:00,"월급2,200,000",11분전
서울 마포구, 대교 눈높이 공덕 러닝센터,13:00~20:00,"월급1,500,000",14분전
서울 서대문, 대교 눈높이 마포HL사업국,13:00~21:00,"월급2,000,000",15분전
서울 종로구, 대교 눈높이 마포HL사업국,13:00~21:00,"월급2,000,000",16분전
대구 북구, 대교 눈높이 동변 러닝센터,10:30~20:00,"월급2,500,000",16분전
인천 서구, 대교 눈높이 인천서부HL사업국,11:00~20:00,"월급2,200,000",16분전
서울 마포구, 대교 눈높이 마포HL사업국,13:00~21:00,"월급2,000,000",17분전
인천 전체, 대교 눈높이 인천북부HL사업국,11:00~20:00,"월급2,200,000",18분전
인천 부평구, 대교 눈높이 인천부평HL사업국,11:00~20:00,"월급2,200,000",18분전
인천 남동구, 대교 눈높이 인천남동HL사업국,11:00~20:00,"월급2,200,000",19분전
경기 시흥시, 대교 눈높이 시화배곧HL사업국,11:00~20:00,"월급2,200,000",19분전
인천 연수구, 대교 눈높이 송도동춘HL사업국,11:00~20:00,"월급2,200,000",20분전
인천 남동구, 대교 눈높이 논현만수HL사업국,11:00~20:00,"월급2,200,000",20분전
충남 홍성군, 대교 눈높이 내포BL사업국,13:00~20:00,"월급2,000,000",21분전
경기 김포시, 대교 눈높이 김포한강HL사업국,11:00~20:00,"월급2,200,000",21분전
경기 시흥시, 대교 눈높이 경기시흥BL사업국,11:00~20:00,"월급2,200,000",21분전
충남 천안시, 대교 눈높이 남천안HL사업국,13:00~20:00,"월급2,000,000",24분전
충북 청주시, 대교 눈높이 청주동부HL사업국,13:00~20:00,"월급2,000,000",27분전
부산 사상구, 대교 눈높이 부산사상HL사업국,시간협의,"월급2,500,000",28분전
경남 양산시, 대교 눈높이 물금 러닝센터,13:00~20:00,"월급2,000,000",34분전
경남 양산시, 대교 눈높이 석산 러닝센터,10:00~20:00,"월급2,000,000",36분전
대구 동구, 대교 눈높이 신율하 러닝센터,10:30~20:00,"월급2,500,000",53분전
대구 동구, 대교 눈높이 대구이시아 러닝센터,10:30~20:00,"월급2,500,000",54분전
경기 전체, 대교 눈높이 양동HL사업국,14:00~21:00,"월급2,500,000",1시간전
대구 동구, 대교 눈높이 신암1호 러닝센터,11:00~20:00,"월급2,500,000",1시간전
대구 달성군, 대교 눈높이 세천 러닝센터,11:00~20:00,"월급2,000,000",1시간전
경기 하남시, 대교 눈높이 하남BL사업국,11:30~20:30,"월급3,000,000",1시간전
대구 달성군, 대교 눈높이 매곡 러닝센터,11:00~20:00,"월급2,000,000",1시간전
경기 하남시, 대교 눈높이 미사센트럴 러닝센터,11:30~20:30,"월급3,000,000",1시간전
경기 하남시, 대교 눈높이 하남신장 러닝센터,11:30~20:30,"월급3,000,000",1시간전
경기 하남시, 대교 눈높이 미사강변 러닝센터,11:30~20:30,"월급3,000,000",1시간전
경기 하남시, 대교 눈높이 미사중앙 러닝센터,11:30~20:30,"월급3,000,000",2시간전
대구 달성군, 대교 눈높이 강창 러닝센터,11:00~20:00,"월급2,000,000",2시간전
대구 동구, 대교 눈높이 동대구HL사업국,시간협의,"월급2,000,000",2시간전
부산 전체, 대교 눈높이 양정 러닝센터,13:00~20:00,"월급2,100,000",2시간전
경기 수원시, 대교 눈높이 수원남부HL사업국,13:00~21:00,"월급2,500,000",2시간전
대구 동구, 대교 눈높이 신율하 러닝센터,10:30~20:00,"월급2,500,000",2시간전
경기 이천시, 대교 눈높이 이천북부HL사업국,14:00~21:00,"월급2,000,000",2시간전
대구 동구, 대교 눈높이 대구이시아 러닝센터,10:30~20:00,"월급2,500,000",2시간전
경기 수원시, 대교 눈높이 권선 러닝센터,13:00~21:00,"월급3,500,000",2시간전
경기 수원시, 대교 눈높이 힐스 러닝센터,13:00~21:00,"월급3,500,000",2시간전
경기 수원시, 대교 눈높이 매탄 러닝센터,13:00~21:00,"월급3,500,000",2시간전
경기 수원시, 대교 눈높이 명당 러닝센터,13:00~21:00,"월급3,500,000",2시간전
경기 안양시, 대교 눈높이 비산평촌HL사업국,13:00~21:00,"월급2,000,000",3시간전
경기 안양시, 대교 눈높이 비산평촌HL사업국,13:00~21:00,"월급2,000,000",3시간전
경기 안양시, 대교 눈높이 비산평촌HL사업국,13:00~21:00,"월급2,000,000",3시간전
