place,title,time,pay,date
울산 남구, 대한곱창 울산달동점,17:00~24:00,"시급8,800",4시간전
울산 남구, 대한곱창 울산달동점,17:00~24:00,"시급8,800",4시간전
울산 남구, 대한곱창 울산달동점,17:00~24:00,"시급8,800",4시간전
세종 소담동, 대한곱창 세종소담점,14:00~24:00,"월급775,000",5시간전
부산 남구, 대한곱창 부산경성대점,16:00~19:00,"시급8,720",5시간전
부산 남구, 대한곱창 부산경성대점,18:00~21:00,"시급9,300",5시간전
광주 광산구, 대한곱창 광주수완점,18:00~24:00,"시급10,000",5시간전
광주 광산구, 대한곱창 광주수완점,18:00~24:00,"시급10,000",6시간전
광주 광산구, 대한곱창 광주수완점,18:00~24:00,"시급10,000",6시간전
경기 남양주, 대한곱창 마석점,17:00~22:00,"시급9,000",8시간전
광주 광산구, 대한곱창 광주수완점,18:00~24:00,"시급10,000",9시간전
경기 성남시, 대한곱창 위례점,20:00~23:00,"시급8,720",08/15
경기 성남시, 대한곱창 위례점,15:00~23:00,"월급2,300,000",08/15
울산 남구, 대한곱창 울산달동점,17:00~24:00,"시급8,800",08/15
세종 소담동, 대한곱창 세종소담점,14:00~24:00,"월급770,000",08/14
세종 소담동, 대한곱창 세종소담점,시간협의,"월급925,000",08/14
서울 노원구, 대한곱창 중계점,14:00~23:00,"월급2,300,000",08/13
서울 노원구, 대한곱창 중계점,14:00~23:00,"월급2,300,000",08/13
서울 노원구, 대한곱창 중계점,14:00~23:00,"월급2,300,000",08/13
서울 노원구, 대한곱창 중계점,14:00~23:00,"월급2,300,000",08/13
서울 노원구, 대한곱창 중계점,14:00~23:00,"월급2,300,000",08/13
울산 남구, 대한곱창 울산달동점,17:00~21:00,"시급8,800",08/12
인천 서구, 대한곱창 인천청라점,04:00~11:00,"시급10,000",08/11
세종 소담동, 대한곱창 세종소담점,시간협의,"시급9,000",08/10
충북 청주시, 대한곱창 청주율량점,18:00~24:00,"시급9,000",08/09
인천 서구, 대한곱창 인천청라점,04:00~11:00,"시급10,000",08/09
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,200,000",08/05
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,200,000",08/05
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,200,000",08/05
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,200,000",08/05
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,200,000",08/05
충북 청주시, 대한곱창 청주율량점,18:00~24:00,"시급9,000",08/02
충북 청주시, 대한곱창 청주율량점,18:00~24:00,"시급9,000",08/02
전남 여수시, 대한곱창 여수웅천점,18:00~22:00,"시급10,000",08/02
전남 여수시, 대한곱창 여수웅천점,18:00~22:00,"시급10,000",08/02
전남 여수시, 대한곱창 여수웅천점,18:00~22:00,"시급10,000",08/02
서울 송파구, 대한곱창 문정역점,15:00~01:00,"시급10,000",08/02
서울 송파구, 대한곱창 문정역점,15:00~01:00,"시급10,000",08/02
서울 송파구, 대한곱창 문정역점,15:00~01:00,"시급10,000",08/02
경기 용인시, 대한곱창 수지구청점,18:00~22:00,"시급10,000",08/02
경기 용인시, 대한곱창 수지구청점,18:00~22:00,"시급10,000",08/02
경기 용인시, 대한곱창 수지구청점,18:00~22:00,"시급10,000",08/02
경기 남양주, 대한곱창 마석점,17:00~22:00,"시급9,000",08/01
경기 남양주, 대한곱창 마석점,17:00~22:00,"시급9,000",08/01
경기 광주시, 대한곱창 광주초월점,시간협의,"시급9,000",07/31
경기 광주시, 대한곱창 광주초월점,시간협의,"시급9,000",07/31
