place,title,time,pay,date
경남 양산시, 두찜  양산물금점2,17:00~22:00,"시급10,000",28분전
울산 동구, 두찜  울산동구일산점,17:30~21:30,"시급8,750",2시간전
경북 포항시, 두찜  포항이동점,16:00~22:30,"시급10,500",3시간전
경북 포항시, 두찜  포항이동점,10:00~22:30,"월급2,700,000",3시간전
경북 포항시, 두찜  포항양덕점,11:00~17:00,"시급8,720",4시간전
경북 포항시, 두찜  포항양덕점,11:00~17:00,"시급8,720",4시간전
경북 포항시, 두찜  포항양덕점,17:00~22:00,"시급8,720",4시간전
경북 포항시, 두찜  포항양덕점,17:00~22:00,"시급8,720",5시간전
경북 포항시, 두찜  포항이동점,16:00~22:30,"시급10,500",5시간전
경북 포항시, 두찜  포항이동점,16:00~22:30,"시급10,500",5시간전
인천 남동구, 두찜  인천구월점,10:30~23:30,"월급2,200,000",7시간전
경북 포항시, 두찜  포항이동점,16:00~22:30,"시급10,500",8시간전
경기 광명시, 두찜  광명역점,11:30~22:30,"월급2,300,000",10시간전
부산 사하구, 두찜 & 떡참 부산괴정점2,시간협의,"시급9,000",20시간전
광주 광산구, 두찜  광주월곡점,18:00~22:00,"시급9,000",21시간전
인천 서구, 두찜  인천석남점,18:00~21:00,"시급11,000",08/15
서울 마포구, 두찜  마포신수점,11:00~23:00,"월급2,500,000",08/15
서울 전체, 두찜  성동왕십리점,10:30~22:30,"시급9,000",08/14
경기 화성시, 두찜  화성남양점,16:00~20:00,"시급8,720",08/12
경북 경산시, 두찜  경산중방점,13:00~17:00,"시급8,720",08/12
경기 이천시, 두찜  이천하이닉스점,시간협의,"시급10,000",08/11
경남 양산시, 두찜  양산물금점2,17:00~22:00,"시급10,000",08/10
경기 화성시, 두찜  화성남양점,16:00~20:00,"시급8,720",08/10
경북 포항시, 두찜  포항양덕점,17:00~22:00,"시급8,720",08/09
경남 양산시, 두찜  양산물금점2,17:00~22:00,"시급10,000",08/09
서울 용산구, 두찜  용산원효점,시간협의,"월급2,400,000",08/08
경기 용인시, 두찜 & 떡참 서판교점,시간협의,"월급2,600,000",08/08
경기 용인시, 두찜 & 떡참 서판교점,시간협의,"월급2,600,000",08/08
경기 성남시, 두찜 & 떡참 서판교점,시간협의,"월급2,600,000",08/08
서울 전체, 두찜  성동왕십리점,10:30~22:30,"월급2,500,000",08/08
경기 광명시, 두찜  광명역점,11:00~15:00,"시급8,800",08/06
서울 마포구, 두찜  마포신수점,17:30~21:30,"시급9,300",08/04
서울 구로구, 두찜  광명1호점,12:00~18:00,"월급1,650,000",08/04
서울 구로구, 두찜  광명1호점,14:00~21:00,"월급1,176,000",08/04
서울 구로구, 두찜  광명1호점,14:00~21:00,"월급1,176,000",08/04
경기 광명시, 두찜  광명1호점,14:00~21:00,"월급1,176,000",08/04
울산 동구, 두찜  울산동구일산점,17:30~21:30,"시급8,750",08/04
경기 광명시, 두찜  광명1호점,12:00~18:00,"월급1,650,000",08/04
경기 용인시, 두찜  용인수지동천점,10:30~14:30,"시급11,000",08/03
광주 광산구, 두찜  광주월곡점,11:00~23:00,"월급2,500,000",08/02
광주 광산구, 두찜  광주월곡점,시간협의,"월급2,500,000",08/02
광주 광산구, 두찜  광주월곡점,시간협의,"월급2,500,000",08/02
서울 영등포, 두찜  영등포당산점,10:30~22:30,"월급2,500,000",08/01
경기 성남시, 두찜 & 떡참 서판교점,시간협의,"시급10,000",08/01
경기 성남시, 두찜 & 떡참 서판교점,시간협의,"월급2,600,000",08/01
대전 서구, 두찜  대전탄방점2,17:00~20:30,"시급8,720",08/01
전남 목포시, 두찜  목포하당점,11:00~23:00,"월급2,500,000",07/31
경기 이천시, 두찜  이천하이닉스점,시간협의,"시급10,000",07/31
광주 광산구, 두찜  광주월곡점,시간협의,"월급2,500,000",07/31
부산 사하구, 두찜  부산괴정점,17:00~22:00,"시급9,300",07/31
