place,title,time,pay,date
전북 익산시, 딜버 익산본점,시간협의,"일급250,000",1분전
전북 익산시, 딜버 익산본점,시간협의,"일급250,000",2분전
전북 익산시, 딜버 익산본점,시간협의,"일급250,000",3분전
부산 해운대, 해운대우동본점,시간협의,"일급200,000",11분전
대전 서구, 딜버 대전 원내점,시간협의,"일급200,000",37분전
대전 서구, 딜버 대전 원내점,시간협의,"일급200,000",38분전
대전 서구, 딜버 대전 원내점,시간협의,"일급200,000",40분전
인천 부평구, 부평2호점,시간협의,"일급200,000",58분전
대전 서구, 대전관저지점,시간협의,"일급200,000",1시간전
대전 서구, 대전관저지점,시간협의,"일급200,000",1시간전
대전 서구, 대전관저지점,시간협의,"일급200,000",1시간전
경기 안양시, 안양만안점,11:00~03:00,"일급200,000",1시간전
경기 안양시, 딜버 딜버 의왕점,10:30~01:00,"월급5,000,000",1시간전
경기 의왕시, 딜버 딜버 의왕점,10:30~01:00,"일급200,000",1시간전
경기 과천시, 딜버 딜버 의왕점,10:30~01:00,"일급250,000",1시간전
광주 북구, 딜버 정문점,시간협의,"월급5,000,000",2시간전
경남 김해시, 김해 삼계1점,시간협의,"건별3,500",2시간전
경북 구미시, 구미산동점,시간협의,"건별3,000",2시간전
경북 구미시, 구미산동점,시간협의,"건별3,000",2시간전
경북 구미시, 구미산동점,시간협의,"건별3,000",2시간전
경북 구미시, 구미옥계점,시간협의,"건별3,000",2시간전
경북 구미시, 구미옥계점,시간협의,"건별3,000",2시간전
경북 구미시, 구미옥계점,시간협의,"건별3,000",2시간전
경기 부천시, 딜버 부천점,시간협의,"월급5,000,000",2시간전
경기 부천시, 딜버 부천4호점,시간협의,"일급200,000",2시간전
경남 김해시, 김해 삼계1점,시간협의,"건별3,500",2시간전
경기 부천시, 딜버 부천4호점,시간협의,"일급200,000",2시간전
경기 부천시, 딜버 부천4호점,시간협의,"일급200,000",2시간전
경남 창원시, 마산중리점,11:00~23:00,"일급150,000",2시간전
경남 김해시, 장유4지점,시간협의,"일급150,000",2시간전
경남 김해시, 장유4지점,시간협의,"일급150,000",2시간전
부산 해운대, 딜버 중동점,시간협의,"일급200,000",2시간전
부산 해운대, 딜버 중동점,시간협의,"일급200,000",2시간전
부산 해운대, 딜버 중동점,시간협의,"일급200,000",2시간전
부산 해운대, 딜버 좌동점,시간협의,"일급200,000",2시간전
부산 해운대, 딜버 좌동점,시간협의,"일급200,000",2시간전
부산 해운대, 딜버 좌동점,시간협의,"일급200,000",2시간전
부산 해운대, 딜버 부산 해운대본점,시간협의,"일급200,000",2시간전
부산 해운대, 딜버 부산 해운대본점,시간협의,"일급200,000",2시간전
부산 해운대, 딜버 부산 해운대본점,시간협의,"일급200,000",2시간전
광주 북구, 딜버 정문점,시간협의,"월급5,000,000",3시간전
충남 아산시, 아산 모종지부,09:30~03:00,"월급5,000,000",4시간전
충남 아산시, 아산 모종지부,09:30~03:00,"월급5,000,000",4시간전
충남 아산시, 아산 모종지부,09:30~03:00,"월급5,000,000",4시간전
충남 아산시, 딜버 아산점,10:00~03:00,"일급150,000",4시간전
충남 아산시, 딜버 아산점,10:00~03:00,"일급150,000",4시간전
충남 아산시, 딜버 아산점,10:00~03:00,"일급150,000",4시간전
경남 김해시, 딜버 장유무계점,시간협의,"일급200,000",4시간전
경남 김해시, 딜버 장유무계점,시간협의,"일급200,000",4시간전
경남 김해시, 딜버 장유무계점,시간협의,"일급200,000",4시간전
