place,title,time,pay,date
전북 전주시, (주)러쉬코리아,09:30~20:30,"시급10,790",2시간전
서울 구로구, (주)러쉬코리아,12:30~21:30,"시급10,790",2시간전
경기 수원시, (주)러쉬코리아,09:30~20:30,"시급10,790",2시간전
경기 수원시, (주)러쉬코리아,09:30~20:30,"시급10,790",2시간전
경기 성남시, (주)러쉬코리아,11:30~20:30,"시급10,790",3시간전
경기 고양시, (주)러쉬코리아,09:30~20:30,"시급10,790",4시간전
경기 성남시, (주)러쉬코리아 롯데백화점 분당점,11:30~20:30,"시급10,790",4시간전
충북 음성군, 러쉬코리아,09:00~18:00,"시급10,790",4시간전
충북 음성군, 러쉬코리아,09:00~18:00,"시급10,790",4시간전
충북 진천군, 러쉬코리아,09:00~18:00,"시급10,790",4시간전
충북 진천군, 러쉬코리아,09:00~18:00,"시급10,790",4시간전
충북 진천군, 러쉬코리아,09:00~18:00,"시급10,790",4시간전
인천 전체, (주)러쉬코리아,10:00~21:30,"시급10,790",5시간전
서울 중구, 러쉬 신세계본점,09:30~20:30,"시급10,790",5시간전
대전 유성구, (주)러쉬코리아,시간협의,"시급10,790",6시간전
서울 서초구, (주)러쉬코리아 강남역점,10:00~22:00,"시급10,790",7시간전
광주 서구, (주)러쉬코리아,09:30~20:30,"시급10,790",8시간전
대구 전체, (주)러쉬코리아 현대백화점 대구점,시간협의,"시급10,790",08/15
충북 전체, 러쉬 현대충청,시간협의,"시급10,790",08/14
대전 서구, 러쉬롯데백화점대전점,10:00~20:30,"시급10,790",08/14
부산 중구, 러쉬 롯데백화점 광복점 아쿠아몰,시간협의,"시급10,790",08/13
서울 송파구, (주)러쉬코리아,13:00~22:00,"시급10,790",08/12
충남 천안시, (주)러쉬코리아,11:00~08:00,"시급10,790",08/12
전국 전체, (주)러쉬코리아,10:00~20:30,"시급10,790",08/12
경기 성남시, 러쉬 AK분당(서현),12:00~21:00,"시급10,790",08/11
서울 영등포, (주)러쉬코리아,시간협의,"시급10,790",08/09
서울 영등포, (주)러쉬코리아 여의도IFC몰,10:00~22:00,"시급10,790",08/08
경기 화성시, 러쉬 롯데동탄,시간협의,"시급10,790",08/08
서울 전체, (주)러쉬코리아,시간협의,"시급10,790",08/05
서울 강남구, 현대압구정본점,09:30~20:30,"시급10,790",08/04
경기 부천시, (주)러쉬코리아,시간협의,"시급10,790",07/31
전국 전체, 의정부신세계백화점 러쉬,시간협의,"시급10,790",07/31
경기 화성시, (주)러쉬코리아 롯데백화점동탄점,시간협의,"시급10,790",07/31
