place,title,time,pay,date
경기 수원시, 롭스 수원역사점,17:30~22:00,"시급8,720",19분전
서울 금천구, 롭스 롯데마트금천점,10:00~15:30,"시급8,720",25분전
서울 용산구, 롭스 이태원점,10:00~16:00,"시급8,720",35분전
광주 광산구, 롯데쇼핑㈜ H&B사업본부 (롭스) 광,10:30~16:00,"시급8,720",44분전
광주 광산구, 롯데쇼핑㈜ H&B사업본부 (롭스) 광,10:30~16:00,"시급8,720",47분전
서울 용산구, 롭스 용산역점,17:30~23:00,"시급8,720",1시간전
서울 송파구, 롭스 잠실점,10:30~16:00,"시급8,720",1시간전
경기 광명시, 롭스 광명아울렛점,13:30~19:00,"시급8,720",2시간전
서울 동작구, 롭스 이수점,15:00~19:00,"시급8,720",2시간전
서울 송파구, 롭스 신천점,18:00~22:30,"시급8,720",2시간전
서울 송파구, 롭스 신천점,11:00~14:30,"시급8,720",2시간전
서울 용산구, 롭스 이태원점,16:00~23:00,"시급8,720",2시간전
서울 용산구, 롭스 이태원점,10:00~16:00,"시급8,720",2시간전
서울 중구, 롭스 을지로입구역사점,17:00~22:00,"시급8,720",2시간전
경기 용인시, 롭스 기흥아웃렛점,15:00~21:00,"시급8,720",3시간전
서울 용산구, 롭스 이태원점,16:00~23:00,"시급8,720",3시간전
서울 용산구, 롭스 이태원점,10:00~16:00,"시급8,720",3시간전
서울 동작구, 롭스 이수점,15:00~19:00,"시급8,720",4시간전
경기 의정부, 롭스 의정부점,16:00~21:30,"시급8,720",21시간전
경기 남양주, 롭스 롯데슈퍼 남양주진접점,시간협의,"시급8,750",08/15
경기 광명시, 롭스 광명아울렛점,13:30~19:00,"시급8,720",08/14
경기 용인시, 롭스 기흥아웃렛점,15:00~21:00,"시급8,720",08/09
경기 남양주, 롭스 롯데슈퍼 남양주진접점,15:00~23:00,"시급8,750",08/08
경기 남양주, 롭스 롯데슈퍼 남양주진접점,08:00~12:30,"시급8,850",08/08
