place,title,time,pay,date
강원 원주시, 롯데리아 원주태장점,시간협의,"시급8,720",2분전
충북 충주시, 롯데리아 롯데마트충주점,18:00~21:00,"시급8,720",9분전
인천 부평구, 롯데리아 인천도화점,09:00~23:00,"시급8,720",10분전
인천 남동구, 롯데리아 인천도화점,09:00~23:00,"시급8,720",11분전
인천 서구, 롯데리아 인천도화점,09:00~23:00,"시급8,720",11분전
인천 미추홀, 롯데리아 인천도화점,09:00~23:00,"시급8,720",12분전
인천 미추홀, 롯데리아 인천도화점,11:00~14:00,"시급8,720",13분전
경기 안양시, 롯데리아 안양중앙점,시간협의,"시급8,720",20분전
서울 구로구, 롯데리아 개봉점,시간협의,"시급8,720",25분전
서울 구로구, 롯데리아 개봉점,시간협의,"시급8,720",25분전
전북 전주시, 롯데리아 전주법원,시간협의,"시급8,720",30분전
경기 시흥시, 롯데리아 롯데마트시흥배곧점,시간협의,"시급8,720",34분전
경기 시흥시, 롯데리아 롯데마트시흥배곧점,시간협의,"시급8,720",34분전
경기 시흥시, 롯데리아 롯데마트시흥배곧점,시간협의,"시급8,720",34분전
경기 시흥시, 롯데리아 롯데마트시흥배곧점,시간협의,"시급8,720",34분전
경기 시흥시, 롯데리아 롯데마트시흥배곧점,시간협의,"시급8,720",34분전
경기 수원시, 롯데리아 수원권선점,09:00~24:00,"시급8,720",37분전
경기 수원시, 롯데리아 수원권선점,09:00~24:00,"시급8,720",37분전
경기 수원시, 롯데리아 수원권선점,08:00~18:00,"월급2,000,000",37분전
경기 수원시, 롯데리아 수원권선점,시간협의,"시급8,720",37분전
경기 수원시, 롯데리아 수원권선점,시간협의,"시급8,720",37분전
충남 천안시, 롯데리아 천안백석점,16:00~22:00,"시급8,720",40분전
충남 천안시, 롯데리아 천안백석점,16:00~22:00,"시급8,720",40분전
충남 천안시, 롯데리아 천안백석점,16:00~22:00,"시급8,720",40분전
충남 천안시, 롯데리아 천안백석점,16:00~22:00,"시급8,720",40분전
충남 천안시, 롯데리아 천안백석점,16:00~22:00,"시급8,720",41분전
인천 서구, 롯데리아 인천청라호수공원점,09:00~18:00,"월급2,200,000",41분전
경남 양산시, 롯데리아 양산석산점,시간협의,"시급8,720",42분전
경북 구미시, 롯데리아 구미상모점,10:00~22:00,"시급8,720",43분전
경기 광주시, 롯데리아 광주태전점,09:00~23:00,"시급8,720",48분전
경기 광주시, 롯데리아 경기광주역점,09:00~23:00,"시급8,720",49분전
광주 북구, 롯데리아 전남대점,시간협의,"시급8,720",51분전
서울 구로구, 롯데리아 개봉역점,17:00~23:00,"시급8,720",53분전
부산 해운대, 롯데리아 부산해운대좌동점,18:00~22:30,"시급8,720",56분전
울산 북구, 롯데리아 울산정자해변점,시간협의,"시급8,720",1시간전
울산 북구, 롯데리아 울산정자해변점,14:00~22:30,"월급2,200,000",1시간전
부산 부산진, 롯데리아 부산점포점,시간협의,"시급8,720",1시간전
전북 익산시, 롯데리아 익산부송점,18:00~22:30,"시급8,720",1시간전
경남 김해시, 롯데리아 김해진영점,17:00~20:00,"시급8,720",1시간전
부산 부산진, 롯데리아 부산점포점,시간협의,"시급8,720",1시간전
경남 김해시, 롯데리아 김해진영점,11:30~17:00,"시급8,720",1시간전
서울 도봉구, 롯데리아 방학점,16:00~22:30,"시급8,720",1시간전
경기 전체, 롯데리아 DMC항동점,시간협의,"시급8,720",1시간전
경기 시흥시, 롯데리아 롯데마트시흥점,시간협의,"시급8,720",1시간전
경기 수원시, 롯데리아 홈플러스동수원점,18:00~22:30,"시급8,720",1시간전
경북 경주시, 롯데리아 신경주역사점,15:00~20:00,"시급8,720",1시간전
경기 고양시, 롯데리아 고양행신역점,시간협의,"시급8,720",1시간전
대전 유성구, 롯데리아 대전반석점,18:00~22:30,"시급8,720",2시간전
서울 전체, 롯데리아 한성대입구역점,시간협의,"시급8,720",2시간전
서울 관악구, 롯데리아 봉천역점,17:00~23:00,"시급8,720",2시간전
