place,title,time,pay,date
대전 서구, 마왕족발 대전둔산직영점,11:00~20:00,"월급2,630,000",52분전
대전 서구, 마왕족발 대전둔산직영점,11:00~20:00,"월급2,630,000",53분전
대전 서구, 마왕족발 대전둔산직영점,11:00~20:00,"월급2,630,000",53분전
경기 오산시, 마왕족발 오산세마역점,15:00~24:00,"월급2,400,000",53분전
대전 서구, 마왕족발 대전둔산직영점,11:00~20:00,"월급2,630,000",54분전
대전 서구, 마왕족발 대전둔산직영점,11:00~20:00,"월급2,630,000",54분전
인천 연수구, 마왕족발 인천연수점(직영),15:00~01:00,"월급2,360,000",55분전
인천 연수구, 마왕족발 인천연수점(직영),15:00~01:00,"시급10,464",58분전
인천 연수구, 마왕족발 인천연수점(직영),15:00~01:00,"월급2,360,000",1시간전
대구 달서구, 마왕족발 대구계명대점,시간협의,"월급2,700,000",2시간전
서울 송파구, 마왕족발 위례신도시점,14:30~23:00,"월급2,300,000",3시간전
인천 미추홀, 마왕족발 인천용현점,15:00~23:00,"시급8,720",4시간전
경기 화성시, 마왕족발 화송반송점(직영),15:00~24:00,"월급2,500,000",5시간전
경기 화성시, 마왕족발 화송반송점(직영),15:00~24:00,"월급2,500,000",5시간전
경기 화성시, 마왕족발 화송반송점(직영),15:00~24:00,"월급2,500,000",5시간전
경기 화성시, 마왕족발 화송반송점(직영),15:00~24:00,"월급2,500,000",5시간전
인천 서구, 마왕족발 인천서구청점,18:00~22:00,"시급9,000",5시간전
인천 서구, 마왕족발 인천서구청점,18:00~22:00,"시급9,000",5시간전
인천 미추홀, 마왕족발 인천용현점,15:00~23:00,"시급8,720",5시간전
서울 송파구, 마왕족발 방이점(직영),11:00~20:00,"월급2,500,000",7시간전
인천 서구, 마왕족발 청라점,18:00~23:00,"시급9,000",7시간전
인천 전체, 마왕족발 인천연수점(직영),15:00~01:00,"월급2,360,000",7시간전
대구 북구, 마왕족발 대구중동점,18:00~24:00,"시급9,000",7시간전
서울 송파구, 마왕족발 방이점(직영),15:00~24:00,"월급2,500,000",08/14
경기 파주시, 마왕족발 파주금릉역점,17:00~01:00,"시급10,000",08/14
경기 하남시, 마왕족발 하남미사점,시간협의,"월급2,200,000",08/13
서울 송파구, 마왕족발 방이점(직영),15:00~24:00,"월급2,500,000",08/12
인천 미추홀, 마왕족발 인천용현점,15:00~23:00,"시급8,720",08/11
인천 서구, 마왕족발 청라점,18:00~23:00,"시급9,000",08/10
서울 송파구, 마왕족발 방이점(직영),15:00~24:00,"월급2,500,000",08/09
서울 송파구, 마왕족발 위례신도시점,14:30~23:00,"월급2,300,000",08/09
인천 미추홀, 마왕족발 인천도화점,시간협의,"시급9,000",08/07
대구 달서구, 마왕족발 대구계명대점,시간협의,"시급8,720",08/07
경기 성남시, 마왕족발 정자점(직영),15:00~24:00,"월급2,500,000",08/07
경기 화성시, 마왕족발 화송반송점(직영),15:00~24:00,"월급2,500,000",08/05
서울 강서구, 마왕족발 화곡역점,시간협의,"월급2,700,000",08/02
서울 송파구, 마왕족발 위례신도시점,14:00~23:00,"월급2,300,000",08/02
경기 성남시, 마왕족발 정자점(직영),15:00~24:00,"월급2,500,000",08/02
경기 성남시, 마왕족발 정자점(직영),15:00~24:00,"월급2,500,000",08/02
경기 성남시, 마왕족발 정자점(직영),15:00~24:00,"월급2,500,000",08/02
경기 성남시, 마왕족발 정자점(직영),15:00~24:00,"월급2,500,000",08/02
경기 부천시, 마왕족발 부천점(본점직영),20:00~01:00,"시급10,464",08/02
경기 부천시, 마왕족발 부천점(본점직영),20:00~01:00,"시급10,464",08/02
서울 노원구, 마왕족발 상계점,12:00~22:00,"월급2,600,000",08/02
