place,title,time,pay,date
서울 광진구, 매드포갈릭 건대스타시티점,시간협의,"시급10,470",28분전
서울 전체, 매드포갈릭 영등포타임스퀘어점,09:00~15:00,"시급10,470",35분전
전국 전체, 주식회사엠에프지코리아매드포갈릭합정점,12:00~21:00,"시급10,470",49분전
서울 전체, 매드포갈릭 삼성타운점,11:30~20:30,"시급10,470",51분전
서울 전체, 매드포갈릭 삼성타운점,11:30~20:30,"시급10,470",51분전
서울 전체, (주)엠에프지코리아 매드포갈릭 잠원점,12:00~21:00,"시급10,470",1시간전
경기 안성시, 매드포갈릭 안성스타필드점,13:00~22:00,"시급10,470",1시간전
대전 서구, 매드포갈릭 대전둔산점,17:30~21:00,"시급10,470",1시간전
서울 서초구, 매드포갈릭 예술의 전당점,11:30~20:30,"시급10,470",2시간전
경기 성남시, 매드포갈릭 분당서현점,12:00~21:00,"시급10,470",2시간전
경기 수원시, 매드포갈릭 수원인계점,12:00~09:00,"시급10,470",2시간전
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",2시간전
울산 전체, 매드포갈릭 울산현대백화점,12:00~21:00,"시급8,720",2시간전
서울 양천구, 매드포갈릭 목동점,18:00~21:00,"시급10,470",3시간전
서울 전체, (주)엠에프지코리아 매드포갈릭 잠원점,12:00~21:00,"시급10,470",3시간전
경기 평택시, 매드포갈릭 평택AK플라자점,시간협의,"시급10,470",4시간전
인천 연수구, 매드포갈릭 송도점,12:00~21:00,"시급10,470",4시간전
서울 전체, (주)엠에프지코리아 매드포갈릭 잠원점,12:00~21:00,"시급10,470",5시간전
경기 평택시, 매드포갈릭 평택AK플라자점,시간협의,"시급10,470",5시간전
서울 광진구, 매드포갈릭 건대스타시티점,시간협의,"시급10,470",6시간전
서울 광진구, 매드포갈릭 건대스타시티점,시간협의,"시급10,470",6시간전
서울 전체, (주)엠에프지코리아 매드포갈릭 잠원점,12:00~21:00,"시급10,470",7시간전
부산 해운대, 매드포갈릭 해운대점,12:00~21:00,"시급10,470",7시간전
대전 서구, 매드포갈릭 대전둔산점,10:30~14:00,"시급10,470",7시간전
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",7시간전
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",7시간전
대전 서구, 매드포갈릭 대전둔산점,12:00~21:00,"시급10,470",7시간전
경기 안성시, 매드포갈릭 안성스타필드점,13:00~22:00,"시급10,470",7시간전
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",7시간전
서울 전체, 매드포갈릭 삼성타운점,11:30~20:30,"시급10,470",8시간전
서울 전체, 매드포갈릭 영등포타임스퀘어점,09:00~15:00,"시급10,470",17시간전
서울 강남구, 매드포갈릭봉은사아이파크타워점,12:00~21:00,"시급10,470",08/15
서울 광진구, 매드포갈릭 건대스타시티점,시간협의,"시급10,470",08/15
인천 연수구, 매드포갈릭 송도점,12:00~21:00,"시급10,470",08/15
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",08/15
서울 마포구, 매드포갈릭 상암MBC점,17:30~21:00,"시급10,470",08/14
경기 평택시, 매드포갈릭 평택AK플라자점,시간협의,"시급10,470",08/14
경남 창원시, 매드포갈릭 창원점,17:30~21:00,"시급10,470",08/14
서울 전체, 매드포갈릭 삼성타운점,11:30~20:30,"시급10,470",08/14
서울 강남구, 매드포갈릭봉은사아이파크타워점,10:00~14:30,"시급10,470",08/14
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",08/14
서울 서초구, 매드포갈릭 사당점,시간협의,"시급10,470",08/14
전국 전체, 주식회사엠에프지코리아매드포갈릭합정점,12:00~21:00,"시급10,470",08/14
울산 전체, 매드포갈릭 울산현대백화점,12:00~21:00,"시급8,720",08/14
서울 전체, 매드포갈릭 영등포타임스퀘어점,09:00~15:00,"시급10,470",08/12
경남 창원시, 매드포갈릭 창원점,17:30~21:00,"시급10,470",08/12
경기 성남시, 매드포갈릭 분당서현점,12:00~21:00,"시급10,470",08/12
울산 전체, 매드포갈릭 울산현대백화점,12:00~21:00,"시급8,720",08/12
대전 서구, 매드포갈릭 대전둔산점,12:00~21:00,"시급8,720",08/11
서울 서초구, 매드포갈릭 사당점,시간협의,"시급10,470",08/11
