place,title,time,pay,date
경남 진주시, 부릉 진주가좌지점,10:00~02:00,"일급150,000",2분전
전북 전주시, 부릉 전주만성지점,10:00~01:00,"월급4,000,000",12분전
경기 구리시, 부릉 구리인창지점,시간협의,"일급200,000",24분전
부산 사하구, 부릉 부산다대지점,10:00~03:00,"건별3,000",33분전
부산 사하구, 부릉 부산다대지점,09:00~02:00,"건별3,000",33분전
경기 성남시, 부릉 성남중원수정지점,10:00~06:00,"월급5,000,000",47분전
경기 성남시, 부릉 성남중원수정지점,10:00~06:00,"월급5,000,000",47분전
경기 성남시, 부릉 성남중원수정지점,10:00~03:00,"월급5,000,000",47분전
전북 전주시, 부릉 전주만성지점,10:00~01:00,"월급4,000,000",47분전
충남 당진시, 부릉 당진읍내지점,시간협의,"건별3,200",47분전
경기 성남시, 부릉 성남태평지점,시간협의,"월급5,000,000",47분전
경기 성남시, 부릉 성남태평지점,시간협의,"월급5,000,000",47분전
경기 성남시, 부릉 성남태평지점,시간협의,"월급5,000,000",47분전
경기 성남시, 부릉 성남정자지점,시간협의,"일급250,000",48분전
경기 성남시, 부릉 성남정자지점,시간협의,"일급250,000",48분전
경기 성남시, 부릉 성남정자지점,시간협의,"일급250,000",48분전
서울 동대문, 부릉 동대문장안지점,00:00~24:00,"건별3,000",58분전
서울 동대문, 부릉 동대문장안지점,00:00~24:00,"건별3,000",58분전
서울 동대문, 부릉 동대문장안지점,00:00~24:00,"건별3,000",58분전
경남 양산시, 부릉 양산웅상지점,10:00~24:00,"월급4,000,000",1시간전
경남 양산시, 부릉 양산웅상지점,10:00~24:00,"월급4,000,000",1시간전
경남 양산시, 부릉 양산웅상지점,10:00~24:00,"월급4,000,000",1시간전
경북 경산시, 부릉 경산정평지점,10:00~02:00,"건별3,000",1시간전
경북 경산시, 부릉 경산정평지점,10:00~02:00,"건별3,000",1시간전
경북 경산시, 부릉 경산정평지점,10:00~02:00,"건별3,000",1시간전
전북 전주시, 부릉 전주만성지점,10:00~01:00,"월급4,000,000",1시간전
부산 기장군, 부릉 부산교리지점,09:00~02:00,"건별3,000",1시간전
부산 기장군, 부릉 부산교리지점,09:00~02:00,"건별3,000",1시간전
부산 해운대, 부릉 부산교리지점,09:00~02:00,"건별3,000",1시간전
경기 안양시, 부릉 안양관양지점,시간협의,"건별3,000",1시간전
서울 금천구, 부릉 금천시흥지점,시간협의,"일급200,000",1시간전
서울 종로구, 부릉 종로안국지점,10:00~24:00,"건별3,000",1시간전
부산 연제구, 부릉 부산토곡지점,10:00~24:00,"건별3,000",2시간전
부산 연제구, 부릉 부산토곡지점,10:00~24:00,"건별3,000",2시간전
부산 연제구, 부릉 부산토곡지점,10:00~24:00,"건별3,000",2시간전
경기 하남시, 부릉 하남망월지점,00:00~24:00,"건별3,500",2시간전
경기 하남시, 부릉 하남망월지점,00:00~24:00,"건별3,500",2시간전
경기 하남시, 부릉 하남망월지점,00:00~24:00,"건별3,500",2시간전
서울 관악구, 부릉 관악봉천지점,시간협의,"월급5,000,000",2시간전
서울 관악구, 부릉 관악봉천지점,시간협의,"월급5,000,000",2시간전
서울 관악구, 부릉 관악봉천지점,시간협의,"월급5,000,000",2시간전
서울 마포구, 부릉 마포도화지점,09:00~00:00,"건별3,200",3시간전
서울 마포구, 부릉 마포도화지점,09:00~00:00,"건별3,200",3시간전
경기 평택시, 부릉 평택비전지점,시간협의,"월급5,000,000",3시간전
서울 마포구, 부릉 마포도화지점,09:00~00:00,"건별3,200",3시간전
경기 평택시, 부릉 평택비전지점,시간협의,"월급5,000,000",3시간전
인천 중구, 부릉 인천인현지점,11:00~01:00,"일급250,000",3시간전
인천 동구, 부릉 인천인현지점,11:00~01:00,"일급250,000",3시간전
인천 미추홀, 부릉 인천인현지점,11:00~01:00,"일급250,000",3시간전
서울 강서구, 부릉 강서화곡지점,시간협의,"건별3,200",3시간전
