place,title,time,pay,date
경기 성남시, 바스버거 판교점,09:30~15:30,"시급10,464",1시간전
경기 성남시, 바스버거 판교점,09:30~15:30,"시급10,464",1시간전
서울 용산구, 바스버거 후암점,18:30~23:00,"시급10,464",1시간전
서울 마포구, 바스버거 상암점,10:30~21:00,"시급10,464",1시간전
서울 마포구, 바스버거 상암점,10:30~21:00,"시급10,464",1시간전
서울 강남구, 바스버거 역삼점,11:00~20:00,"시급10,464",2시간전
서울 강남구, 바스버거 역삼점,09:00~16:00,"시급10,464",2시간전
서울 용산구, 바스버거 용산점,시간협의,"월급2,500,000",2시간전
서울 용산구, 바스버거 용산점,시간협의,"월급2,500,000",2시간전
서울 서초구, 바스버거 서초교대점,17:00~22:00,"시급10,464",7시간전
서울 마포구, 바스버거 연남점,16:30~22:30,"시급10,464",7시간전
서울 마포구, 바스버거 연남점,11:00~17:00,"시급10,464",7시간전
서울 마포구, 바스버거 상암점,16:30~22:00,"시급10,464",7시간전
서울 송파구, 바스버거 잠실점,12:30~21:00,"시급10,464",08/13
서울 송파구, 바스버거 잠실점,17:30~22:30,"시급10,464",08/13
서울 송파구, 바스버거 문정역점,11:00~19:00,"시급10,464",08/13
서울 송파구, 바스버거 문정역점,17:00~22:30,"시급10,464",08/13
서울 송파구, 바스버거 문정역점,10:30~15:00,"시급10,464",08/13
서울 송파구, 바스버거 문정역점,09:30~17:00,"시급10,464",08/13
경기 성남시, 바스버거 판교점,09:30~15:30,"시급10,464",08/13
서울 영등포, 바스버거 국회점,10:00~21:00,"시급10,464",08/13
서울 강남구, 바스버거 역삼점,10:30~21:00,"시급10,464",08/13
서울 강남구, 바스버거 역삼점,16:30~22:30,"시급10,464",08/13
서울 마포구, 바스버거 상암점,16:30~22:00,"시급10,464",08/10
서울 마포구, 바스버거 상암점,10:00~14:00,"시급10,464",08/09
서울 서초구, 바스버거 서초교대점,10:00~15:00,"시급10,464",08/09
서울 성동구, 바스버거 성수점,18:30~22:30,"시급10,464",08/08
서울 성동구, 바스버거 성수점,시간협의,"시급10,464",08/08
서울 중구, 바스버거 광화문점,18:00~22:00,"시급10,464",08/08
서울 중구, 바스버거 을지로점,10:00~14:30,"시급10,464",08/08
서울 중구, 바스버거 을지로점,16:30~22:00,"시급10,464",08/08
서울 서초구, 바스버거 서초교대점,10:00~15:00,"시급10,464",08/08
서울 서초구, 바스버거 서초교대점,17:00~22:30,"시급10,464",08/08
서울 마포구, 바스버거 연남점,10:00~19:00,"시급10,464",08/08
서울 중구, 바스버거 광화문점,18:00~22:00,"시급10,464",08/08
서울 중구, 바스버거 광화문점,18:00~22:00,"시급10,464",08/08
서울 중구, 바스버거 광화문점,18:00~22:00,"시급10,464",08/08
서울 강서구, 바스버거 마곡점,10:30~15:00,"시급10,464",08/08
서울 강서구, 바스버거 마곡점,17:00~22:30,"시급10,464",08/08
서울 용산구, 바스버거 후암점,10:00~21:00,"시급10,464",08/08
서울 용산구, 바스버거 후암점,15:30~21:00,"시급10,464",08/08
서울 용산구, 바스버거 용산점,시간협의,"월급2,500,000",08/08
서울 송파구, 바스버거 잠실점,09:30~14:00,"시급10,464",08/08
서울 송파구, 바스버거 잠실점,12:30~21:00,"시급10,464",08/08
서울 용산구, 바스버거 용산점,시간협의,"월급2,500,000",08/07
서울 송파구, 바스버거 잠실점,12:30~21:00,"시급10,464",08/07
서울 용산구, 바스버거 후암점,15:30~21:00,"시급10,464",08/07
서울 용산구, 바스버거 후암점,10:00~21:00,"시급10,464",08/07
서울 강서구, 바스버거 마곡점,17:00~22:30,"시급10,464",08/06
서울 강서구, 바스버거 마곡점,10:30~15:00,"시급10,464",08/06
