place,title,time,pay,date
경기 성남시, 배스킨라빈스위례창곡점,19:00~23:00,"시급8,720",2분전
광주 서구, 배스킨라빈스,10:00~14:00,"시급8,720",5분전
인천 남동구, 배스킨라빈스 구월CGV점,14:00~18:00,"시급8,720",14분전
전남 목포시, 배스킨라빈스 목포용해점,19:00~23:00,"시급8,720",16분전
부산 연제구, 배스킨라빈스부산교대점,10:00~13:30,"시급8,720",30분전
경기 성남시, 배스킨라빈스위례창곡점,13:00~18:00,"시급8,720",36분전
인천 연수구, 배스킨라빈스 송도 홈플러스점,시간협의,"시급9,000",43분전
인천 연수구, 베스킨라빈스 인천연수로데오,18:00~23:00,"시급8,720",52분전
인천 연수구, 배스킨라빈스 인천송도점,09:00~24:00,"시급8,720",53분전
서울 중랑구, 배스킨라빈스,10:00~17:00,"시급8,720",54분전
서울 전체, 배스킨라빈스 숭실대점,16:00~23:30,"시급8,720",55분전
광주 광산구, 배스킨라빈스 월계점,시간협의,"시급8,720",56분전
경북 구미시, 베스킨라빈스,18:00~23:00,"시급8,720",57분전
광주 광산구, 배스킨라빈스 첨단점,시간협의,"시급8,720",58분전
경기 성남시, 배스킨라빈스 분당정자파라곤점,09:30~15:00,"시급8,750",1시간전
서울 강북구, 배스킨라빈스 미아삼거리점,시간협의,"시급8,720",1시간전
인천 서구, 베스킨라빈스 검암점,14:00~18:00,"시급8,720",1시간전
서울 강동구, 베스킨라빈스,시간협의,"시급8,720",1시간전
충북 청주시, 배스킨라빈스(청주개신),시간협의,"시급8,720",1시간전
서울 동작구, 배스킨라빈스 숭실대점,16:00~23:30,"시급8,720",1시간전
충남 천안시, 배스킨라빈스 천안롯데마트점,18:00~22:30,"시급8,900",1시간전
경기 안양시, 배스킨라빈스,09:00~14:00,"시급8,720",1시간전
경기 성남시, 배스킨라빈스 분당시범점,18:30~23:00,"시급9,000",1시간전
서울 성북구, 배스킨라빈스 길음점,18:00~23:00,"시급8,720",2시간전
충남 아산시, 배스킨라빈스 아산모종점,시간협의,"시급8,720",2시간전
인천 연수구, 배스킨라빈스(송도호반에듀시티점),시간협의,"시급8,800",2시간전
인천 미추홀, 배스킨라빈스 인천도화점,시간협의,"시급8,720",2시간전
부산 강서구, 배스킨라빈스,00:00~24:00,"시급8,720",2시간전
대구 중구, 베스킨라빈스동아쇼핑점,16:00~21:00,"시급8,720",2시간전
부산 연제구, 배스킨라빈스부산교대점,10:00~13:30,"시급8,720",2시간전
서울 노원구, 배스킨라빈스 화랑대역점,시간협의,"시급8,800",2시간전
경기 성남시, 배스킨라빈스 분당시범점,18:30~23:00,"시급9,000",2시간전
서울 전체, 배스킨라빈스 숭실대점,16:00~23:30,"시급8,720",2시간전
서울 성북구, 배스킨라빈스 보문역점,19:00~23:30,"시급8,800",2시간전
충남 천안시, 배스킨라빈스,14:00~18:30,"시급8,720",2시간전
경기 수원시, 배스킨라빈스 수원이마트점,18:00~22:30,"시급8,720",2시간전
서울 영등포, 배스킨라빈스당산역점,19:00~23:00,"시급8,750",2시간전
경기 평택시, 배스킨라빈스 평택지제더샵점,00:00~24:00,"월급2,000,000",2시간전
경기 평택시, 배스킨라빈스 평택지제더샵점,00:00~24:00,"월급2,000,000",2시간전
서울 송파구, 베스킨라빈스가락,14:00~19:00,"시급8,720",2시간전
인천 연수구, 배스킨라빈스(송도호반에듀시티점),시간협의,"월급2,300,000",2시간전
충남 천안시, 배스킨라빈스쌍용점,시간협의,"시급8,720",2시간전
충북 충주시, 배스킨라빈스연수점,시간협의,"시급8,720",2시간전
인천 남동구, 배스킨라빈스 구월CGV점,18:00~22:00,"시급8,720",2시간전
서울 서초구, 배스킨라빈스 사당방배,18:00~23:00,"시급8,800",2시간전
광주 서구, 배스킨라빈스운천점,18:00~23:00,"시급8,720",3시간전
서울 영등포, 배스킨라빈스당산역점,19:00~23:00,"시급8,750",3시간전
충남 천안시, 배스킨라빈스신불당점,시간협의,"시급8,720",3시간전
대전 서구, 관저BR,시간협의,"시급8,720",3시간전
대전 유성구, 베스킨라빈스대전노은,시간협의,"시급8,720",3시간전
