place,title,time,pay,date
서울 구로구, 홍콩반점0410 고척동양대점,10:00~22:00,"월급2,700,000",2분전
서울 도봉구, 홍콩반점0410 창동역점,10:30~20:30,"시급8,720",2분전
경기 수원시, 역전우동0410 영통역점,11:30~13:30,"시급9,000",2분전
서울 동대문, 인생설렁탕 장한평역점,10:00~22:00,"월급2,680,000",2분전
경기 남양주, 더본코리아 홍콩반점0410 다산진건점,10:00~21:00,"시급9,000",3분전
경기 시흥시, 더본코리아 새마을식당 시흥은계점,시간협의,"시급9,000",3분전
경남 김해시, 더본코리아 홍콩반점0410 김해장유점,18:00~22:00,"시급8,750",3분전
경기 용인시, 더본코리아 홍콩반점0410 수지구청점,12:00~20:00,"시급8,800",4분전
인천 서구, 더본코리아 새마을식당 인천청라점,18:00~22:30,"시급8,720",4분전
부산 수영구, 더본코리아 홍콩반점0410 부산수영점,17:00~21:00,"시급8,720",4분전
인천 서구, 더본코리아 홍콩반점0410 인천청라점,12:00~24:00,"월급2,800,000",4분전
경남 김해시, 더본코리아 홍콩반점0410 김해장유점,10:30~16:00,"시급8,750",4분전
인천 서구, 더본코리아 홍콩반점0410 인천청라점,11:00~21:00,"시급8,720",5분전
울산 남구, 더본코리아 홍콩반점0410 울산삼산점,10:30~21:30,"월급2,500,000",5분전
경기 수원시, 역전우동0410 영통역점,09:30~14:30,"월급1,400,000",5분전
경기 하남시, 롤링파스타 미사강변점,10:00~22:00,"월급2,600,000",6분전
서울 광진구, 더본코리아 역전우동0410 압구정역점,08:00~20:00,"월급2,900,000",6분전
서울 동대문, 더본코리아 역전우동0410 압구정역점,08:00~20:00,"월급2,900,000",7분전
서울 강남구, 더본코리아 역전우동0410 압구정역점,08:00~20:00,"월급2,900,000",7분전
울산 남구, 더본코리아 홍콩반점0410 울산삼산점,10:30~21:30,"월급2,500,000",8분전
서울 동대문, 인생설렁탕 장한평역점,10:00~22:00,"월급2,680,000",9분전
전남 순천시, 롤링파스타 순천연향점,10:00~22:00,"월급2,500,000",11분전
광주 동구, 더본코리아 롤링파스타 광주충장로점,10:00~02:30,"시급8,720",12분전
광주 동구, 더본코리아 롤링파스타 광주충장로점,10:00~22:00,"월급2,700,000",12분전
광주 동구, 더본코리아 롤링파스타 광주충장로점,10:00~22:00,"월급2,700,000",13분전
서울 동대문, 인생설렁탕 장한평역점,10:00~22:00,"월급2,600,000",13분전
대구 전체, 롤링파스타 대구월성점,10:00~22:00,"월급2,500,000",16분전
서울 동대문, 더본코리아 홍콩반점0410 답십리역점,10:00~22:00,"월급2,600,000",17분전
대구 달서구, 롤링파스타 대구월성점,10:00~22:00,"월급2,500,000",17분전
부산 부산진, 막이오름 부산서면점,시간협의,"시급8,720",17분전
경기 수원시, 역전우동0410 영통역점,11:30~13:30,"시급9,000",18분전
경기 남양주, 더본코리아 홍콩반점0410 다산진건점,16:00~21:00,"시급9,000",18분전
서울 강남구, 더본코리아 홍콩반점0410 대치은마점,10:00~21:00,"일급90,000",19분전
광주 동구, 더본코리아 롤링파스타 광주충장로점,10:00~02:30,"시급8,720",19분전
광주 동구, 더본코리아 롤링파스타 광주충장로점,10:00~22:00,"월급2,700,000",20분전
서울 노원구, 더본코리아 롤링파스타 노원역점,16:00~21:00,"시급8,720",20분전
경기 용인시, 더본코리아 홍콩반점0410 수지구청점,10:00~21:00,"월급2,550,000",22분전
충남 천안시, 더본코리아 새마을식당 천안두정점,14:00~10:00,"월급1,850,000",23분전
서울 노원구, 역전우동0410 중계은행사거리점,14:00~22:00,"시급8,800",24분전
충남 천안시, 롤링파스타 이마트천안점,11:00~16:00,"시급9,500",24분전
경기 용인시, 더본코리아 홍콩반점0410 수지구청점,12:00~20:00,"시급8,800",25분전
경기 고양시, 미정국수0410 화정역점,10:00~21:00,"월급2,700,000",25분전
경기 남양주, 더본코리아 홍콩반점0410 다산진건점,10:00~21:00,"시급9,000",25분전
경기 수원시, 더본코리아 홍콩반점0410 수원망포역,10:00~22:00,"월급2,500,000",25분전
경기 수원시, 더본코리아 홍콩반점0410 수원망포역,10:00~22:00,"월급2,500,000",25분전
경기 수원시, 더본코리아 홍콩반점0410 수원망포역,10:00~22:00,"월급2,400,000",25분전
서울 서초구, 더본코리아 홍콩반점0410 서초역점,09:30~21:30,"월급2,900,000",26분전
경기 수원시, 더본코리아 홍콩반점0410 수원망포역,10:00~22:00,"월급2,400,000",26분전
경기 수원시, 롤링파스타 수원인계점,10:00~22:00,"월급2,400,000",27분전
울산 남구, 더본코리아 홍콩반점0410 울산삼산점,17:30~20:30,"시급8,800",27분전
