place,title,time,pay,date
경기 안양시, 평촌학원가점,시간협의,"시급8,720",2분전
서울 송파구, 버거킹 종합운동장사거리점,시간협의,"시급8,720",2분전
경기 성남시, 버거킹 판교유스페이스,시간협의,"시급8,720",3분전
서울 관악구, 교대역점,16:00~23:00,"시급8,720",6분전
서울 강남구, 버거킹 강남도곡점,08:00~24:00,"시급8,720",7분전
경기 고양시, 버거킹 고양터미널점,시간협의,"시급8,720",9분전
경북 안동시, 버거킹 안동옥동점(S),17:00~22:30,"시급8,720",9분전
서울 은평구, 버거킹 불광점,시간협의,"시급8,720",10분전
대구 중구, 경대병원역DT점,16:00~22:00,"시급8,720",11분전
경기 수원시, 버거킹 수원역사점,시간협의,"시급8,720",11분전
경기 수원시, 버거킹 수원역사점,시간협의,"시급8,720",11분전
경기 수원시, 버거킹 수원역사점,시간협의,"시급8,720",12분전
경남 양산시, 버거킹 양산석산SK점,18:00~01:00,"시급8,720",12분전
경기 수원시, 버거킹 수원역사점,시간협의,"시급8,720",12분전
경기 김포시, 버거킹 김포현대아울렛점,09:00~15:00,"시급8,720",12분전
경기 평택시, 평택비전점(S),시간협의,"시급8,720",12분전
경기 수원시, 버거킹 수원역사점,시간협의,"시급8,720",13분전
경남 양산시, 버거킹 양산석산SK점,18:00~01:00,"시급8,720",13분전
부산 해운대, 버거킹 부산센텀오일뱅크점,시간협의,"시급8,720",13분전
경기 평택시, 버거킹 평택고덕신도시GS점,08:00~23:00,"시급8,720",14분전
경기 수원시, 광교아브뉴프랑점,시간협의,"시급8,720",14분전
경북 경산시, 버거킹 경산사동점,16:00~23:00,"시급8,720",14분전
서울 동대문, 버거킹 경희대점,시간협의,"시급8,720",14분전
인천 부평구, 버거킹 부평시장역점,07:00~14:30,"시급8,720",15분전
서울 양천구, 버거킹 목동이마트점,16:30~23:30,"시급8,720",15분전
강원 강릉시, 강릉교동SK점,시간협의,"시급8,720",15분전
경북 구미시, 버거킹 구미산동점(S),시간협의,"시급8,720",16분전
서울 은평구, 버거킹 박석고개SK점,시간협의,"시급8,720",16분전
경기 화성시, 동탄점,08:00~24:00,"시급8,720",17분전
서울 관악구, 버거킹 강남대로점,시간협의,"시급8,720",17분전
서울 용산구, 버거킹 용산이마트점,시간협의,"시급8,720",20분전
서울 전체, 버거킹 종암점,00:00~24:00,"시급8,720",21분전
서울 전체, 버거킹 시청역점,시간협의,"시급8,720",21분전
경기 고양시, 버거킹 일산마두점,17:00~23:00,"시급8,720",21분전
경기 수원시, 버거킹 아주대병원점,시간협의,"시급8,720",22분전
대구 동구, 버거킹 대구이시아폴리스점(S),19:00~24:00,"시급8,720",22분전
대전 서구, 버거킹 대전용문역점,시간협의,"시급8,720",22분전
광주 전체, 버거킹 광주충장점,시간협의,"시급8,720",23분전
광주 전체, 버거킹 광주충장점,시간협의,"시급8,720",23분전
충북 진천군, 버거킹 충북진천점(S),09:00~17:00,"시급8,720",23분전
서울 강서구, 버거킹 내발산점,08:00~14:00,"시급8,720",24분전
서울 양천구, 버거킹 목동이마트점,16:30~23:30,"시급8,720",24분전
경기 용인시, 용인신갈점,11:00~17:00,"시급8,720",24분전
경기 수원시, 버거킹 수원인계DT점,17:00~22:00,"시급8,720",24분전
서울 양천구, 버거킹 목동이마트점,16:30~23:30,"시급8,720",24분전
경기 오산시, 버거킹 오산세교에스오일점,00:00~24:00,"시급8,720",25분전
세종 도담동, 버거킹 세종충남대병원DT점(S),17:00~23:00,"시급8,720",26분전
부산 강서구, 버거킹 부산명지DT점,시간협의,"시급8,720",27분전
세종 전체, 버거킹 세종고운점,08:00~24:00,"시급8,720",29분전
경북 구미시, 버거킹 구미시청FS점,시간협의,"시급8,720",31분전
