place,title,time,pay,date
서울 마포구, (주)캘리스코 사보텐 공덕역점,10:00~15:30,"시급8,720",26분전
서울 성북구, (주)캘리스코 현대미아점,16:30~22:00,"시급8,720",2시간전
서울 강남구, (주)캘리스코,시간협의,"시급8,720",3시간전
서울 서초구, 사보텐 신논현점,12:00~17:00,"시급10,308",3시간전
서울 서초구, 사보텐 신논현점,12:00~17:00,"시급10,308",5시간전
서울 강남구, (주)캘리스코,시간협의,"시급8,720",6시간전
서울 서초구, (주)캘리스코 사보텐신논현점,12:00~17:00,"시급10,030",6시간전
서울 영등포, 사보텐 경방타임스퀘어점,시간협의,"시급8,720",7시간전
서울 동대문, 사보텐 청량리역사점,12:00~17:30,"시급8,720",7시간전
서울 동대문, 사보텐 청량리역사점,17:00~22:00,"시급8,720",7시간전
서울 동대문, 사보텐 청량리역사점,10:00~15:30,"시급8,720",7시간전
서울 동대문, 사보텐 청량리역사점,17:30~22:00,"시급8,720",7시간전
서울 성북구, (주)캘리스코 현대미아점,16:00~22:00,"시급8,720",7시간전
서울 송파구, (주)캘리스코,10:30~16:00,"시급8,720",7시간전
경기 여주시, (주)캘리스코 히바린 여주첼시점,10:00~16:30,"시급8,720",8시간전
서울 영등포, 사보텐 경방타임스퀘어점,시간협의,"시급8,720",8시간전
경기 여주시, (주)캘리스코 히바린 여주첼시점,10:00~16:30,"시급8,720",23시간전
경남 창원시, 사보텐 창원시티세븐몰,12:00~15:00,"시급8,720",08/15
충북 청주시, 주식회사 캘리스코 사보텐 청주 터미널,시간협의,"시급8,720",08/14
서울 강남구, 사보텐 선릉역점,시간협의,"시급8,720",08/13
서울 서초구, 사보텐 신논현점,12:00~17:00,"시급10,308",08/13
서울 영등포, 사보텐 경방타임스퀘어점,시간협의,"시급8,720",08/12
서울 서초구, 사보텐 신논현점,12:00~17:00,"시급10,308",08/12
서울 강남구, (주)캘리스코,시간협의,"시급8,720",08/11
서울 강남구, 사보텐 선릉역점,시간협의,"시급8,720",08/11
서울 강남구, (주)캘리스코,10:30~16:00,"시급8,720",08/10
서울 강남구, (주)캘리스코,시간협의,"시급8,720",08/09
부산 전체, 히바린 롯데부산본점,시간협의,"시급8,720",08/08
부산 전체, 히바린 롯데부산본점,10:00~16:00,"시급8,720",08/08
서울 강남구, 사보텐 선릉역점,시간협의,"시급8,720",08/06
서울 서초구, 사보텐 교대역점,시간협의,"시급8,720",08/05
서울 구로구, (주)캘리스코,시간협의,"연봉27,000,000",07/31
서울 관악구, (주)캘리스코,시간협의,"연봉27,000,000",07/31
서울 강북구, (주)캘리스코,시간협의,"연봉27,000,000",07/31
광주 서구, 사보텐 신세계광주점,12:00~20:00,"시급8,720",07/31
