place,title,time,pay,date
광주 전체, 상무초밥 용봉점,10:00~22:00,"월급3,000,000",12분전
경기 안산시, 상무초밥 안산중앙동점,시간협의,"월급2,620,000",56분전
전북 전주시, 상무초밥 전주송천점,시간협의,"월급4,000,000",59분전
대전 서구, 상무초밥 대전둔산점,시간협의,"월급2,400,000",2시간전
대전 서구, 상무초밥 대전둔산점,시간협의,"월급2,700,000",2시간전
광주 전체, 상무초밥 용봉점,10:00~22:00,"월급3,000,000",2시간전
경기 안산시, 상무초밥 안산중앙동점,시간협의,"월급2,620,000",2시간전
대전 유성구, 상무초밥 대전유성점,시간협의,"월급2,700,000",2시간전
전남 여수시, 상무초밥 낭만포차거리점,시간협의,"월급3,000,000",3시간전
전남 여수시, 상무초밥 낭만포차거리점,시간협의,"월급3,000,000",3시간전
경기 안산시, 상무초밥 안산중앙동점,시간협의,"월급2,620,000",3시간전
광주 전체, 상무초밥 용봉점,10:00~22:00,"월급3,000,000",3시간전
경기 안산시, 상무초밥 안산중앙동점,시간협의,"월급2,620,000",3시간전
광주 전체, 상무초밥 용봉점,10:00~22:00,"월급3,000,000",3시간전
경기 화성시, 상무초밥 동탄점,시간협의,"월급2,620,000",3시간전
경기 화성시, 상무초밥 동탄점,시간협의,"월급2,620,000",4시간전
전남 여수시, 상무초밥 여수점,시간협의,"월급2,400,000",4시간전
경기 수원시, 상무초밥 수원역점,시간협의,"월급4,000,000",4시간전
경기 수원시, 상무초밥 수원역점,시간협의,"월급4,000,000",4시간전
경기 수원시, 상무초밥 수원역점,시간협의,"월급4,000,000",4시간전
경기 수원시, 상무초밥 수원역점,시간협의,"월급4,000,000",4시간전
경기 전체, 상무초밥 수원역점,시간협의,"월급4,000,000",4시간전
전북 익산시, 상무초밥 익산점,12:00~22:00,"시급8,720",5시간전
전남 여수시, 상무초밥 여수점,시간협의,"시급8,800",5시간전
경기 김포시, 상무초밥 김포구래점,시간협의,"월급2,400,000",5시간전
대전 서구, 상무초밥 대전둔산점,시간협의,"월급2,700,000",6시간전
경기 김포시, 상무초밥 김포구래점,시간협의,"월급2,400,000",6시간전
대전 서구, 상무초밥 대전둔산점,시간협의,"월급2,400,000",6시간전
광주 전체, 상무초밥 용봉점,10:00~22:00,"월급3,000,000",6시간전
대전 서구, 상무초밥 대전둔산점,시간협의,"월급2,700,000",6시간전
경기 고양시, 상무초밥 일산라페스타점,시간협의,"월급3,000,000",7시간전
경기 화성시, 상무초밥 동탄점,시간협의,"월급2,620,000",7시간전
경기 안산시, 상무초밥 안산중앙동점,시간협의,"월급2,620,000",7시간전
광주 남구, 상무초밥 봉선점,18:00~23:00,"시급8,720",8시간전
광주 남구, 상무초밥 봉선점,11:00~22:00,"월급2,700,000",8시간전
광주 남구, 상무초밥 봉선점,10:00~22:00,"월급2,650,000",8시간전
전북 전주시, 상무초밥 전주송천점,시간협의,"월급4,000,000",08/15
경기 고양시, 상무초밥 일산라페스타점,시간협의,"월급3,000,000",08/15
전남 목포시, 상무초밥 목포점,시간협의,"월급2,600,000",08/13
전남 목포시, 상무초밥 목포점,시간협의,"월급3,700,000",08/13
경기 화성시, 상무초밥 동탄점,시간협의,"월급2,620,000",08/13
전북 전주시, 상무초밥 전주송천점,시간협의,"월급4,000,000",08/13
충북 청주시, 상무초밥 청주점,시간협의,"월급2,650,000",08/13
충북 청주시, 상무초밥 청주점,시간협의,"월급2,650,000",08/13
대전 유성구, 상무초밥 대전유성점,시간협의,"월급2,700,000",08/12
광주 서구, 상무초밥 상무점,10:00~23:00,"월급4,000,000",08/12
광주 광산구, 상무초밥 첨단점,시간협의,"월급2,650,000",08/11
전북 익산시, 상무초밥 익산점,09:00~20:00,"월급2,800,000",08/11
광주 광산구, 상무초밥 수완지구점,10:00~22:00,"월급4,000,000",08/11
경기 고양시, 상무초밥 일산라페스타점,시간협의,"월급3,000,000",08/10
