place,title,time,pay,date
경기 광명시, 성원아이북랜드 구로금천광명영업본부,시간협의,"월급1,000,000",5분전
서울 구로구, 성원아이북랜드 구로금천광명영업본부,시간협의,"월급1,000,000",5분전
서울 금천구, 성원아이북랜드 구로금천광명영업본부,시간협의,"월급1,000,000",5분전
대구 수성구, 성원아이북랜드 대구중부영업본부,10:00~20:00,"건별35,000",6분전
대구 동구, 성원아이북랜드 대구중부영업본부,10:00~20:00,"건별35,000",7분전
대구 수성구, 성원아이북랜드 대구중부영업본부,10:00~20:00,"건별35,000",8분전
경기 고양시, 성원아이북랜드 덕양영업본부,시간협의,"건별10,000",9분전
경기 고양시, 성원아이북랜드 덕양영업본부,시간협의,"건별10,000",9분전
경기 고양시, 성원아이북랜드 덕양영업본부,시간협의,"건별10,000",9분전
서울 중랑구, 성원아이북랜드 동대문중랑성동영업본부,시간협의,"월급2,000,000",57분전
부산 해운대, 성원아이북랜드 부산동부영업본부,시간협의,"월급1,000,000",1시간전
부산 해운대, 성원아이북랜드 부산동부영업본부,시간협의,"월급1,000,000",1시간전
부산 해운대, 성원아이북랜드 부산동부영업본부,시간협의,"월급1,000,000",1시간전
경기 용인시, 성원아이북랜드 용인영업본부,시간협의,"월급1,000,000",3시간전
경기 용인시, 성원아이북랜드 용인영업본부,시간협의,"월급1,000,000",3시간전
경기 용인시, 성원아이북랜드 용인영업본부,시간협의,"월급1,000,000",3시간전
충북 청주시, 성원아이북랜드 청주영업본부,15:00~20:00,"월급1,000,000",5시간전
충북 청주시, 성원아이북랜드 청주영업본부,15:00~08:00,건별100,5시간전
충북 청주시, 성원아이북랜드 청주영업본부,15:00~08:00,건별100,5시간전
서울 중랑구, 성원아이북랜드 동대문중랑성동영업본부,시간협의,"월급2,000,000",6시간전
서울 도봉구, 성원아이북랜드 노원도봉영업본부,시간협의,"월급1,000,000",7시간전
서울 노원구, 성원아이북랜드 노원도봉영업본부,시간협의,"월급1,000,000",7시간전
서울 영등포, 성원아이북랜드 강서양천영업본부,14:00~19:00,"월급1,000,000",7시간전
서울 양천구, 성원아이북랜드 강서양천영업본부,14:00~19:00,"월급1,000,000",7시간전
서울 강서구, 성원아이북랜드 강서양천영업본부,14:00~20:00,"월급1,000,000",7시간전
서울 은평구, 성원아이북랜드 서대문마포은평영업본부,14:00~19:00,"월급1,200,000",8시간전
서울 은평구, 성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급1,200,000",8시간전
서울 은평구, 성원아이북랜드 서대문마포은평영업본부,14:00~19:00,"월급1,200,000",8시간전
충남 서산시, 성원아이북랜드 아산B영업본부,시간협의,"건별20,000",9시간전
충남 서산시, 성원아이북랜드 아산B영업본부,시간협의,"건별30,000",9시간전
충남 당진시, 성원아이북랜드 아산B영업본부,시간협의,"건별20,000",9시간전
충남 아산시, 성원아이북랜드 아산영업본부,시간협의,"건별30,000",9시간전
충남 아산시, 성원아이북랜드 아산영업본부,시간협의,"건별15,000",9시간전
충남 당진시, 성원아이북랜드 아산영업본부,시간협의,"건별30,000",9시간전
서울 송파구, 성원아이북랜드 송파영업본부,14:00~20:00,"월급1,000,000",9시간전
서울 송파구, 성원아이북랜드 송파영업본부,14:00~20:00,"월급1,000,000",9시간전
서울 송파구, 성원아이북랜드 송파영업본부,14:00~20:00,"월급1,000,000",9시간전
경기 수원시, 성원아이북랜드 수원영업본부,14:30~18:00,"월급1,000,000",9시간전
경기 수원시, 성원아이북랜드 수원영업본부,14:30~18:00,"월급1,000,000",9시간전
경기 수원시, 성원아이북랜드 수원영업본부,14:30~18:00,"월급1,000,000",9시간전
대구 북구, 성원아이북랜드 대구서북부영업본부,시간협의,"건별35,000",22시간전
대구 북구, 성원아이북랜드 대구서북부영업본부,시간협의,"건별35,000",22시간전
부산 전체, 성원아이북랜드 부산서부영업본부,14:00~20:00,"건별30,000",08/15
부산 영도구, 성원아이북랜드 부산서부영업본부,14:00~20:00,"건별30,000",08/15
경남 양산시, 성원아이북랜드 부산북구양산영업본부,10:00~18:00,"시급20,000",08/15
부산 사하구, 성원아이북랜드 부산서부영업본부,14:00~20:00,"건별30,000",08/15
부산 북구, 성원아이북랜드 부산북구양산영업본부,10:00~18:00,"시급20,000",08/15
경기 안산시, 성원아이북랜드 안산영업본부,10:00~14:00,"시급15,000",08/15
경기 안산시, 성원아이북랜드 안산영업본부,시간협의,"월급1,000,000",08/15
경기 안산시, 성원아이북랜드 안산영업본부,시간협의,"월급1,000,000",08/15
