place,title,time,pay,date
경북 의성군, 슈퍼히어로 의성지사,10:30~10:30,"건별2,200",12분전
경기 양주시, 슈퍼히어로 양주2지사,시간협의,"건별4,500",2시간전
경기 남양주, 슈퍼히어로 갈매별내지사,시간협의,"일급200,000",2시간전
서울 동작구, 슈퍼히어로 동작빵빵지사,10:00~01:30,"일급200,000",4시간전
경기 광명시, 슈퍼히어로 광명센터,10:00~02:30,"월급6,000,000",4시간전
부산 강서구, 슈퍼히어로 부산바른콜,시간협의,"건별3,300",6시간전
부산 강서구, 슈퍼히어로 부산바른콜,시간협의,"건별3,300",6시간전
부산 강서구, 슈퍼히어로 부산바른콜,시간협의,"건별3,300",6시간전
경기 광명시, 슈퍼히어로 광명센터,10:00~02:30,"월급6,000,000",08/15
경기 양주시, 슈퍼히어로 양주옥정지사,시간협의,"건별3,500",08/15
경기 양주시, 슈퍼히어로 양주옥정지사,시간협의,"건별3,500",08/15
경기 양주시, 슈퍼히어로 양주옥정지사,시간협의,"건별3,500",08/15
대구 전체, 슈퍼히어로 대구수성지사,시간협의,"건별3,500",08/15
대구 전체, 슈퍼히어로 대구수성지사,시간협의,"건별3,500",08/15
대구 전체, 슈퍼히어로 대구수성지사,시간협의,"건별3,500",08/15
전북 정읍시, 슈퍼히어로 정읍지사,11:00~02:00,"건별3,200",08/14
전남 광양시, 슈퍼히어로 광영지사,시간협의,"일급120,000",08/13
경기 구리시, 슈퍼히어로 갈매별내지사,시간협의,"일급200,000",08/13
경기 남양주, 슈퍼히어로 갈매별내지사,시간협의,"일급200,000",08/13
서울 구로구, 슈퍼히어로 구로서부센터,시간협의,"월급5,000,000",08/07
경북 김천시, 슈퍼히어로 김천지사,11:00~02:00,"일급250,000",08/07
경북 김천시, 슈퍼히어로 김천지사,11:00~22:00,"일급250,000",08/06
경북 김천시, 슈퍼히어로 김천지사,11:00~22:00,"월급6,000,000",08/06
경기 의정부, 슈퍼히어로 의정부드림,시간협의,"건별4,000",08/06
경기 의정부, 슈퍼히어로 의정부드림,시간협의,"건별4,000",08/06
경기 의정부, 슈퍼히어로 의정부드림,시간협의,"건별4,000",08/06
경남 진주시, 슈퍼히어로 진주엠케이2,시간협의,"일급200,000",08/05
서울 금천구, 슈퍼히어로 금천구센터,11:00~03:00,"건별4,500",08/05
서울 구로구, 슈퍼히어로 구디지사,11:00~02:00,"건별4,500",08/05
서울 강서구, 슈퍼히어로 화곡지사,10:00~01:00,"월급6,000,000",08/04
서울 강서구, 슈퍼히어로 화곡지사,10:00~01:00,"월급6,000,000",08/03
경기 연천군, 슈퍼히어로 전곡지사,시간협의,"건별3,000",08/02
경기 연천군, 슈퍼히어로 전곡지사,시간협의,"건별3,000",08/02
경기 연천군, 슈퍼히어로 전곡지사,시간협의,"건별3,000",08/02
경기 동두천, 슈퍼히어로 의정부 슈퍼거북이,시간협의,"건별3,500",07/31
경기 양주시, 슈퍼히어로 의정부 슈퍼거북이,시간협의,"건별3,500",07/31
경기 의정부, 슈퍼히어로 의정부 슈퍼거북이,시간협의,"건별3,500",07/31
서울 구로구, 슈퍼히어로 구디지사,11:00~02:00,"건별4,500",07/31
서울 금천구, 슈퍼히어로 금천구센터,11:00~03:00,"건별4,500",07/31
