place,title,time,pay,date
서울 전체, 슈펜 슈펜본부,시간협의,"연봉24,000,000",6시간전
서울 서대문, 슈펜 홍대,13:00~22:00,"월급1,922,480",6시간전
서울 마포구, 슈펜 홍대,13:00~22:00,"월급1,922,480",6시간전
부산 수영구, 슈펜 해운대 (NC백화점),13:00~22:00,"월급1,922,480",6시간전
부산 해운대, 슈펜 해운대 (NC백화점),13:00~22:00,"월급1,922,480",6시간전
서울 영등포, 슈펜 용산 (아이파크몰),13:00~22:00,"월급1,922,480",6시간전
서울 용산구, 슈펜 용산 (아이파크몰),13:00~22:00,"월급1,922,480",6시간전
서울 영등포, 슈펜 영등포 (타임스퀘어),13:00~22:00,"월급1,922,480",6시간전
서울 구로구, 슈펜 영등포 (타임스퀘어),13:00~22:00,"월급1,922,480",6시간전
경기 성남시, 슈펜 야탑 (NC백화점),13:00~22:00,"월급1,922,480",6시간전
경기 성남시, 슈펜 야탑 (NC백화점),13:00~22:00,"월급1,922,480",6시간전
서울 송파구, 슈펜 송파 (NC백화점),13:00~22:00,"월급1,922,480",6시간전
경기 성남시, 슈펜 송파 (NC백화점),13:00~22:00,"월급1,922,480",6시간전
부산 부산진, 슈펜 서면 (NC백화점),13:00~22:00,"월급1,922,480",6시간전
부산 부산진, 슈펜 서면 (NC백화점),13:00~22:00,"월급1,922,480",6시간전
인천 부평구, 슈펜 부천 (뉴코아아울렛),13:00~22:00,"월급1,922,480",6시간전
경기 부천시, 슈펜 부천 (뉴코아아울렛),13:00~22:00,"월급1,922,480",6시간전
대구 중구, 슈펜 동성로,13:00~22:00,"월급1,922,480",6시간전
대구 전체, 슈펜 동성로,13:00~22:00,"월급1,922,480",6시간전
서울 영등포, 슈펜 구로 (NC백화점),13:00~22:00,"월급1,922,480",6시간전
경기 광명시, 슈펜 구로 (NC백화점),13:00~22:00,"월급1,922,480",6시간전
전남 광양시, 슈펜 광양 (LF스퀘어),13:00~22:00,"월급1,922,480",6시간전
전남 순천시, 슈펜 광양 (LF스퀘어),13:00~22:00,"월급1,922,480",6시간전
경기 안산시, 슈펜 고잔 (NC백화점),13:00~22:00,"월급1,922,480",6시간전
경기 안산시, 슈펜 고잔 (NC백화점),13:00~22:00,"월급1,922,480",6시간전
서울 강서구, 슈펜 강서 (NC백화점),13:00~22:00,"월급1,922,480",6시간전
서울 영등포, 슈펜 강서 (NC백화점),13:00~22:00,"월급1,922,480",6시간전
서울 서초구, 슈펜 강남역 1호 (점프밀라노),13:00~22:00,"월급1,922,480",6시간전
서울 강남구, 슈펜 강남역 1호 (점프밀라노),13:00~22:00,"월급1,922,480",6시간전
서울 금천구, 슈펜 가산 (마리오아울렛),13:00~22:00,"월급1,922,480",6시간전
서울 구로구, 슈펜 가산 (마리오아울렛),13:00~22:00,"월급1,922,480",6시간전
