place,title,time,pay,date
경남 진주시, 스타벅스커피 코리아 진주칠암DT,06:30~23:30,"시급9,200",5분전
서울 송파구, 스타벅스커피 코리아 송파위례,시간협의,"시급9,200",6분전
서울 서초구, 스타벅스커피 코리아 영동2교,시간협의,"시급9,200",6분전
서울 강남구, 스타벅스커피 코리아 스타필드코엑스몰R,시간협의,"시급9,200",8분전
광주 남구, 스타벅스커피 코리아 광주효천DT,시간협의,"시급9,200",8분전
서울 서대문, 스타벅스커피 코리아 홍제역,시간협의,"시급9,200",8분전
부산 서구, 스타벅스커피 코리아 부산송도해수욕장,시간협의,"시급9,200",8분전
세종 전체, 스타벅스커피 코리아 세종어진R,시간협의,"시급9,200",12분전
경기 이천시, 스타벅스커피 코리아 이천증포DT,시간협의,"시급9,200",15분전
서울 마포구, 스타벅스커피 코리아 공덕,시간협의,"시급9,200",16분전
서울 서대문, 스타벅스커피 코리아 아현역,07:00~23:00,"시급9,200",18분전
광주 광산구, 스타벅스커피 코리아 광주비아DT,시간협의,"시급9,200",24분전
경기 고양시, 스타벅스커피 코리아 고양원흥DT,07:00~24:00,"시급9,200",24분전
서울 강동구, 스타벅스커피 코리아 강동구청DT,시간협의,"시급9,200",27분전
서울 강동구, 스타벅스커피 코리아 상일동역,시간협의,"시급9,200",28분전
서울 중랑구, 스타벅스커피 코리아 상봉,시간협의,"시급9,200",28분전
대구 수성구, 스타벅스커피 코리아 대구시지,06:30~23:00,"시급9,200",32분전
광주 남구, 스타벅스커피 코리아 광주진월,07:30~21:30,"시급9,200",49분전
경기 이천시, 스타벅스커피 코리아 이천터미널,시간협의,"시급9,200",50분전
서울 강동구, 스타벅스커피 코리아 상일동역,시간협의,"시급9,200",51분전
경기 용인시, 스타벅스커피 코리아 용인상하DT,시간협의,"시급9,200",54분전
경기 이천시, 스타벅스커피 코리아 이천증포DT,시간협의,"시급9,200",55분전
경기 용인시, 스타벅스커피 코리아 용인동백DT,시간협의,"시급9,200",56분전
경기 여주시, 스타벅스커피 코리아 여주P.아울렛입구,시간협의,"시급9,200",58분전
대전 전체, 스타벅스커피 코리아 대전반석역,06:30~23:00,"시급9,200",1시간전
광주 북구, 스타벅스커피 코리아 동광주DT,06:30~23:00,"시급9,200",1시간전
서울 강남구, 스타벅스커피 코리아 학동역,시간협의,"시급9,200",1시간전
광주 북구, 스타벅스커피 코리아 동광주DT,06:30~23:00,"시급9,200",1시간전
서울 용산구, 스타벅스커피 코리아 순천향입구,시간협의,"시급9,200",1시간전
전북 익산시, 스타벅스커피 코리아 익산영등DT,06:30~23:00,"시급9,200",1시간전
경남 창원시, 스타벅스커피 코리아 진해용원,시간협의,"시급9,200",1시간전
서울 강서구, 스타벅스커피 코리아 가양역,06:30~22:30,"시급9,200",1시간전
충북 청주시, 스타벅스커피 코리아 청주봉명DT,06:30~23:00,"시급9,200",1시간전
서울 마포구, 스타벅스커피 코리아 상암MBC,시간협의,"시급9,200",1시간전
대구 동구, 스타벅스커피 코리아 동대구로DT,시간협의,"시급9,200",1시간전
경북 구미시, 스타벅스커피 코리아 구미상모DT,06:00~24:00,"시급9,200",2시간전
경기 화성시, 스타벅스커피 코리아 화성봉담DT,시간협의,"시급9,200",2시간전
강원 춘천시, 스타벅스커피 코리아 강원대,시간협의,"시급9,200",2시간전
서울 마포구, 스타벅스커피 코리아 공덕,시간협의,"시급9,200",2시간전
부산 영도구, 스타벅스커피 코리아 영도대교,시간협의,"시급9,200",2시간전
충북 전체, 스타벅스커피 코리아 청주터미널,시간협의,"시급9,200",2시간전
충북 전체, 스타벅스커피 코리아 청주터미널,시간협의,"시급9,200",2시간전
경기 용인시, 스타벅스커피 코리아 용인상하DT,시간협의,"시급9,200",2시간전
서울 광진구, 스타벅스커피 코리아 건국클래식,06:30~21:30,"시급9,200",2시간전
경기 전체, 스타벅스커피 코리아 동국대일산병원,시간협의,"시급9,200",2시간전
충북 청주시, 스타벅스커피 코리아 청주복대지웰,시간협의,"시급9,200",2시간전
충남 공주시, 스타벅스커피 코리아 공주신관,07:30~23:00,"시급9,200",2시간전
경기 안양시, 스타벅스커피 코리아 평촌역DT,시간협의,"시급9,200",2시간전
경기 화성시, 스타벅스커피 코리아 동탄역롯데R,06:00~24:00,"시급9,200",2시간전
서울 은평구, 스타벅스커피 코리아 연신내역사거리,시간협의,"시급9,200",2시간전
