place,title,time,pay,date
인천 남동구, 신선화로 인천시청점,시간협의,"시급9,000",08/14
인천 남동구, 신선화로 도림점,10:00~22:00,"시급9,000",08/14
인천 남동구, 신선화로 도림점,10:00~22:00,"연봉48,000,000",08/14
인천 남동구, 신선화로 인천시청점,10:00~22:00,"월급2,600,000",08/11
인천 부평구, 신선화로 부평점,10:00~20:00,"월급3,000,000",08/11
인천 남동구, 신선화로 인천시청점,10:00~22:00,"월급2,600,000",08/11
인천 남동구, 신선화로 인천시청점,10:00~22:00,"월급2,600,000",08/11
경기 광명시, 신선화로 착한에프씨,10:00~22:00,"월급2,600,000",08/03
서울 마포구, 신선화로 착한에프씨,10:00~22:00,"연봉48,000,000",08/03
경기 안산시, 신선화로 안산점(착한갈비),10:00~22:00,"연봉48,000,000",08/03
서울 마포구, 신선화로 홍대점(착한갈비),10:00~22:00,"연봉48,000,000",08/03
서울 마포구, 신선화로 홍대점,10:00~22:00,"연봉48,000,000",08/03
경기 광명시, 신선화로 광명점,10:00~22:00,"연봉48,000,000",08/03
인천 미추홀, 신선화로 숭의점,10:00~22:00,"연봉48,000,000",08/03
인천 남동구, 신선화로 도림점,10:00~22:00,"연봉48,000,000",08/03
인천 연수구, 신선화로 동춘점,10:00~22:00,"연봉48,000,000",07/31
인천 연수구, 신선화로 동춘점,10:00~22:00,"연봉48,000,000",07/31
인천 연수구, 신선화로 동춘점,10:00~22:00,"연봉48,000,000",07/31
인천 연수구, 신선화로 동춘점,10:00~22:00,"연봉48,000,000",07/31
인천 연수구, 신선화로 동춘점,10:00~22:00,"연봉48,000,000",07/31
