place,title,time,pay,date
서울 관악구, 신세계푸드 NBB 남부터미널점,시간협의,"시급8,900",1분전
서울 성동구, TEST KITCHEN PIZZA,09:30~18:30,"시급8,900",2분전
서울 성동구, 노브랜드버거 신금호역점,시간협의,"시급8,900",3분전
서울 전체, TEST KITCHEN PIZZA,09:30~18:30,"시급8,900",3분전
서울 관악구, 노브랜드버거 코엑스점,12:00~21:00,"월급1,860,000",4분전
서울 서초구, 노브랜드버거 대치점,시간협의,"시급8,900",9분전
서울 강남구, 노브랜드버거 대치점,시간협의,"시급8,900",9분전
서울 관악구, 노브랜드버거 방배역점,08:00~17:00,"시급8,900",10분전
서울 광진구, TEST KITCHEN PIZZA,09:30~18:30,"시급8,900",14분전
경기 부천시, (주)신세계푸드 노브랜드버거 마곡점,18:00~23:00,"시급8,900",15분전
경기 김포시, 노브랜드버거 김포 풍무점,시간협의,"시급8,900",16분전
서울 중랑구, 노브랜드버거 중화점,시간협의,"시급8,900",18분전
경기 부천시, (주)신세계푸드노브랜드버거부천역북부점,17:30~22:30,"시급8,900",25분전
경기 부천시, (주)신세계푸드노브랜드버거부천역북부점,14:30~22:30,"시급8,900",25분전
경기 부천시, (주)신세계푸드노브랜드버거부천역북부점,14:30~22:30,"시급8,900",26분전
서울 송파구, TEST KITCHEN PIZZA,09:30~18:30,"시급8,900",27분전
서울 송파구, 노브랜드버거 코엑스점,12:00~21:00,"월급1,860,000",31분전
서울 금천구, 신세계푸드 NBB 가산디지털단지점,10:00~19:00,"시급8,900",31분전
경기 김포시, 노브랜드버거 김포장기점,시간협의,"시급8,900",32분전
서울 금천구, 신세계푸드 NBB 가산디지털단지점,13:30~22:30,"시급8,900",38분전
서울 전체, NBB잠실학원사거리점,시간협의,"시급8,900",40분전
서울 전체, 노브랜드버거 대치대원빌딩점,시간협의,"시급8,900",45분전
서울 강남구, 노브랜드버거 대치대원빌딩점,시간협의,"시급8,900",46분전
서울 마포구, 노브랜드버거 신촌점,10:00~19:00,"시급8,900",57분전
경기 안성시, 신세계푸드 NBB안성스타필드점,13:00~22:00,"시급8,900",57분전
서울 중랑구, 노브랜드버거 중화점,시간협의,"시급8,900",57분전
서울 서대문, 노브랜드버거 신촌점,10:00~19:00,"시급8,900",58분전
서울 중랑구, 노브랜드버거 중화점,시간협의,"시급8,900",1시간전
서울 동대문, 신세계푸드 노브랜드버거 서울시청점,18:30~22:30,"시급8,900",1시간전
서울 송파구, 노브랜드버거 대치점,시간협의,"시급8,900",1시간전
서울 중랑구, 노브랜드버거 중화점,17:30~22:30,"시급8,900",1시간전
서울 중랑구, 노브랜드버거 중화점,15:30~22:30,"시급8,900",1시간전
서울 송파구, 신세계푸드 NBB 남부터미널점,13:30~22:30,"시급8,900",1시간전
서울 성동구, 보노보노 스시 성수점,11:00~21:30,"월급2,150,000",1시간전
서울 광진구, 보노보노 스시 성수점,11:00~21:30,"월급2,150,000",1시간전
서울 관악구, BPB(사당역5번출구앞),15:30~00:30,"월급2,000,000",1시간전
서울 금천구, 신세계푸드 NBB 가산디지털단지점,11:00~17:30,"시급8,900",1시간전
대구 북구, NBB대구경대북문점,시간협의,"시급8,720",2시간전
서울 중랑구, 보노보노 스시 성수점,11:00~21:30,"월급2,150,000",2시간전
서울 성동구, 노브랜드버거 코엑스점,12:00~21:00,"월급1,860,000",2시간전
서울 성동구, 보노보노 스시 성수점,11:00~21:30,"월급2,150,000",2시간전
경기 안성시, 신세계푸드 NBB안성스타필드점,시간협의,"시급8,900",2시간전
서울 성동구, 노브랜드버거 대치대원빌딩점,시간협의,"시급8,900",2시간전
경기 부천시, (주)신세계푸드노브랜드버거부천역북부점,시간협의,"시급8,900",2시간전
서울 동대문, 신세계푸드 노브랜드버거 서울시청점,08:00~15:00,"시급8,900",3시간전
경북 경산시, NBB경산영남대점,시간협의,"월급2,300,000",3시간전
부산 해운대," 신세계 센텀시티 라운지, 베키아에누보",11:00~20:00,"월급1,860,100",3시간전
대전 유성구, (주)신세계푸드,11:00~20:00,"월급1,860,100",3시간전
경기 김포시, 노브랜드버거 김포장기점,시간협의,"시급8,900",3시간전
경기 김포시, 노브랜드버거 김포장기점,시간협의,"시급8,900",3시간전
