place,title,time,pay,date
경기 여주시, 아소비 여주지사,13:30~18:30,"월급2,000,000",43분전
경기 여주시, 아소비 여주지사,13:30~18:30,"월급2,000,000",43분전
경기 여주시, 아소비 여주지사,13:30~18:30,"월급2,000,000",43분전
경기 이천시, 아소비 이천지사,13:30~18:30,"월급2,000,000",43분전
경기 이천시, 아소비 이천지사,13:30~18:30,"월급2,000,000",43분전
경기 이천시, 아소비 이천지사,13:30~18:30,"월급2,000,000",43분전
경기 광주시, 아소비 경기광주지사,13:30~18:30,"월급2,000,000",43분전
경기 광주시, 아소비 경기광주지사,13:30~18:30,"월급2,000,000",43분전
경기 광주시, 아소비 경기광주지사,13:30~18:30,"월급2,000,000",43분전
경기 김포시, 아소비 김포지사,13:30~18:00,"월급2,000,000",1시간전
경기 김포시, 아소비 김포지사,13:30~18:00,"월급2,000,000",1시간전
경기 김포시, 아소비 김포지사,13:30~18:00,"월급2,000,000",1시간전
경북 구미시, 아소비 대구북구구미지사,13:00~19:00,"월급2,000,000",2시간전
서울 은평구, 아소비 은평서대문지사,01:30~05:30,"월급1,900,000",2시간전
서울 마포구, 아소비 은평서대문지사,01:30~05:30,"월급2,000,000",2시간전
서울 서대문, 아소비 은평서대문지사,01:30~05:30,"월급1,900,000",2시간전
경북 구미시, 아소비 대구북구구미지사,13:00~19:00,"월급2,000,000",3시간전
경기 평택시, 아소비 평택안성지사,14:00~18:00,"월급2,000,000",3시간전
경기 안성시, 아소비 평택안성지사,14:00~18:00,"월급2,000,000",3시간전
경기 평택시, 아소비 평택안성지사,14:00~18:00,"월급2,000,000",3시간전
대구 북구, 아소비 대구북구구미지사,13:00~19:00,"월급2,000,000",3시간전
경남 김해시, 아소비 김해양산지사,13:00~19:00,"월급1,700,000",4시간전
경남 양산시, 아소비 김해양산지사,13:00~19:00,"월급1,700,000",4시간전
경남 김해시, 아소비 김해양산지사,13:00~19:00,"월급1,700,000",4시간전
서울 동대문, 아소비 동대문성동지사,14:00~19:00,"월급2,500,000",4시간전
서울 광진구, 아소비 동대문성동지사,14:00~19:00,"월급2,500,000",4시간전
서울 동대문, 아소비 동대문성동지사,14:00~19:00,"월급2,500,000",4시간전
경북 포항시, 아소비 포항경주지사,14:00~19:00,"월급2,000,000",4시간전
경북 포항시, 아소비 포항경주지사,13:00~18:00,"월급2,000,000",4시간전
경북 포항시, 아소비 포항경주지사,14:00~19:00,"월급2,000,000",4시간전
충남 천안시, 아소비 천안아산지사,시간협의,"월급1,800,000",4시간전
충남 천안시, 아소비 천안아산지사,시간협의,"월급1,800,000",4시간전
충남 천안시, 아소비 천안아산지사,시간협의,"월급1,800,000",4시간전
세종 전체, 아소비 세종유성지사,14:00~18:00,"월급2,000,000",4시간전
세종 전체, 아소비 세종유성지사,14:00~18:00,"월급2,000,000",4시간전
세종 전체, 아소비 세종유성지사,14:00~18:00,"월급2,000,000",4시간전
서울 중랑구, 아소비 동북지사(노원/중랑),14:00~19:00,"월급1,900,000",6시간전
서울 중랑구, 아소비 동북지사(노원/중랑),14:00~19:00,"월급1,900,000",6시간전
서울 노원구, 아소비 동북지사(노원/중랑),14:00~19:00,"월급1,900,000",6시간전
경기 남양주, 아소비 동북지사(남양주/구리),14:00~19:00,"월급1,900,000",6시간전
경기 남양주, 아소비 동북지사(남양주/구리),14:00~19:00,"월급1,900,000",6시간전
경기 남양주, 아소비 동북지사(남양주/구리),14:00~19:00,"월급1,900,000",6시간전
경기 광명시, 아소비 광명지사,14:00~19:00,"월급2,000,000",6시간전
경기 광명시, 아소비 광명지사,14:00~19:00,"월급2,000,000",6시간전
경기 광명시, 아소비 광명지사,14:00~19:00,"월급2,000,000",6시간전
서울 구로구, 아소비 구로강서양천지사,14:00~19:00,"월급2,000,000",6시간전
서울 구로구, 아소비 구로강서양천지사,14:00~19:00,"월급2,000,000",6시간전
서울 양천구, 아소비 구로강서양천지사,14:00~19:00,"월급2,000,000",6시간전
경기 안양시, 아소비 안양과천지사,14:00~18:00,"주급2,000,000",6시간전
경기 안양시, 아소비 안양과천지사,14:00~18:00,"주급2,000,000",6시간전
