place,title,time,pay,date
경기 화성시, 제일패션리테일(주),13:00~22:00,"시급8,720",3시간전
경기 의왕시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",3시간전
부산 부산진, 제일패션리테일(주),13:00~22:00,"시급8,720",7시간전
경남 거제시, 제일패션리테일(주),13:00~22:00,"연봉26,500,000",08/10
부산 중구, 제일패션리테일(주),13:00~22:00,"연봉29,000,000",08/07
부산 기장군, 제일패션리테일(주),13:00~22:00,"연봉29,000,000",08/07
부산 부산진, 제일패션리테일(주),13:00~22:00,"연봉29,000,000",08/07
전북 전주시, 제일패션리테일(주),13:00~22:00,"연봉26,500,000",08/07
광주 동구, 제일패션리테일(주),13:00~22:00,"연봉26,500,000",08/07
경남 창원시, 제일패션리테일(주),13:00~22:00,"연봉26,500,000",08/07
부산 연제구, 제일패션리테일(주),13:30~22:30,"시급8,720",08/01
