place,title,time,pay,date
충남 천안시, 엔제리너스 천안직산점,15:00~24:00,"월급1,822,480",3시간전
경남 김해시, 엔제리너스 김해봉황D/I점,00:00~24:00,"시급8,720",5시간전
서울 종로구, 엔제리너스 센트로폴리스점,10:30~14:00,"시급8,720",5시간전
충남 천안시, 엔제리너스 천안직산점,19:00~23:00,"시급8,720",6시간전
서울 중구, 엔제리너스 서울역사점,12:00~23:30,"시급8,720",9시간전
충남 천안시, 엔제리너스 천안직산점,19:00~23:00,"시급8,720",9시간전
전북 익산시, 엔제리너스 익산고봉로점,11:30~14:30,"시급8,720",22시간전
전북 익산시, 엔제리너스 익산고봉로점,11:30~14:30,"시급8,720",22시간전
대구 전체, 엔제리너스 칠곡구암역점,24:00~08:30,"월급2,180,000",23시간전
대구 전체, 엔제리너스 칠곡구암역점,시간협의,"월급1,830,000",23시간전
인천 미추홀, 엔제리너스 롯데백인천터미널점,시간협의,"시급8,720",08/14
경기 화성시, 엔제리너스 동탄역사점,09:00~14:00,"시급8,720",08/13
울산 북구, 엔제리너스 울산명촌점,시간협의,"월급1,850,000",08/13
경남 김해시, 엔제리너스 김해봉황D/I점,00:00~24:00,"시급8,720",08/11
대구 전체, 엔제리너스 칠곡구암역점,시간협의,"월급1,830,000",08/10
대구 전체, 엔제리너스 칠곡구암역점,24:00~08:30,"월급2,180,000",08/10
서울 종로구, 엔제리너스 센트로폴리스점,10:30~14:00,"시급8,720",08/10
경남 김해시, 엔제리너스 김해봉황D/I점,00:00~24:00,"시급8,720",08/10
경남 진주시, 엔제리너스 진주금호못점,19:00~23:00,"시급8,720",08/09
경기 화성시, 엔제리너스 롯데백화점 동탄점,시간협의,"시급8,720",08/08
서울 송파구, 엔제리너스 잠실롯데월드몰B1점,12:00~18:00,"시급8,720",08/08
서울 송파구, 엔제리너스 롯데백잠실,시간협의,"시급8,720",08/08
울산 중구, 엔제리너스 울산병영점,09:00~24:00,"시급8,720",08/06
울산 중구, 엔제리너스 울산병영점,08:00~23:00,"월급1,830,000",08/06
울산 중구, 엔제리너스 울산병영점,시간협의,"월급1,830,000",08/06
경남 창원시, 엔제리너스 진해자은점,시간협의,"시급8,720",08/06
전북 익산시, 엔제리너스 익산고봉로점,11:30~14:30,"시급8,720",08/04
대구 전체, 엔제리너스 대구칠성시장역점,시간협의,"월급1,830,000",08/03
대구 북구, 엔제리너스 대구칠성시장역점,00:00~24:00,"시급8,720",08/03
서울 강동구, 엔제리너스 강동경희대병원점,07:00~19:00,"시급8,720",08/02
