place,title,time,pay,date
서울 서초구, 폴바셋 강남삼성타운점,06:30~23:00,"시급9,000",5분전
부산 전체, 상하목장 밀크아이스크림 롯데몰동부산점,10:00~22:00,"시급8,720",12분전
경기 성남시, 폴바셋 롯데분당점,07:00~21:30,"시급9,000",29분전
서울 송파구, 폴바셋 스타필드시티위례점,09:00~23:00,"시급9,000",45분전
서울 강남구, 폴바셋 일원역점,06:00~23:00,"시급9,000",1시간전
서울 서초구, 더키친일뽀르노 신세계강남점,12:00~21:00,"시급8,720",1시간전
서울 도봉구, 폴바셋 롯데백화점노원점,시간협의,"시급9,000",1시간전
서울 노원구, 폴바셋 롯데백화점노원점,시간협의,"시급9,000",1시간전
경기 고양시, 폴바셋 마두역점,06:30~23:00,"시급9,000",2시간전
서울 전체, 폴바셋 신세계본점,09:00~22:00,"시급9,000",2시간전
서울 관악구, 폴바셋 압구정2호점,07:00~23:00,"시급9,000",2시간전
서울 중구, 폴바셋 서소문점,06:00~23:00,"시급9,000",2시간전
서울 전체, 폴바셋 교대역점,07:00~23:00,"시급9,000",2시간전
경기 화성시, 폴바셋 롯데백화점동탄점,09:00~21:30,"시급9,000",2시간전
서울 성동구, 폴바셋 한남커피스테이션,07:00~23:00,"시급9,000",2시간전
서울 관악구, 폴바셋 압구정2호점,07:00~23:00,"시급9,000",2시간전
서울 영등포, 폴바셋 국회대로점,07:00~22:00,"시급9,000",2시간전
경기 용인시, 폴바셋 롯데몰수지점,09:30~23:00,"시급9,000",2시간전
경기 평택시, 폴바셋 스타필드안성점,08:00~23:00,"시급9,000",3시간전
서울 서초구, 폴바셋 롯데강남점,08:00~22:00,"시급9,000",3시간전
경기 수원시, 폴바셋 광교엘포트점,07:00~23:00,"시급9,000",3시간전
경기 수원시, 폴바셋 광교엘포트점,07:00~23:00,"시급9,000",3시간전
부산 해운대, 폴바셋 해운대아이파크점,07:00~23:00,"시급9,000",3시간전
경기 성남시, 폴바셋 수서역점,07:30~23:00,"시급9,000",3시간전
경기 성남시, 폴바셋 수서역점,07:30~23:00,"시급9,000",3시간전
경기 성남시, 폴바셋 수서역점,07:30~23:00,"시급9,000",3시간전
서울 강동구, 폴바셋 수서역점,07:30~23:00,"시급9,000",3시간전
서울 송파구, 폴바셋 수서역점,07:30~23:00,"시급9,000",3시간전
서울 전체, 폴바셋 파미에스테이션점,07:00~23:00,"시급9,000",3시간전
서울 관악구, 폴바셋 압구정2호점,07:00~23:00,"시급9,000",4시간전
서울 전체, 폴바셋 신세계본점,09:00~22:00,"시급9,000",4시간전
경기 하남시, 폴바셋 스타필드시티위례점,09:00~23:00,"시급9,000",4시간전
서울 강동구, 폴바셋 스타필드시티위례점,09:00~23:00,"시급9,000",4시간전
서울 송파구, 폴바셋 스타필드시티위례점,09:00~23:00,"시급9,000",4시간전
서울 전체, 폴바셋 방배역점,07:00~23:00,"시급8,800",4시간전
서울 전체, 폴바셋 교대역점,07:00~23:00,"시급9,000",4시간전
서울 영등포, 폴바셋 여의도IFC점,06:00~23:00,"시급9,000",4시간전
경기 용인시, 폴바셋 신세계백화점경기점,09:30~22:30,"시급9,000",4시간전
경기 화성시, 폴바셋 롯데백화점동탄점,09:00~21:30,"시급9,000",5시간전
서울 전체, 폴바셋 파미에스테이션점,07:00~23:00,"시급9,000",5시간전
서울 전체, 폴바셋 롯데본점,09:00~22:00,"시급9,000",5시간전
전북 전주시, 폴바셋 전주혁신도시점,06:30~23:00,"시급9,000",6시간전
서울 강동구, 폴바셋 상일동점,06:30~22:00,"시급9,000",6시간전
경기 안성시, 폴바셋 스타필드안성점,08:00~23:00,"시급9,000",7시간전
서울 구로구, 폴바셋 고대구로병원점,06:00~21:30,"시급9,000",8시간전
서울 관악구, 폴바셋 압구정2호점,07:00~23:00,"시급9,000",10시간전
대구 동구, 폴바셋 대구신세계백화점1호점,09:00~22:00,"시급9,000",18시간전
서울 서초구, 폴바셋 강남삼성타운점,06:30~23:00,"시급9,000",08/15
서울 중구, 폴바셋 을지로파인에비뉴,06:00~24:00,"시급9,000",08/15
서울 전체, 폴바셋 파미에스테이션점,07:00~23:00,"시급9,000",08/15
