place,title,time,pay,date
울산 남구, 원조부안집 울산삼산점,17:00~24:00,"시급8,720",1시간전
인천 남동구, 원조부안집 구월점,시간협의,"월급2,600,000",3시간전
전북 전주시, 원조부안집 전주서신점,18:00~01:00,"시급9,300",5시간전
인천 미추홀, 원조부안집 인하대역점,시간협의,"시급9,000",7시간전
경기 의왕시, 원조부안집 의왕내손점,시간협의,"시급10,500",7시간전
경기 성남시, 원조부안집 판교점,13:00~23:00,"시급12,000",7시간전
전북 전주시, 원조부안집 전주서신점,18:00~01:00,"시급9,300",08/15
인천 미추홀, 원조부안집 인하대역점,시간협의,"월급2,200,000",08/14
인천 미추홀, 원조부안집 인하대역점,시간협의,"시급9,000",08/14
경기 성남시, 원조부안집 판교점,13:00~23:00,"시급12,000",08/13
인천 미추홀, 원조부안집 도화점,18:00~24:00,"시급9,000",08/13
울산 남구, 원조부안집 울산삼산점,00:00~24:00,"시급8,720",08/13
인천 미추홀, 원조부안집 도화점,18:00~24:00,"시급9,000",08/12
인천 미추홀, 원조부안집 도화점,18:00~24:00,"시급9,000",08/12
전북 전주시, 원조부안집 전주서신점,18:00~01:00,"시급9,300",08/11
인천 미추홀, 원조부안집 도화점,18:00~24:00,"시급9,000",08/10
경북 구미시, 원조부안집 구미점,00:00~02:00,"시급9,000",08/09
경북 구미시, 원조부안집 구미점,00:00~02:00,"시급9,000",08/09
경북 구미시, 원조부안집 구미점,00:00~02:00,"시급9,000",08/09
경북 구미시, 원조부안집 구미점,00:00~02:00,"시급9,000",08/09
인천 미추홀, 원조부안집 도화점,18:00~24:00,"시급9,000",08/09
전북 완주군, 원조부안집 혁신점,시간협의,"시급10,000",08/09
전북 완주군, 원조부안집 혁신점,시간협의,"시급10,000",08/09
전북 완주군, 원조부안집 혁신점,시간협의,"시급10,000",08/09
전북 완주군, 원조부안집 혁신점,시간협의,"시급10,000",08/09
전북 전주시, 원조부안집 전주서신점,18:00~01:00,"시급9,300",08/09
전북 전주시, 원조부안집 전주서신점,18:00~01:00,"시급9,300",08/09
경기 파주시, 원조부안집 야당점,시간협의,"월급2,700,000",08/09
경기 파주시, 원조부안집 야당점,시간협의,"월급2,700,000",08/09
경기 파주시, 원조부안집 야당점,시간협의,"월급2,700,000",08/09
경기 파주시, 원조부안집 야당점,시간협의,"월급2,700,000",08/09
부산 해운대, 원조부안집 해운대좌동점,05:00~20:00,"시급9,000",08/09
부산 해운대, 원조부안집 해운대좌동점,시간협의,"월급2,500,000",08/09
부산 해운대, 원조부안집 해운대좌동점,시간협의,"월급2,500,000",08/08
부산 해운대, 원조부안집 해운대좌동점,05:00~20:00,"시급9,000",08/08
경북 구미시, 원조부안집 구미문성점,16:00~24:00,"월급2,500,000",08/03
충북 청주시, 원조부안집 청주율량점,15:00~02:00,"월급2,800,000",08/01
