place,title,time,pay,date
경기 평택시, 윈윈파트너 [경기평택]비전점,09:00~02:00,"건별3,500",4분전
경기 평택시, 윈윈파트너 [경기평택]동삭지점,09:00~03:00,"건별3,500",5분전
서울 구로구, 윈윈파트너 [경기광명]개봉고척총판,09:30~01:30,"일급200,000",8분전
서울 구로구, 윈윈파트너 [경기광명]개봉고척총판,09:30~01:30,"일급200,000",8분전
서울 구로구, 윈윈파트너 [경기광명]개봉고척총판,09:30~01:30,"일급200,000",8분전
경기 안양시, 윈윈파트너 윈[경기안양동안구]동안점,시간협의,"일급200,000",50분전
부산 수영구, 윈윈파트너 [부산남구수영3호점],시간협의,"일급150,000",53분전
충북 청주시, 윈윈파트너 [충북청주서원구],시간협의,"건별3,300",1시간전
충북 청주시, 윈윈파트너 [충북청주서원구],시간협의,"건별3,300",1시간전
충북 청주시, 윈윈파트너 [충북청주서원구],시간협의,"건별3,300",1시간전
부산 부산진, 윈윈파트너 WIN.[부산진구]진구점,10:00~02:00,"건별3,000",1시간전
부산 부산진, 윈윈파트너 WIN.[부산진구]진구점,10:00~02:00,"건별3,000",1시간전
부산 부산진, 윈윈파트너 WIN.[부산진구]진구점,10:00~02:00,"건별3,000",1시간전
부산 수영구, 윈윈파트너 [부산남구수영3호점],시간협의,"일급150,000",2시간전
인천 서구, 윈윈파트너 [인천서구]청라점,시간협의,"일급200,000",2시간전
경북 안동시, 윈윈파트너 [경북안동]금곡점,시간협의,"일급150,000",2시간전
경기 안양시, 윈윈파트너 윈[경기안양동안구]동안점,시간협의,"건별3,500",2시간전
인천 미추홀, 윈윈파트너 주안지사,시간협의,"월급5,000,000",2시간전
인천 남동구, 윈윈파트너 주안지사,시간협의,"월급5,000,000",2시간전
인천 미추홀, 윈윈파트너 주안지사,시간협의,"월급5,000,000",2시간전
인천 중구, 윈윈파트너 [인천중구]영종하늘지사,시간협의,"월급4,000,000",3시간전
인천 중구, 윈윈파트너 [인천중구]영종하늘지사,시간협의,"월급4,000,000",3시간전
인천 중구, 윈윈파트너 [인천중구]영종하늘지사,시간협의,"월급4,000,000",3시간전
대전 중구, 윈윈파트너 플라이대전 유천지부,시간협의,"월급3,000,000",3시간전
대전 중구, 윈윈파트너 플라이대전 유천지부,시간협의,"월급3,000,000",3시간전
부산 수영구, 윈윈파트너 [부산남구수영3호점],시간협의,"일급150,000",3시간전
부산 동래구, 윈윈파트너 [부산동래]온천점,시간협의,"일급150,000",3시간전
부산 동래구, 윈윈파트너 [부산동래]온천점,시간협의,"일급150,000",3시간전
부산 동래구, 윈윈파트너 [부산동래]온천점,시간협의,"일급150,000",3시간전
인천 전체, 윈윈파트너 [인천미추홀구]용현점,시간협의,"일급250,000",3시간전
경기 안양시, 윈윈파트너 윈[경기안양동안구]동안점,시간협의,"일급200,000",4시간전
경기 안양시, 윈윈파트너 윈[경기안양동안구]동안점,시간협의,"건별3,500",4시간전
부산 동래구, 윈윈파트너 [부산동래구]아시아드점,시간협의,"일급200,000",4시간전
부산 동래구, 윈윈파트너 [부산동래구]아시아드점,시간협의,"일급200,000",4시간전
부산 동래구, 윈윈파트너 [부산동래구]아시아드점,시간협의,"일급200,000",4시간전
대전 동구, 윈윈파트너 [대전동구]뜨거운형제들5지,시간협의,"일급120,000",4시간전
대전 동구, 윈윈파트너 [대전동구]뜨거운형제들5지,시간협의,"일급120,000",4시간전
대전 동구, 윈윈파트너 [대전동구]뜨거운형제들5지,시간협의,"일급120,000",4시간전
대전 동구, 윈윈파트너 [대전동구]뜨거운형제들4지,09:00~03:00,"일급200,000",4시간전
대전 중구, 윈윈파트너 [대전동구]뜨거운형제들4지,09:00~03:00,"일급200,000",4시간전
대전 동구, 윈윈파트너 [대전동구]뜨거운형제들4지,09:00~03:00,"일급200,000",4시간전
대전 동구, 윈윈파트너 [대전동구]뜨거운형제들2지,시간협의,"일급150,000",4시간전
대전 동구, 윈윈파트너 [대전동구]뜨거운형제들2지,시간협의,"일급150,000",4시간전
대전 동구, 윈윈파트너 [대전동구]뜨거운형제들2지,시간협의,"일급150,000",4시간전
대전 동구, 윈윈파트너 [대전동구]뜨거운형제들1지,10:00~10:00,"일급120,000",4시간전
경기 안양시, 윈윈파트너 윈[경기안양동안구]동안점,시간협의,"일급200,000",4시간전
대전 동구, 윈윈파트너 [대전동구]뜨거운형제들1지,10:00~00:00,"일급130,000",4시간전
대전 동구, 윈윈파트너 [대전동구]뜨거운형제들1지,09:00~00:00,"일급140,000",4시간전
인천 전체, 윈윈파트너 [인천미추홀구]용현점,시간협의,"일급250,000",4시간전
대구 수성구, 윈윈파트너 [대구수성구]범어점,시간협의,"일급200,000",4시간전
