place,title,time,pay,date
대구 동구, 유니클로 롯데몰 이시아폴리스점,시간협의,"시급8,720",50분전
대구 동구, 유니클로 롯데몰 이시아폴리스점,시간협의,"시급8,720",51분전
경기 용인시, 유니클로 롯데몰 수지점,시간협의,"월급1,850,000",2시간전
울산 북구, 유니클로 울산 진장점,시간협의,"시급8,870",4시간전
서울 중구, 유니클로 롯데백화점 영플라자점,09:30~17:30,"시급10,644",4시간전
서울 중구, 유니클로 롯데백화점 영플라자점,09:30~19:00,"월급1,850,000",4시간전
경기 안양시, 유니클로 롯데백화점 평촌점,시간협의,"시급10,644",4시간전
경기 안양시, 유니클로 롯데백화점 평촌점,시간협의,"월급1,850,000",4시간전
경기 전체, 유니클로 신세계 스타필드 고양점,시간협의,"시급10,644",4시간전
전국 전체, 유니클로 신세계 스타필드 고양점,시간협의,"월급1,850,000",4시간전
경기 구리시, 유니클로 롯데백화점 구리점,시간협의,"시급10,644",4시간전
경기 고양시, 유니클로 롯데마트 화정점,시간협의,"시급10,644",6시간전
경기 전체, 유니클로 경기 광주점,시간협의,"월급1,850,000",6시간전
경기 전체, 유니클로 롯데몰 이천점,시간협의,"월급1,850,000",7시간전
경기 이천시, 유니클로 롯데몰 이천점,시간협의,"시급8,870",7시간전
경기 이천시, 유니클로 롯데몰 이천점,시간협의,"시급10,644",7시간전
서울 송파구, 유니클로 롯데월드몰점,시간협의,"시급10,644",9시간전
서울 송파구, 유니클로 롯데월드몰점,시간협의,"월급1,850,000",9시간전
경기 안양시, 유니클로 엔터식스 안양,시간협의,"월급1,850,000",9시간전
경기 오산시, 유니클로 오산점,11:30~21:00,"월급1,850,000",10시간전
인천 부평구, 유니클로 인천 구산점,시간협의,"월급1,850,000",23시간전
전남 광양시, 유니클로 LF 스퀘어 광양점,시간협의,"시급10,644",08/15
광주 전체, 유니클로 광주 연제점,시간협의,"시급10,644",08/15
서울 전체, 유니클로 롯데마트 서울역점,시간협의,"월급1,850,000",08/15
서울 강남구, 유니클로 신사점,시간협의,"시급10,644",08/15
울산 전체, 유니클로 울산 업스퀘어점,시간협의,"시급10,644",08/15
서울 송파구, 유니클로 현대시티몰 가든파이브점,시간협의,"월급1,850,000",08/15
서울 송파구, 유니클로 현대시티몰 가든파이브점,시간협의,"시급10,644",08/15
서울 송파구, 유니클로 현대시티몰 가든파이브점,시간협의,"시급8,870",08/15
울산 북구, 유니클로 울산 진장점,시간협의,"시급8,870",08/15
강원 원주시, 유니클로 원주점,시간협의,"시급10,644",08/15
강원 원주시, 유니클로 원주점,시간협의,"월급1,850,000",08/15
경기 하남시, 유니클로 스타필드 시티 위례점,시간협의,"시급10,644",08/15
인천 연수구, 유니클로 인천 스퀘어원점,시간협의,"월급1,850,000",08/15
경기 이천시, 유니클로 롯데몰 이천점,시간협의,"시급8,870",08/15
경기 화성시, 유니클로 이마트 동탄점,시간협의,"시급8,720",08/15
경기 화성시, 유니클로 이마트 동탄점,시간협의,"시급10,644",08/15
경기 이천시, 유니클로 롯데몰 이천점,시간협의,"시급10,644",08/15
경기 화성시, 유니클로 이마트 동탄점,시간협의,"월급1,850,000",08/15
서울 양천구, 유니클로 현대백화점 목동점,시간협의,"시급10,644",08/15
서울 양천구, 유니클로 현대백화점 목동점,시간협의,"월급1,850,000",08/15
인천 전체, 유니클로 부평역사점,시간협의,"시급10,644",08/15
인천 전체, 유니클로 부평역사점,시간협의,"월급1,850,000",08/15
경기 성남시, 유니클로 현대백화점 판교점,시간협의,"시급10,644",08/15
경기 성남시, 유니클로 현대백화점 판교점,시간협의,"월급1,850,000",08/15
인천 전체, 유니클로 부평역사점,시간협의,"시급10,644",08/14
인천 전체, 유니클로 부평역사점,시간협의,"월급1,850,000",08/14
대구 동구, 유니클로 신세계백화점 대구점,09:30~22:30,"시급10,644",08/14
대구 동구, 유니클로 신세계백화점 대구점,09:30~22:30,"시급10,644",08/14
경기 시흥시, 유니클로 이마트 시화점,시간협의,"시급10,644",08/14
