place,title,time,pay,date
경기 수원시, 이어드림 수원(본점),시간협의,"건별3,500",4시간전
경기 수원시, 이어드림 수원(본점),시간협의,"건별3,500",4시간전
경기 수원시, 이어드림 수원(본점),시간협의,"건별3,500",4시간전
대구 달서구, 이어드림 성당점,10:00~05:00,"일급200,000",5시간전
대구 달서구, 이어드림 성당점,10:00~05:00,"일급200,000",18시간전
인천 전체, 이어드림 용현4지사,10:00~22:00,"월급5,000,000",08/10
경기 용인시, 이어드림 둔전지점,시간협의,"건별3,500",08/10
경기 용인시, 이어드림 천리지사,시간협의,"일급200,000",08/10
인천 전체, 이어드림 용현5지사,시간협의,"일급150,000",08/09
인천 전체, 이어드림 용현4지사,10:00~22:00,"월급5,000,000",08/09
인천 미추홀, 이어드림 용현3지사,10:00~03:00,"일급200,000",08/09
인천 미추홀, 이어드림 용현3지사,10:00~03:00,"일급200,000",08/08
경기 수원시, 이어드림 수원(송죽파장8지사),10:00~01:00,"건별3,500",08/07
경기 수원시, 이어드림 수원(호매9지사),10:00~01:00,"일급200,000",08/07
경기 수원시, 이어드림 수원(3지사),시간협의,"건별3,500",08/07
경기 용인시, 이어드림 천리지사,시간협의,"일급200,000",08/07
경기 용인시, 이어드림 보라지점,11:00~24:00,"건별3,500",08/07
대구 달서구, 이어드림 성당점,10:00~05:00,"일급200,000",08/07
경기 전체, 이어드림 다산신도시지점,10:00~02:00,"건별3,000",08/07
대구 달성군, 이어드림 현풍,시간협의,"건별3,300",08/07
경기 용인시, 이어드림 처인지점,09:00~01:00,"일급250,000",08/07
대전 대덕구, 이어드림 신탄 1지부,시간협의,"일급200,000",08/07
인천 미추홀, 이어드림 용현3지사,10:00~03:00,"일급200,000",08/07
인천 전체, 이어드림 용현5지사,시간협의,"일급150,000",08/07
경기 평택시, 이어드림 송탄국민지점,00:00~24:00,"건별3,200",08/07
강원 속초시, 이어드림 속초지점,시간협의,"건별5,000",08/07
인천 전체, 이어드림 용현4지사,10:00~22:00,"월급5,000,000",08/07
경기 용인시, 이어드림 둔전지점,시간협의,"건별3,500",08/07
경기 수원시, 이어드림 수원(송죽파장8지사),10:00~01:00,"건별3,500",08/06
경기 수원시, 이어드림 수원(호매9지사),10:00~01:00,"일급200,000",08/06
경기 수원시, 이어드림 수원(3지사),시간협의,"건별3,500",08/06
경기 용인시, 이어드림 천리지사,시간협의,"일급200,000",08/06
경기 용인시, 이어드림 보라지점,11:00~24:00,"건별3,500",08/06
경기 전체, 이어드림 다산신도시지점,10:00~02:00,"건별3,000",08/06
대구 달성군, 이어드림 현풍,시간협의,"건별3,300",08/06
경기 용인시, 이어드림 처인지점,09:00~01:00,"일급250,000",08/06
대전 대덕구, 이어드림 신탄 1지부,시간협의,"일급200,000",08/06
인천 전체, 이어드림 용현5지사,시간협의,"일급150,000",08/06
경기 평택시, 이어드림 송탄국민지점,00:00~24:00,"건별3,200",08/06
강원 속초시, 이어드림 속초지점,시간협의,"건별5,000",08/06
경기 용인시, 이어드림 둔전지점,시간협의,"건별3,500",08/06
