place,title,time,pay,date
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",10분전
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",15분전
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",1시간전
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",6시간전
서울 전체, 자라홈코리아,시간협의,"연봉24,000,000",6시간전
서울 전체, 인디텍스코리아,시간협의,"시급11,370",8시간전
충북 청주시, 자라리테일코리아,시간협의,"연봉24,000,000",08/14
경기 전체, 자라리테일코리아,시간협의,"시급11,370",08/14
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",08/14
대구 전체, 자라리테일코리아,시간협의,"시급11,370",08/13
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",08/13
대전 전체, 자라리테일코리아,시간협의,"연봉24,000,000",08/10
경기 하남시, 마시모두띠,시간협의,"연봉24,000,000",08/09
인천 전체, 자라리테일코리아,시간협의,"시급11,370",08/09
경기 성남시, 자라리테일코리아,시간협의,"시급11,370",08/08
서울 전체, 마시모두띠코리아,시간협의,"연봉24,000,000",08/06
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",08/06
서울 구로구, 자라리테일코리아,시간협의,"연봉24,000,000",08/06
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",07/31
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",07/31
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",07/31
경기 성남시, 마시모두띠코리아,시간협의,"연봉24,000,000",07/31
경기 하남시, 자라리테일코리아,시간협의,"연봉24,000,000",07/31
서울 강남구, 자라리테일코리아,시간협의,"연봉24,000,000",07/31
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",07/31
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",07/31
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",07/31
서울 강남구, 자라리테일코리아,시간협의,"연봉24,000,000",07/31
인천 전체, 자라리테일코리아,시간협의,"연봉24,000,000",07/31
서울 강남구, 자라리테일코리아,시간협의,"연봉24,000,000",07/31
경기 안산시, 이자녹스/비욘드/네이처컬렉션 이마트,시간협의,"시급8,720",49분전
부산 금정구, 이자녹스/비욘드/네이처컬렉션 이마트,18:00~23:00,"시급8,720",1시간전
경기 성남시, 이자녹스/비욘드/네이처컬렉션 롯데백화,16:00~20:00,"시급8,720",1시간전
서울 도봉구, 이자녹스/비욘드/네이처컬렉션 NC 신,10:00~16:00,"시급8,720",2시간전
서울 송파구, 이자녹스/비욘드/네이처컬렉션 NC 방,시간협의,"시급8,720",3시간전
경남 양산시, 이자녹스/비욘드/네이처컬렉션 롯데마트,시간협의,"시급8,720",4시간전
경남 사천시, 이자녹스/비욘드/네이처컬렉션 NC 사,16:30~21:00,"시급8,720",5시간전
경기 부천시, 이자녹스/비욘드/네이처컬렉션 홈플러스,시간협의,"월급1,822,480",08/13
서울 도봉구, 이자녹스/비욘드/네이처컬렉션 NC 신,13:00~22:00,"월급1,900,000",08/13
경남 사천시, 이자녹스/비욘드/네이처컬렉션 NC 사,16:30~21:00,"시급8,720",08/11
서울 송파구, 이자녹스/비욘드/네이처컬렉션 NC 방,시간협의,"월급1,900,000",08/11
서울 송파구, 이자녹스/비욘드/네이처컬렉션 NC 방,시간협의,"시급9,000",08/11
서울 송파구, 이자녹스/비욘드/네이처컬렉션 NC 방,시간협의,"월급1,822,480",08/11
경남 김해시, 이자녹스/비욘드/네이처컬렉션 메가마트,03:00~10:00,"시급9,000",08/08
경기 성남시, 이자녹스/비욘드/네이처컬렉션 세이브존,09:30~15:30,"시급8,800",08/08
부산 전체, 이자녹스/비욘드/네이처컬렉션 이마트,10:00~23:00,"시급8,800",08/06
경기 성남시, 이자녹스/비욘드/네이처컬렉션 롯데백화,시간협의,"시급8,720",08/04
