place,title,time,pay,date
대구 전체, 장원교육 수성,14:00~22:00,"월급1,800,000",23분전
서울 양천구, 장원교육 서울양천,시간협의,"연봉20,000,000",28분전
경기 성남시, 장원교육 분당,09:30~16:30,"시급8,720",3시간전
경기 성남시, 장원교육 분당,09:30~16:30,"시급8,720",3시간전
대구 달서구, 장원교육 월배,시간협의,"월급2,000,000",5시간전
대구 전체, 장원교육 수성,14:00~22:00,"월급1,800,000",6시간전
대구 달서구, 장원교육 월배,시간협의,"월급2,000,000",7시간전
대구 전체, 장원교육 강북,14:00~22:00,"월급1,800,000",7시간전
대구 달서구, 장원교육 월배,시간협의,"월급2,000,000",23시간전
경기 안산시, 장원교육 안산상록,10:00~21:00,"월급2,100,000",08/15
서울 서초구, 장원교육 서울서초,10:00~20:30,"월급2,000,000",08/15
서울 강서구, 장원교육 서울강서,시간협의,"월급2,000,000",08/15
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",08/15
충북 충주시, 장원교육 충주,14:00~21:00,"월급2,000,000",08/15
대구 전체, 장원교육 강북,14:00~22:00,"월급1,800,000",08/14
충남 천안시, 장원교육 천안,14:00~22:00,"월급1,500,000",08/14
충남 천안시, 장원교육 천안,01:30~09:00,"월급1,800,000",08/14
대전 서구, 장원교육 남대전,10:00~22:00,"월급1,800,000",08/14
대전 서구, 장원교육 남대전,10:00~22:00,"월급1,800,000",08/14
대전 중구, 장원교육 남대전,10:00~22:00,"월급1,800,000",08/14
대전 중구, 장원교육 남대전,10:00~22:00,"월급1,800,000",08/14
경기 수원시, 장원교육 수원장안,10:00~21:00,"월급2,000,000",08/14
인천 전체, 장원교육 인천서구,14:00~21:00,"월급1,500,000",08/14
인천 전체, 장원교육 인천서구,14:00~21:00,"월급1,500,000",08/14
인천 연수구, 장원교육 인천연수,10:00~21:00,건별450,08/14
서울 구로구, 장원교육 서울영등포,10:00~20:00,"월급1,900,000",08/14
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",08/14
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",08/14
서울 양천구, 장원교육 서울양천,14:00~21:00,"연봉20,000,000",08/14
서울 강남구, 장원교육 서울강남,14:00~21:00,"연봉18,000,000",08/14
서울 송파구, 장원교육 서울송파,10:00~20:00,"월급1,800,000",08/14
부산 강서구, 장원교육 김해,14:00~21:00,"월급1,500,000",08/14
경남 창원시, 장원교육 창원서,13:00~21:00,"월급1,800,000",08/14
경남 김해시, 장원교육 김해장유,14:00~21:00,"연봉20,000,000",08/14
경북 전체, 장원교육 포항남북,시간협의,"월급1,900,000",08/14
대구 전체, 장원교육 대구시지,10:00~21:00,"월급1,500,000",08/14
충남 아산시, 장원교육 신아산,10:00~20:00,"월급2,000,000",08/14
경기 군포시, 장원교육 군포과천,14:00~21:00,"월급2,000,000",08/14
인천 미추홀, 장원교육 인천중부,시간협의,"월급2,000,000",08/14
경기 김포시, 장원교육 김포,10:00~20:00,"월급2,000,000",08/14
경기 시흥시, 장원교육 시흥,시간협의,"월급2,000,000",08/14
경기 광명시, 장원교육 광명,14:00~20:00,"월급2,000,000",08/14
경기 광명시, 장원교육 광명,14:00~20:00,"월급2,000,000",08/14
경기 광명시, 장원교육 광명,14:00~20:00,"월급2,000,000",08/14
경기 광명시, 장원교육 광명,14:00~20:00,"월급2,000,000",08/14
서울 용산구, 장원교육 용산서,시간협의,"연봉18,000,000",08/14
강원 동해시, 장원교육 동해삼척,10:00~21:00,"월급2,000,000",08/14
경기 하남시, 장원교육 하남,15:00~21:00,"월급1,500,000",08/14
대전 대덕구, 장원교육 동대전,10:00~10:00,"월급1,800,000",08/14
대전 대덕구, 장원교육 동대전,시간협의,"월급1,800,000",08/14
