place,title,time,pay,date
대구 중구, 제이디스포츠패션코리아 동성로중앙점(직,10:00~19:00,"월급1,822,480",4분전
경기 고양시, 제이디스포츠패션코리아 스타필드고양점(,13:00~22:00,"월급1,822,480",2시간전
인천 연수구, 제이디스포츠패션코리아 인천스퀘어원점(,13:30~21:30,"시급9,040",3시간전
서울 강남구, 제이디스포츠패션코리아 파르나스몰점,13:00~22:00,"월급1,822,480",3시간전
제주 제주시, 제이디스포츠패션코리아 제주칠성점(직),13:00~22:00,"월급1,822,480",4시간전
경기 고양시, 제이디스포츠패션코리아 스타필드고양점(,13:30~21:00,"시급9,040",4시간전
인천 부평구, 제이디스포츠패션코리아 부평중앙점(직),14:00~22:00,"시급9,040",08/14
대구 중구, 제이디스포츠패션코리아 제이디스포츠패션,시간협의,"월급2,500,000",08/13
제주 제주시, 제이디스포츠패션코리아 제주칠성점(직),13:00~22:00,"월급1,822,480",08/12
인천 전체, 제이디스포츠패션코리아 인천구월점(직),10:30~18:30,"시급9,040",08/01
인천 전체, 제이디스포츠패션코리아 인천구월점(직),10:30~18:30,"시급9,040",08/01
