place,title,time,pay,date
울산 남구, 연안식당 울산삼산점,10:00~20:00,"월급2,300,000",19분전
경기 성남시, 공화춘 판교점,09:00~21:00,"월급2,400,000",52분전
경기 성남시, 공화춘 판교점,10:00~21:00,"월급2,500,000",53분전
인천 미추홀, 공화춘 인천터미널점,09:00~21:00,"월급2,900,000",1시간전
충북 청주시, 연안식당 청주지웰점,09:30~21:30,"시급8,760",3시간전
충북 청주시, 연안식당 청주지웰점,10:00~15:00,"시급8,720",3시간전
서울 성동구, 연안식당 플러스행당점,10:30~21:30,"월급2,400,000",08/15
서울 성동구, 연안식당 플러스행당점,10:30~21:30,"월급2,400,000",08/15
인천 남동구, 연안식당 구월아시아드점,10:30~21:30,"월급2,400,000",08/15
인천 남동구, 연안식당 구월아시아드점,10:30~21:30,"월급2,400,000",08/15
서울 서대문, 연안식당 홍제역점,시간협의,"시급10,000",08/08
서울 서대문, 연안식당 홍제역점,시간협의,"월급2,600,000",08/08
서울 관악구, 마포갈매기 신림역점,15:00~01:00,"월급2,300,000",08/07
서울 관악구, 마포갈매기 신림역점,15:00~01:00,"월급2,300,000",08/07
서울 관악구, 마포갈매기 신림역점,15:00~01:00,"월급2,300,000",08/07
서울 관악구, 마포갈매기 신림역점,15:00~01:00,"월급2,300,000",08/07
경북 포항시, 마포갈매기 포항쌍용사거리점,24:00~06:00,"시급11,000",08/07
경기 화성시, 공화춘 동탄점,10:00~22:00,"월급2,800,000",08/07
서울 강남구, 공화춘 논현점,10:00~22:00,"월급2,800,000",08/07
경기 고양시, 공화춘 일산점,10:30~21:30,"월급2,200,000",08/07
경기 성남시, 공화춘 판교점,09:00~21:00,"월급2,400,000",08/07
경기 성남시, 공화춘 판교점,09:00~21:00,"월급2,400,000",08/07
경기 고양시, 공화춘 일산점,10:00~22:00,"월급2,600,000",08/06
경기 고양시, 공화춘 일산점,10:30~21:30,"월급2,200,000",08/06
서울 관악구, 마포갈매기 신림역점,15:00~01:00,"월급2,300,000",08/06
대전 유성구, 마포갈매기 대전송강점,16:30~01:00,"월급2,100,000",08/06
경기 시흥시, 마포갈매기 정왕역점,18:00~22:00,"시급8,720",08/06
대전 유성구, 마포갈매기 대전신성점,16:30~24:00,"월급2,100,000",08/06
서울 도봉구, 연안식당 창동점,시간협의,"월급2,700,000",08/03
서울 도봉구, 연안식당 창동점,시간협의,"월급2,700,000",08/03
서울 도봉구, 연안식당 창동점,시간협의,"월급2,700,000",08/03
서울 도봉구, 연안식당 창동점,시간협의,"월급2,700,000",08/03
경기 남양주, 연안식당 남양주진접점,10:00~22:00,"시급8,720",08/03
경기 남양주, 연안식당 남양주진접점,10:00~22:00,"시급8,720",08/03
경기 남양주, 연안식당 남양주진접점,10:00~22:00,"시급8,720",08/03
경기 남양주, 연안식당 남양주진접점,10:00~22:00,"시급8,720",08/03
충남 천안시, 연안식당 천안성성점,10:00~21:00,"시급9,000",08/01
충남 천안시, 연안식당 천안성성점,10:00~21:00,"시급9,000",08/01
충남 천안시, 연안식당 천안성성점,10:00~21:00,"시급9,000",08/01
충남 천안시, 연안식당 천안성성점,10:00~21:00,"시급9,000",08/01
광주 서구, 연안식당 광주상무점,10:00~22:00,"월급2,300,000",08/01
광주 서구, 연안식당 광주상무점,10:00~22:00,"월급2,300,000",08/01
광주 서구, 연안식당 광주상무점,10:00~22:00,"월급2,300,000",08/01
광주 서구, 연안식당 광주상무점,10:00~22:00,"월급2,300,000",08/01
경기 시흥시, 연안식당 시흥은계점,10:00~22:00,"월급2,500,000",08/01
경기 시흥시, 연안식당 시흥은계점,10:00~22:00,"월급2,500,000",08/01
경기 시흥시, 연안식당 시흥은계점,10:00~22:00,"월급2,500,000",08/01
경기 시흥시, 연안식당 시흥은계점,10:00~22:00,"월급2,500,000",08/01
