place,title,time,pay,date
경기 전체, (주)지오다노,시간협의,"월급1,823,000",33분전
세종 어진동, (주)지오다노,10:00~19:00,"월급1,800,000",45분전
서울 전체, (주)지오다노,시간협의,"월급1,823,000",1시간전
서울 전체, (주)지오다노,시간협의,"월급1,823,000",2시간전
서울 전체, (주)지오다노,시간협의,"월급1,823,000",4시간전
서울 전체, (주)지오다노,시간협의,"월급1,823,000",4시간전
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",17시간전
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",17시간전
서울 동작구, (주)지오다노,10:00~20:30,"시급8,720",08/15
서울 동작구, (주)지오다노,10:00~22:00,"시급8,720",08/15
제주 제주시, (주)지오다노,12:00~21:00,"월급2,023,000",08/15
제주 서귀포, (주)지오다노,10:00~20:00,"월급2,023,000",08/15
경기 전체, (주)지오다노,시간협의,"월급1,823,000",08/15
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",08/14
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",08/14
서울 전체, (주)지오다노,시간협의,"월급1,823,000",08/14
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",08/14
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",08/14
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",08/14
대구 전체, (주)지오다노,10:30~19:30,"월급1,800,000",08/14
서울 전체, (주)지오다노,시간협의,"월급1,823,000",08/14
서울 금천구, (주)지오다노,시간협의,"월급1,823,000",08/13
인천 연수구, (주)지오다노,12:00~21:00,"월급1,823,000",08/11
서울 서대문, (주)지오다노,09:30~18:30,"월급1,823,000",08/11
서울 전체, (주)지오다노,시간협의,"월급1,823,000",08/10
경기 용인시, (주)지오다노,10:00~21:00,"시급8,720",08/09
경기 남양주, (주)지오다노,10:00~21:00,"시급8,720",08/09
서울 강남구, (주)지오다노,09:00~22:00,"시급8,720",08/08
서울 강남구, (주)지오다노,09:00~22:00,"시급8,720",08/08
서울 양천구, (주)지오다노,13:00~22:00,"월급1,823,000",08/07
경기 안성시, (주)지오다노,09:30~22:00,"시급8,720",08/07
서울 서대문, 지오다노 신촌현대,09:30~18:30,"월급1,823,000",08/03
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",08/02
