place,title,time,pay,date
서울 도봉구, 클린베테랑,시간협의,"시급12,000",23시간전
서울 강남구, 클린베테랑,06:00~09:00,"시급12,000",23시간전
서울 서초구, 클린베테랑,시간협의,"시급12,000",08/15
서울 중구, 클린베테랑,시간협의,"시급12,000",08/15
서울 광진구, 클린베테랑,시간협의,"시급12,000",08/15
서울 강서구, 클린베테랑,07:00~09:00,"시급12,000",08/14
서울 광진구, 클린베테랑 클린베테랑 광주지사,시간협의,"시급12,000",08/14
서울 금천구, 클린베테랑 클린베테랑 광주지사,09:00~11:00,"시급12,000",08/14
서울 강남구, 클린베테랑 클린베테랑 광주지사,시간협의,"시급12,000",08/14
서울 강남구, 클린베테랑 클린베테랑 광주지사,06:00~09:00,"시급12,000",08/14
서울 강남구, 클린베테랑 클린베테랑 광주지사,시간협의,"시급12,000",08/14
서울 강남구, 클린베테랑 클린베테랑 본사,시간협의,"시급12,000",08/13
서울 강동구, 클린베테랑,시간협의,"시급12,000",08/13
서울 강남구, 클린베테랑,시간협의,"시급12,000",08/13
서울 강남구, 클린베테랑 클린베테랑 원주지사,시간협의,"시급12,000",08/09
서울 강남구, 클린베테랑 클린베테랑 원주지사,시간협의,"시급12,000",08/09
서울 광진구, 클린베테랑 클린베테랑 원주지사,시간협의,"시급12,000",08/09
서울 강동구, 클린베테랑 클린베테랑 원주지사,시간협의,"시급12,000",08/09
서울 금천구, 클린베테랑 클린베테랑 원주지사,09:00~11:00,"시급12,000",08/09
서울 강남구, 클린베테랑 클린베테랑 부산지사,21:00~23:00,"시급12,000",08/02
서울 금천구, 클린베테랑 클린베테랑 부산지사,09:00~11:00,"시급12,000",08/02
서울 강동구, 클린베테랑 클린베테랑 부산지사,07:00~09:00,"시급12,000",08/02
서울 광진구, 클린베테랑 클린베테랑 부산지사,06:00~08:00,"시급12,000",08/02
서울 강남구, 클린베테랑,시간협의,"시급12,000",08/02
