place,title,time,pay,date
서울 송파구, 투썸플레이스잠실역(2),08:00~01:00,"시급8,720",7분전
서울 강남구, 투썸플레이스,17:00~22:00,"시급8,800",8분전
서울 노원구, 투썸플레이스,시간협의,"시급10,464",9분전
경기 고양시, 투썸플레이스 웨스턴돔점,00:00~24:00,"시급8,720",9분전
충북 진천군, 투썸플레이스진천터미널점,09:00~15:00,"시급8,720",15분전
서울 서초구, 투썸플레이스 사당역로데오점,시간협의,"월급2,200,000",20분전
경기 평택시, 투썸플레이스 평택팽성점,18:00~22:00,"시급10,464",22분전
서울 서초구, 투썸플레이스(주),시간협의,"시급10,584",22분전
경기 양평군, 투썸플레이스 양평오빈점,08:00~02:00,"시급8,720",32분전
부산 사하구, 투썸플레이스 동아대점,18:00~22:00,"시급8,720",33분전
서울 송파구, 투썸플레이스마천사거리점,08:30~16:00,"시급8,720",36분전
경기 수원시, 투썸플레이스 수원 천천점,07:30~11:30,"시급8,720",36분전
부산 연제구, 투썸플레이스 부산거제점,08:30~16:00,"시급8,720",37분전
대구 남구, 투섬플레이스영대점,07:30~11:00,"시급8,720",38분전
부산 강서구, 투썸플레이스 투썸부산대저,08:00~23:00,"시급8,720",45분전
충남 천안시, (주)투썸플레이스천안불당점,08:30~15:00,"시급8,750",45분전
경기 수원시, 투썸플레이스 수원 천천점,시간협의,"월급1,850,000",45분전
부산 동래구, 투썸플레이스 부산동래역점,시간협의,"월급1,850,000",49분전
경남 진주시, 투썸플레이스경상대점,시간협의,"월급1,822,480",51분전
전남 목포시, (주)투썸,시간협의,"시급8,720",51분전
서울 양천구, 투썸플레이스(주),16:00~21:00,"시급10,584",54분전
서울 구로구, 투썸플레이스구로디지탈역깔깔거리점,07:00~01:00,"월급2,300,000",55분전
인천 계양구, 투썸플레이스,시간협의,"시급8,720",56분전
울산 북구, 투썸플레이스 울산정자점,18:30~22:30,"시급8,720",58분전
인천 미추홀, 투썸플레이스 제물포역점,시간협의,"월급1,900,000",1시간전
인천 서구, 투썸플레이스인천청라중앙점,09:00~13:00,"시급8,720",1시간전
경기 남양주, 투썸별내신도시점,시간협의,"시급8,720",1시간전
대구 북구, 투썸플레이스 대구 연경점,시간협의,"시급8,720",1시간전
경기 고양시, 투썸플레이스 킨텍스꿈에그린점,시간협의,"시급8,720",1시간전
경기 성남시, 투썸플레이스(주),16:30~22:30,"시급8,820",1시간전
경기 남양주, 투썸플레이스(주),시간협의,"시급8,720",1시간전
서울 광진구, 투썸플레이스 건대스타시티점,07:00~14:30,"시급8,720",1시간전
서울 광진구, 투썸플레이스 건대스타시티점,00:00~24:00,"시급8,720",1시간전
부산 해운대, (주)메디웰홀딩스,14:30~20:30,"시급8,720",1시간전
세종 반곡동, 투썸플레이스 세종반곡점,00:00~24:00,"시급8,720",1시간전
서울 송파구, 투썸플레이스(송파올림픽아파트남문점),시간협의,"월급1,900,000",2시간전
경기 평택시, 투썸플레이스,시간협의,"시급8,720",2시간전
서울 서초구, 투썸플레이스(주) 방배역점,시간협의,"시급8,820",2시간전
대구 북구, 버거킹 연경점,시간협의,"월급2,000,000",2시간전
부산 해운대, (주)메디웰홀딩스,08:00~11:00,"시급8,720",2시간전
서울 강남구, 투썸플레이스 강남세곡점,13:30~22:30,"월급2,000,000",2시간전
경기 양평군, 투썸플레이스 양평터미널,15:00~23:00,"시급8,720",2시간전
대구 동구, 투썸동대구점 (주)연정개발,18:00~24:00,"시급8,720",2시간전
경기 평택시, 투썸플레이스평택세교점,시간협의,"월급2,000,000",2시간전
서울 영등포, 투썸플레이스(주),12:00~18:00,"시급10,584",2시간전
경기 성남시, 투썸플레이스 투썸분당미금,00:00~24:00,"월급2,100,000",2시간전
서울 강남구, 투썸플레이스 청담역점,08:00~14:00,"시급8,820",2시간전
부산 사하구, 투썸플레이스 부산아트몰링점,17:30~22:00,"시급8,720",2시간전
서울 강남구, 투썸플레이스 강남역삼로점,시간협의,"시급8,820",2시간전
전남 목포시, 투썸플레이스목포북항점,시간협의,"시급8,720",2시간전
