place,title,time,pay,date
서울 강남구, 파리바게뜨 강남구청카페점,07:30~14:00,"시급8,900",2분전
경기 용인시, 파리바게뜨 이스트팰리스점,07:00~11:00,"시급8,720",2분전
경기 화성시, 파리바게뜨 수원대점,시간협의,"시급8,720",5분전
서울 강동구, 파리바게뜨 성내삼성점,시간협의,"시급8,720",7분전
서울 관악구, 파리바게뜨 신림사거리점,15:00~23:00,"시급8,720",8분전
인천 남동구, 파리바게뜨 논현웰카운티점,07:00~13:00,"시급8,720",11분전
경기 안양시, 파리바게뜨 안양관양점,시간협의,"시급9,500",11분전
광주 광산구, 파리바게뜨 첨단쌍암점,16:00~23:00,"시급8,720",11분전
인천 연수구, 파리바게뜨 송도롯데몰점,07:00~13:00,"시급8,720",12분전
경기 양주시, 파리바게뜨 양주광적점,15:00~22:00,"시급8,720",12분전
전남 무안군, 파리바게뜨 남악오룡,16:00~23:00,"시급8,720",12분전
전북 전주시, 파리바게뜨 전주아중점,17:00~23:00,"시급8,720",12분전
서울 강동구, 파리바게뜨 성내점,16:00~23:00,"시급8,720",15분전
서울 강동구, 파리바게뜨 성내점,16:00~23:00,"시급8,720",15분전
경기 안산시, 파리바게뜨 안산목내점,07:00~04:00,"시급8,720",16분전
서울 강동구, 파리바게뜨 성내점,10:00~16:00,"시급8,720",16분전
대전 유성구, 파리바게뜨 대전궁동점,08:00~11:00,"시급8,720",17분전
경기 부천시, 파리바게뜨 카톨릭대점,시간협의,"시급8,720",19분전
서울 종로구, 파리바게뜨 종로구청점,13:00~18:00,"시급8,720",21분전
서울 강동구, 파리바게뜨 강일리버파크점,16:00~21:00,"시급8,720",21분전
서울 서초구, 파리바게뜨 서초네이처점,13:00~18:00,"시급8,720",21분전
서울 구로구, 파리바게뜨 구일역점,07:00~11:00,"시급8,720",24분전
경기 남양주, 파리바게뜨 별내신안점,07:30~13:00,"시급8,720",24분전
경남 진주시, 파리바게뜨 진주도동점,08:00~14:00,"시급8,720",25분전
서울 용산구, 파리바게뜨 이태원경리단점,13:00~18:00,"시급8,720",26분전
서울 동작구, 파리바게뜨 성대시장점,13:00~18:00,"시급8,720",30분전
서울 동작구, 파리바게뜨 성대시장점,13:00~18:00,"시급8,720",30분전
경기 시흥시, 파리바게뜨 은계자이,시간협의,"시급8,720",30분전
경기 성남시, 파리바게뜨 분당코오롱점,03:00~10:00,"시급8,720",35분전
경기 안성시, 파리바게뜨 안성중앙대점,07:30~12:30,"시급8,720",36분전
서울 강동구, 파리바게뜨 강동역점,12:00~17:00,"시급8,720",37분전
서울 은평구, 파리바게뜨 역촌2호점,08:00~13:00,"시급8,720",37분전
경기 시흥시, 파리바게뜨 목감물왕호수점,17:00~21:30,"시급8,720",39분전
경기 화성시, 파리바게뜨 송산그린시티점,13:00~18:00,"시급8,720",40분전
광주 동구, 파리바게뜨 광주서석점,시간협의,"시급8,720",41분전
서울 강남구, 파리바게뜨 카페선릉,14:00~23:00,"월급2,035,000",42분전
전국 전체, 파리바게뜨 신풍역점,07:00~14:00,"시급8,720",50분전
경기 시흥시, 파리바게뜨 목감조남점,19:00~23:00,"시급8,720",54분전
경기 안양시, 파리바게뜨 안양관양점,시간협의,"시급9,500",54분전
서울 성동구, 파리바게뜨 성동구민회관점,07:00~12:00,"시급8,850",57분전
경북 안동시, 파리바게뜨 안동옥동점,시간협의,"시급8,720",57분전
전국 전체, 파리바게뜨 동양지구점,07:00~14:00,"시급8,720",57분전
서울 강동구, 파리바게뜨 강동성내점,13:00~18:00,"시급8,720",1시간전
전북 익산시, 파리바게뜨 육군사관학교점,시간협의,"시급8,720",1시간전
경기 김포시, 파리바게뜨 고촌힐스테이트점,12:30~17:00,"시급8,720",1시간전
서울 양천구, 파리바게뜨 목사랑점,07:30~13:00,"시급9,000",1시간전
서울 금천구, 파리바게뜨 독산역점,07:00~14:00,"시급8,720",1시간전
서울 강서구, 파리바게뜨 마곡힐스테이트점,13:00~17:00,"시급8,720",1시간전
부산 강서구, 파리바게뜨 명지국제협성점,17:00~21:00,"시급8,720",1시간전
경기 평택시, 파리바게뜨 송탄송일점,16:00~21:00,"시급8,720",1시간전
