place,title,time,pay,date
경기 수원시, 햇살품은 녹즙,07:00~11:30,"건별1,000,000",12분전
경기 평택시, 풀무원녹즙 평택오피스,08:00~11:00,"시급10,000",12분전
광주 북구, 풀무원 녹즙 북구 남부 오피스,08:00~11:00,"월급900,000",16분전
광주 북구, 풀무원 녹즙 북구 남부 오피스,06:00~11:00,"월급1,500,000",16분전
인천 연수구, 행복한녹즙,00:00~03:00,"월급750,000",29분전
경기 파주시, 풀무원녹즙 파주가맹점,07:00~11:00,"월급800,000",30분전
대구 달성군, 풀무원 녹즙 건강한하루 녹즙,08:30~13:00,"월급1,400,000",48분전
서울 강동구, 풀무원건강생활 강동택배가맹점,시간협의,"월급850,000",50분전
대구 전체, 풀무원녹즙,07:30~12:00,"월급1,200,000",52분전
서울 광진구, 광진녹즙,01:00~07:00,"시급12,000",59분전
울산 북구, 풀무원녹즙 북구가맹점,07:00~11:00,"월급1,200,000",1시간전
전북 전주시, 풀무원녹즙 전주덕진오피스,07:30~10:30,"월급1,000,000",2시간전
광주 북구, 광주북구북부오피스 풀무원녹즙가맹점,07:30~11:00,"월급1,400,000",2시간전
경북 경산시, 풀무원건강생활 경산가맹점,08:00~12:00,"월급1,000,000",2시간전
대구 수성구, 풀무원건강생활 경산가맹점,08:00~12:00,"월급1,000,000",2시간전
대구 전체, 풀무원 대구동구서부 홈 가맹점,24:00~04:00,"시급10,000",2시간전
경북 경산시, 풀무원건강생활 경산가맹점,08:00~12:00,"월급1,000,000",2시간전
경북 포항시, 자연을마시다,시간협의,"월급350,000",2시간전
대구 수성구, 풀무원건강생활 경산가맹점,08:00~12:00,"월급1,000,000",2시간전
울산 남구, 싱그런녹즙,07:00~11:00,"월급1,000,000",2시간전
울산 남구, 싱그런녹즙,07:00~11:00,"월급1,000,000",2시간전
경북 경산시, 풀무원건강생활 경산가맹점,08:00~12:00,"월급1,000,000",2시간전
경기 하남시, 풀무원녹즙 하남가맹점,02:30~06:30,"월급1,000,000",2시간전
서울 강남구, 풀무원녹즙 압구정홈가맹점,00:00~04:00,"월급1,100,000",2시간전
전북 전주시, 풀무원녹즙 전주덕진오피스,07:30~10:30,"월급1,000,000",2시간전
대전 대덕구, 그린유통,06:30~10:30,"월급1,300,000",2시간전
대구 전체, 풀무원 대구동구서부 홈 가맹점,24:00~04:00,"시급10,000",2시간전
대구 서구, 풀무원건강생활 대구서구오피스가맹점,07:30~12:00,"월급1,600,000",2시간전
대구 서구, 풀무원건강생활 대구서구오피스가맹점,07:30~12:00,"월급1,600,000",2시간전
광주 서구, 풀무원녹즙내방/쌍촌/화정/농성,시간협의,"월급1,500,000",2시간전
광주 동구, 풀무원녹즙내방/쌍촌/화정/농성,08:00~11:30,"월급1,300,000",2시간전
광주 남구, 풀무원녹즙내방/쌍촌/화정/농성,08:00~11:30,"월급1,500,000",2시간전
광주 북구, 풀무원녹즙내방/쌍촌/화정/농성,시간협의,"월급1,300,000",2시간전
대구 서구, 풀무원건강생활 대구서구오피스가맹점,07:30~12:00,"월급1,600,000",3시간전
대구 서구, 풀무원건강생활 대구서구오피스가맹점,07:30~12:00,"월급1,600,000",3시간전
경기 광명시, 풀무원녹즙광명홈가맹점,시간협의,"월급850,000",3시간전
대구 수성구, 풀무원녹즙 대구수성지사,08:00~12:00,"월급1,000,000",3시간전
서울 전체, 풀무원녹즙광명홈가맹점,시간협의,"월급850,000",3시간전
경기 하남시, 풀무원녹즙 하남가맹점,02:30~06:30,"월급1,000,000",3시간전
경기 하남시, 풀무원녹즙 하남가맹점,02:30~06:30,"월급1,000,000",3시간전
경기 수원시, 영통녹즙,00:00~02:30,"월급750,000",3시간전
대구 전체, 풀무원녹즙,07:30~12:00,"월급1,200,000",3시간전
서울 강동구, 풀무원건강생활 강동택배가맹점,시간협의,"월급850,000",3시간전
서울 성동구, 풀무원녹즙성동홈가맹점,00:00~07:00,"시급10,000",3시간전
서울 전체, 풀무원녹즙성동홈가맹점,24:00~07:00,"시급10,000",3시간전
대구 수성구, 풀무원녹즙 대구수성지사,08:00~12:00,"월급1,000,000",3시간전
서울 성동구, 풀무원녹즙성동홈가맹점,00:00~07:00,"시급10,000",3시간전
서울 전체, 풀무원녹즙성동홈가맹점,24:00~07:00,"시급10,000",3시간전
대전 서구, 풀무원녹즙,23:00~02:00,"월급750,000",3시간전
대구 전체, 풀무원 대구동구서부 홈 가맹점,24:00~04:00,"시급10,000",3시간전
