place,title,time,pay,date
광주 서구, 프렌즈아카데미 광주 매월점,시간협의,"월급5,000,000",3분전
광주 남구, 프렌즈아카데미 광주 봉선점,15:00~23:00,"월급2,000,000",2시간전
경기 양주시, 프렌즈아카데미 양주 옥정점,시간협의,"월급2,000,000",18시간전
인천 서구, 프렌즈아카데미 인천 청라점,14:00~23:00,"월급2,000,000",08/15
서울 마포구, 프렌즈아카데미 마포 상암점,12:00~21:00,"월급4,500,000",08/15
서울 마포구, 프렌즈아카데미 마포 상암점,시간협의,"월급2,500,000",08/15
경기 양주시, 프렌즈아카데미 양주 옥정점,시간협의,"월급2,000,000",08/09
인천 서구, 프렌즈아카데미 인천 청라점,06:00~15:00,"월급2,000,000",08/02
서울 성동구, 프렌즈아카데미 성수점,시간협의,"시급8,720",08/01
서울 성동구, 프렌즈아카데미 성수점,시간협의,"월급2,150,000",08/01
